timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,tabular_cumulative_active_nodes_mean,tabular_percent_activated_mean,tabular_reward_mean
1,5.6,56.0,7.367165881213404,5.5,55.0,7.124115703925019,5.3,53.0,6.760322294611038
2,12.2,66.0,8.777004694488772,12.0,65.0,8.574721476864946,11.9,66.0,8.513757167116491
3,19.5,73.0,9.704197745078748,19.0,70.0,9.192967973215048,19.5,76.0,9.969380432817763
4,27.5,80.0,10.665484368251953,26.1,71.0,9.478975159455606,27.8,83.0,11.068616077745704
5,35.6,81.0,10.714910299434797,34.3,82.0,10.965366459111728,35.8,80.0,10.679002997192512
6,44.2,86.0,11.55467909915181,42.6,83.0,11.091639326073302,43.2,74.0,9.901209395445713
7,52.8,86.0,11.584991447846118,50.5,79.0,10.533312614090974,50.9,77.0,10.240062389697348
8,60.3,75.0,10.08192991133007,58.5,80.0,10.638145994641679,58.4,75.0,10.064308201232668
9,68.4,81.0,10.899227477214676,66.7,82.0,10.995477383945094,67.1,87.0,11.483329232997256
10,76.5,81.0,10.975880181113663,75.7,90.0,12.053094848288515,75.7,86.0,11.3517915355225
11,84.8,83.0,11.204812435317745,84.3,86.0,11.472559582556666,84.0,83.0,11.03068440649261
12,93.0,82.0,10.957988957508217,93.3,90.0,11.998160345204015,91.7,77.0,10.192107335268094
13,101.8,88.0,11.681920897811624,101.8,85.0,11.221480687084917,100.1,84.0,11.108847941083766
14,109.8,80.0,10.643122142459177,110.5,87.0,11.609788960298728,107.9,78.0,10.267625860953084
15,117.8,80.0,10.797318630427357,119.2,87.0,11.600512586483053,115.4,75.0,9.854980944964305
16,125.6,78.0,10.487425236242249,127.7,85.0,11.426997535186402,123.2,78.0,10.236532831868965
17,133.2,76.0,10.257141335229209,136.4,87.0,11.543733624392555,130.9,77.0,10.135651624597717
18,142.0,88.0,11.754702863891739,144.8,84.0,11.163384435389734,138.4,75.0,9.928731712361412
19,150.7,87.0,11.606052757972598,152.8,80.0,10.555461443745385,145.4,70.0,9.32957073895542
20,159.8,91.0,12.225559548436284,161.6,88.0,11.706484180765782,152.9,75.0,9.980197830653006
21,168.6,88.0,11.764007857473672,169.2,76.0,10.214074806881191,160.9,80.0,10.64318492494628
22,176.6,80.0,10.732770092056953,177.3,81.0,10.90105023263133,169.5,86.0,11.37278139349137
23,185.1,85.0,11.387765886357165,185.9,86.0,11.471845581242427,177.7,82.0,10.899895005173445
24,193.7,86.0,11.507788264705933,194.1,82.0,11.00652480231287,185.9,82.0,10.88492359927997
25,202.2,85.0,11.376013908882168,202.6,85.0,11.37358083306097,194.4,85.0,11.262446864195967
26,210.0,78.0,10.509201888438728,211.0,84.0,11.214193064865976,202.0,76.0,9.993637937515121
27,217.7,77.0,10.33273443630728,219.3,83.0,11.13577939946827,209.5,75.0,9.91604771238948
28,225.5,78.0,10.412414286999072,227.4,81.0,10.804092812632344,217.5,80.0,10.66912933452856
29,233.4,79.0,10.55682781243459,235.4,80.0,10.71126549002926,225.9,84.0,11.193276836583134
30,241.2,78.0,10.41006866384,243.0,76.0,10.300662039773503,233.6,77.0,10.238376573664354
