timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,tabular_cumulative_active_nodes_mean,tabular_percent_activated_mean,tabular_reward_mean
1,5.6,56.0,8.181367591889527,5.8,58.0,8.511126366189995,4.5,45.0,6.641840197056439
2,12.7,71.0,10.650344533709632,13.4,76.0,11.161035333919525,9.7,52.0,7.830439816911702
3,20.0,73.0,10.814294342101995,21.0,76.0,11.144580821427699,15.3,56.0,8.402803611543014
4,27.5,75.0,11.157852400078841,28.9,79.0,11.498070676802595,21.9,66.0,9.806267365928065
5,35.5,80.0,11.635617301881481,36.9,80.0,11.748970090846324,28.5,66.0,9.790180053552731
6,43.5,80.0,11.600117738265444,45.3,84.0,12.360554415220632,34.9,64.0,9.416309861201851
7,51.6,81.0,11.894505300728522,53.3,80.0,11.619951619865969,41.1,62.0,8.91066943835097
8,60.1,85.0,12.46085118498996,61.0,77.0,11.239492732224472,47.6,65.0,9.325655047546118
9,68.6,85.0,12.513454652134849,68.0,70.0,10.239447489884864,54.2,66.0,9.560219694308978
10,76.5,79.0,11.595019551948539,75.1,71.0,10.53146925620347,61.3,71.0,10.425569560704119
11,84.8,83.0,12.318616414784225,82.9,78.0,11.44441900030685,68.3,70.0,10.208568000623735
12,92.4,76.0,11.03880540389661,90.6,77.0,11.523401849107751,74.4,61.0,8.837225984926452
13,100.9,85.0,12.378729163209863,97.9,73.0,10.914304052940768,80.9,65.0,9.406772821121063
14,108.9,80.0,11.661926823191973,105.3,74.0,10.908985126922019,87.6,67.0,9.819510322603666
15,117.0,81.0,11.962208966660233,113.1,78.0,11.669263715914628,94.1,65.0,9.452692094805288
16,124.9,79.0,11.71393056360146,121.2,81.0,11.891577821523827,101.3,72.0,10.523423156682597
17,133.4,85.0,12.649295471393712,129.2,80.0,11.823282533350758,108.5,72.0,10.536266059069682
18,141.5,81.0,12.033612930872145,138.1,89.0,12.981299527614436,115.6,71.0,10.433776553634285
19,149.8,83.0,12.120328539582834,147.1,90.0,13.193541420553908,122.6,70.0,10.213413648835047
20,158.2,84.0,12.183563207950613,155.6,85.0,12.447195475043058,130.4,78.0,11.546087205159116
21,165.4,72.0,10.538861944197253,164.1,85.0,12.516177222658525,138.2,78.0,11.53610006528488
22,172.8,74.0,10.91002467961783,172.0,79.0,11.561507406872845,145.0,68.0,9.918913386137726
23,180.4,76.0,11.31905326171825,179.5,75.0,11.048689549093973,151.6,66.0,9.56586653625833
24,188.5,81.0,11.951858335989721,187.9,84.0,12.30184559370604,159.0,74.0,10.97341476917824
25,196.2,77.0,11.659990567278204,195.7,78.0,11.252410826089847,166.9,79.0,11.763418627760446
26,203.7,75.0,11.064478147493466,203.3,76.0,11.00980550433793,174.6,77.0,11.374968070041515
27,211.2,75.0,10.9659834307869,211.2,79.0,11.360004803620077,182.1,75.0,10.952872498250004
28,219.0,78.0,11.744943731495315,218.5,73.0,10.867821748208502,189.6,75.0,11.000238176470397
29,226.3,73.0,10.832516254126674,225.6,71.0,10.39521082277821,197.3,77.0,11.144743614286671
30,234.7,84.0,12.217261391369563,234.0,84.0,12.477791228378539,205.2,79.0,11.350277055337804
