timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,97.78,48.405940594059395,142.90695475297755,100.82,49.910891089108915,146.51413950039873,98.6,48.81188118811881,144.640058195087,87.46,43.29702970297029,127.81405703722363,98.26,48.64356435643565,144.42723696664424
2,228.66,64.79207920792079,192.3155119456816,234.74,66.2970297029703,197.71620035570587,229.38,64.74257425742574,194.32024211870953,203.04,57.21782178217823,169.6051598965725,228.52,64.48514851485146,192.5981832965616
3,374.46,72.17821782178218,214.6185231029567,385.24,74.50495049504951,222.4069108714725,375.62,72.39603960396039,217.6462444555358,330.66,63.178217821782184,187.16333438402384,374.96,72.49504950495049,215.71812416022823
4,528.26,76.13861386138613,226.89873246170927,541.84,77.52475247524751,232.08789191954588,529.54,76.1980198019802,229.1588888888257,463.78,65.90099009900987,195.47388070811246,528.58,76.04950495049505,225.9117083114332
5,686.2,78.18811881188118,233.29105409936992,702.12,79.34653465346537,237.26787387453794,686.92,77.91089108910892,234.03574708857866,601.44,68.14851485148516,202.55033405063162,686.14,78.00000000000001,232.34895552816323
6,847.12,79.66336633663367,237.490605503535,864.12,80.19801980198017,240.0029905048159,846.8,79.14851485148515,237.18515133331164,740.54,68.86138613861385,204.93623495673918,847.12,79.69306930693068,237.68028929159627
7,1007.98,79.63366336633666,237.28735842485224,1029.44,81.84158415841584,244.3977497783868,1006.54,79.07920792079207,237.31349136005173,880.76,69.41584158415841,206.642136107858,1009.56,80.41584158415841,240.02193595175734
8,1170.42,80.4158415841584,239.75788450275672,1194.24,81.58415841584159,244.01027307468692,1167.28,79.57425742574259,238.2169087562236,1022.96,70.3960396039604,209.4387497129397,1173.28,81.04950495049503,241.641010993099
9,1332.1,80.03960396039605,238.78030796940962,1358.48,81.30693069306932,242.9552807103489,1329.96,80.53465346534654,240.80957069226415,1165.46,70.54455445544554,210.1926172972404,1337.22,81.15841584158416,242.12721560355493
10,1493.28,79.7920792079208,238.00521962423053,1522.64,81.26732673267327,242.51519328479077,1493.42,80.92079207920791,241.47756181921258,1306.4,69.77227722772277,207.94212534566955,1500.0,80.58415841584159,240.44102305389688
11,1654.36,79.74257425742574,237.9963896278805,1687.36,81.54455445544554,243.3821447706505,1655.94,80.45544554455445,240.5782548660383,1447.8,70.0,208.31297061898434,1665.18,81.77227722772277,243.6774713119574
12,1815.98,80.009900990099,238.47739041308236,1851.86,81.43564356435643,243.0026078195043,1818.24,80.34653465346534,240.40315309199485,1590.66,70.72277227722773,210.43516241536858,1829.74,81.46534653465348,243.3299083225689
13,1977.96,80.18811881188118,239.06519413435615,2016.94,81.72277227722772,243.82819549302164,1979.34,79.75247524752476,238.7635104027586,1732.64,70.28712871287128,209.57909761720578,1993.1,80.87128712871288,241.4092929279601
14,2141.56,80.990099009901,241.66441499090178,2182.92,82.16831683168317,245.16553643792443,2141.52,80.2871287128713,240.392131405463,1874.36,70.15841584158416,209.25068168480055,2157.06,81.16831683168317,242.33717476470127
15,2305.22,81.01980198019801,241.15848536836137,2349.62,82.52475247524754,245.94407628873105,2305.46,81.15841584158416,242.6263056738647,2017.44,70.83168316831683,211.01508678387736,2321.02,81.16831683168316,241.8021619218242
16,2467.92,80.54455445544554,240.0003177478765,2515.08,81.91089108910889,244.35104766230282,2468.46,80.6930693069307,241.3600713120767,2159.42,70.28712871287128,209.70814544543998,2483.84,80.6039603960396,240.2775850708079
17,2630.26,80.36633663366338,239.34841317867648,2679.52,81.40594059405942,242.90141783544223,2632.36,81.13861386138613,242.14653029038843,2300.64,69.91089108910892,208.42580308375133,2646.7,80.62376237623762,240.62237021224425
18,2794.86,81.48514851485149,242.89510427172473,2845.12,81.98019801980197,244.24600592761487,2795.74,80.88118811881186,241.54675695152136,2441.38,69.67326732673268,207.98043802642383,2809.04,80.36633663366338,239.35748397237418
19,2960.12,81.8118811881188,243.84491384238413,3009.44,81.34653465346537,242.64614163385167,2957.6,80.12871287128715,239.62902051192515,2582.96,70.0891089108911,209.05759037564013,2971.7,80.52475247524751,239.84613577362586
20,3123.74,81.0,241.7346255756875,3174.34,81.63366336633662,243.50387096594622,3120.3,80.54455445544555,241.16573222944422,2725.7,70.66336633663367,210.60579974257368,3135.02,80.85148514851487,241.0324313146237
21,3286.18,80.41584158415843,239.98454045072515,3339.56,81.7920792079208,244.0580500269493,3284.3,81.18811881188118,242.66083344966543,2867.86,70.37623762376235,209.4255055961776,3298.1,80.73267326732676,240.60793243574207
22,3449.88,81.03960396039602,241.51131333521505,3506.74,82.76237623762374,247.01971536131245,3448.12,81.0990099009901,241.91231178844154,3009.68,70.20792079207921,209.347510175857,3461.48,80.88118811881189,241.42487546666686
23,3612.8,80.65346534653465,240.47747434042748,3672.72,82.16831683168316,245.0617419671962,3611.48,80.87128712871291,241.62517633867787,3149.88,69.40594059405942,206.5210992712665,3626.0,81.44554455445542,243.56181494438744
24,3775.26,80.42574257425744,239.97564828976934,3838.58,82.10891089108911,245.12902762011626,3774.34,80.62376237623761,240.99177803168615,3291.88,70.2970297029703,209.02143503601215,3790.92,81.64356435643562,243.51415521986786
25,3937.38,80.25742574257427,239.50319692735906,4004.32,82.04950495049505,245.06827792235427,3937.44,80.74257425742572,241.7458593522099,3432.96,69.84158415841583,207.70151907280055,3954.22,80.84158415841584,241.11363681828414
26,4097.78,79.40594059405939,236.5225586505135,4169.86,81.95049504950495,244.17246076555898,4100.58,80.76237623762377,242.04048934059327,3574.28,69.96039603960396,208.03524902791526,4118.38,81.26732673267327,242.2533317625611
27,4261.28,80.94059405940594,241.41658630470866,4334.34,81.42574257425741,242.70863995758467,4264.04,80.92079207920793,242.56943348725886,3716.84,70.57425742574256,210.28018406027502,4282.02,81.00990099009903,241.27445384773975
28,4424.64,80.87128712871288,241.21506287423884,4500.68,82.34653465346533,245.70852856791535,4426.7,80.52475247524752,241.01661890230338,3858.86,70.3069306930693,208.9454211597896,4445.12,80.74257425742576,241.09820770503552
29,4588.32,81.02970297029705,241.79810280246923,4665.76,81.72277227722772,243.7708747960804,4589.92,80.8019801980198,241.7666919162895,4001.52,70.62376237623762,210.1882180529779,4607.4,80.33663366336633,240.047140078609
30,4751.6,80.8316831683168,241.57032264323013,4830.88,81.74257425742574,243.93267913980384,4753.54,81.0,242.32206901951548,4144.12,70.59405940594058,210.34867744293737,4770.28,80.63366336633663,240.278064591458
