timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,98.5,48.762376237623776,148.3882007928556,97.94,48.48514851485149,147.2897202676758,96.38,47.712871287128685,145.35346377967826,85.72,42.43564356435643,128.5745969863172,97.4,48.21782178217822,146.59115015781293
2,229.0,64.6039603960396,196.4918864464792,228.88,64.82178217821784,196.9567163424024,224.18,63.26732673267326,193.99074510247007,196.54,54.86138613861385,166.46385172518296,227.34,64.32673267326733,194.53201698352728
3,375.56,72.55445544554455,220.8406271433389,376.46,73.05940594059408,222.40124518799402,365.96,70.18811881188121,214.5032875209364,322.18,62.19801980198021,188.96759649875133,372.78,71.99999999999997,218.9960943651503
4,530.22,76.56435643564355,232.9822102681889,532.5,77.24752475247526,234.66955990330356,517.66,75.09900990099008,229.52777573716162,453.1,64.81188118811882,196.96296591488033,525.06,75.38613861386139,229.50402935107195
5,689.14,78.67326732673268,239.40192854376926,693.22,79.56435643564356,241.91675109794846,674.9,77.84158415841584,238.13179551234654,587.66,66.61386138613862,202.58330498934137,681.22,77.30693069306932,235.76011787828892
6,850.82,80.03960396039605,243.7801387052015,855.26,80.21782178217822,244.1556774512138,834.4,78.96039603960395,241.81539620306,723.12,67.05940594059408,204.31557922900777,839.12,78.16831683168316,238.47938567534052
7,1013.48,80.52475247524752,245.35418551135382,1018.68,80.90099009900992,246.10025291612186,995.84,79.92079207920793,244.41255767035835,861.92,68.7128712871287,208.9676004830809,999.1,79.1980198019802,241.1852993981524
8,1175.04,79.98019801980199,243.7550591800186,1181.28,80.49504950495052,244.93006055781652,1156.86,79.71287128712872,242.99631422147635,1001.42,69.05940594059405,209.9251248055615,1160.36,79.83168316831683,243.78611825053633
9,1336.68,80.01980198019801,243.45975467576412,1343.42,80.26732673267328,244.61318625059408,1319.9,80.7128712871287,246.42899919680386,1140.3,68.75247524752473,209.04547698655693,1320.1,79.07920792079207,240.6444820520685
10,1498.16,79.94059405940594,243.0593886157398,1509.18,82.05940594059405,249.73769563288624,1482.26,80.37623762376236,245.26950988032576,1279.04,68.68316831683168,208.8983271727998,1480.08,79.19801980198018,241.3001854321359
11,1659.92,80.0792079207921,243.47725093581343,1673.62,81.40594059405942,247.51165511803083,1643.74,79.94059405940595,243.76661494484935,1417.98,68.78217821782175,209.0679647724024,1641.36,79.84158415841587,243.12425468251394
12,1822.74,80.60396039603961,245.55682040635259,1838.0,81.37623762376236,247.5600724436992,1805.46,80.05940594059406,244.55397441515916,1556.38,68.51485148514851,208.5499818398941,1802.7,79.87128712871285,243.4437931190284
13,1985.7,80.67326732673267,245.50923719621088,2002.22,81.2970297029703,247.01850930935063,1966.56,79.75247524752476,243.19494722032454,1696.78,69.50495049504951,211.6075097332244,1963.64,79.67326732673266,242.4580485915997
14,2148.7,80.6930693069307,245.69989065963415,2167.28,81.7128712871287,248.72801087140058,2128.68,80.25742574257426,244.92823787648004,1836.7,69.26732673267327,210.59038871526775,2125.12,79.94059405940595,243.61886032563834
15,2312.68,81.17821782178218,247.4674000484648,2332.6,81.84158415841583,248.96755738337856,2292.6,81.14851485148513,248.17319407747738,1976.0,68.96039603960395,209.78370331590028,2286.74,80.00990099009901,243.33861680748825
16,2475.02,80.36633663366337,244.4009247331103,2496.34,81.05940594059408,246.3886124944928,2455.42,80.6039603960396,246.25916871247375,2116.06,69.33663366336634,211.15609905651726,2448.26,79.96039603960398,243.59057026393955
17,2637.84,80.6039603960396,245.75929123444058,2659.98,81.00990099009903,246.6613363867558,2617.92,80.44554455445544,245.55784074862748,2257.46,70.00000000000001,213.24491797651004,2609.24,79.69306930693068,242.8097922994491
18,2801.7,81.11881188118815,246.77365596337012,2825.4,81.89108910891092,249.06318012232515,2778.82,79.65346534653463,243.11875524526394,2398.46,69.8019801980198,212.431673767114,2770.72,79.94059405940594,243.63867642920582
19,2964.86,80.77227722772278,245.50506521370568,2990.34,81.65346534653465,248.44980350768938,2941.42,80.4950495049505,245.5557585808861,2539.6,69.87128712871288,212.57019295304846,2933.0,80.33663366336634,244.49332178274184
20,3128.56,81.03960396039602,247.03177743386203,3154.98,81.50495049504951,248.28502262313185,3102.96,79.97029702970299,244.34830518516915,2680.54,69.77227722772278,212.21434001538043,3093.04,79.2277227722772,241.40706231521654
21,3291.82,80.82178217821782,246.26345936782786,3319.3,81.34653465346537,247.53010098438517,3265.36,80.39603960396038,245.55523791325663,2819.94,69.009900990099,209.70220808968762,3252.88,79.12871287128714,241.2984623747008
22,3455.36,80.96039603960395,246.4292991774779,3482.92,81.00000000000003,246.72679665815107,3428.6,80.81188118811882,246.68374844688506,2961.82,70.23762376237623,213.2856232627849,3413.58,79.55445544554456,242.38886411857425
23,3617.06,80.04950495049506,243.1786986251907,3646.36,80.9108910891089,246.01393408096843,3590.6,80.19801980198018,244.32386998602632,3102.48,69.63366336633662,211.73104468873217,3573.58,79.20792079207921,241.46410858234876
24,3778.46,79.90099009900992,243.40025398438294,3811.22,81.61386138613861,248.19535859237376,3753.32,80.55445544554455,245.69287300140627,3243.02,69.57425742574257,211.5563522134298,3734.26,79.54455445544556,242.46666847951542
25,3940.98,80.45544554455444,244.72855560086643,3975.86,81.50495049504951,247.99937358428176,3915.62,80.34653465346533,245.67218595696693,3383.02,69.30693069306932,211.13662940731217,3896.08,80.10891089108911,243.96948780181708
26,4102.76,80.08910891089111,243.97565377666717,4141.62,82.05940594059405,249.607833247835,4077.52,80.14851485148515,244.65853698762402,3523.12,69.35643564356437,211.21147453763749,4058.46,80.38613861386139,244.93000284278577
27,4264.2,79.92079207920794,243.16097082778572,4305.84,81.29702970297032,247.35774631541454,4240.76,80.81188118811882,246.5179584754345,3663.42,69.45544554455445,211.49016157921977,4219.44,79.6930693069307,242.8604521235905
28,4425.72,79.96039603960398,243.2140660263296,4470.04,81.2871287128713,247.36077175053057,4404.34,80.980198019802,246.78680360733225,3804.36,69.77227722772278,211.8822977093722,4380.86,79.91089108910892,243.33354806459013
29,4587.34,80.00990099009901,243.36115800169068,4634.38,81.35643564356435,247.86851217083884,4566.14,80.09900990099011,244.4039117598431,3945.9,70.06930693069307,213.10459877159076,4542.52,80.02970297029701,244.2943545892153
30,4748.92,79.99009900990099,243.46802307036197,4798.14,81.06930693069306,246.4162226623364,4728.42,80.33663366336634,245.14962753246954,4086.88,69.79207920792076,212.2464603965519,4704.66,80.26732673267327,244.66784396107508
