timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,14.22,7.11,103.76365795897,42.6,21.3,353.5509427541822,42.94,21.47,357.4939098317807,3.78,1.89,9.359592433671722,71.24,35.62,234.12112884577883,15.02,7.51,105.31415732357978
2,42.56,14.17,203.01327159333988,142.58,49.99,476.97701563643454,139.94,48.5,470.4464668387916,12.12,4.17,23.74675751820845,186.38,57.57,396.72826633157996,42.88,13.93,199.48464736418282
3,84.66,21.05,294.8559517390146,280.64,69.03,551.3467410131177,293.7,76.88,586.2708801468846,24.66,6.27,40.3420063299441,327.82,70.72,485.8085794331236,84.18,20.65,294.405855463857
4,139.82,27.58,377.87241847556913,439.32,79.34,592.6622062438672,479.64,92.97,652.3579619897592,42.08,8.71,57.05959671280658,488.16,80.17,558.582970616058,139.0,27.41,382.85562947134576
5,206.64,33.41,403.9674834703465,616.76,88.72,623.3249547235245,674.22,97.29,666.6660101710582,64.32,11.12,76.89714726554068,660.78,86.31,597.3809997632093,205.6,33.3,404.64597628076234
6,285.36,39.36,425.5352589850028,803.4,93.32,647.3072002977599,869.5,97.64,668.5955515120507,91.16,13.42,88.55981749246652,840.1,89.66,617.4148131351353,284.62,39.51,429.1497368215569
7,376.02,45.33,445.9593136809774,995.32,95.96,662.6895697610136,1064.54,97.52,668.8136445376035,119.14,13.99,89.40665425964671,1023.08,91.49,629.5773634461507,374.94,45.16,451.4243474423183
8,477.34,50.66,471.32522054733295,1188.66,96.67,666.9784786220881,1259.14,97.3,666.8559090428987,150.38,15.62,101.14523362071176,1209.74,93.33,644.3407995226636,476.16,50.61,476.08464249885196
9,588.9,55.78,491.7272662874574,1382.72,97.03,662.5087773850938,1454.1,97.48,670.5579024338526,185.26,17.44,116.30438774235567,1397.26,93.76,647.4588736540138,588.44,56.14,495.85213157854196
10,711.5,61.3,513.061233140144,1577.18,97.23,667.1584288868019,1649.9,97.9,673.9510995393077,223.46,19.1,128.23240839290875,1586.2,94.47,647.1542051714139,710.24,60.9,515.1853090867637
11,843.22,65.86,532.0961645703461,1770.9,96.86,664.5085396792986,1845.08,97.59,670.5260649804982,263.84,20.19,135.97708940867852,1776.12,94.96,645.5762041873995,840.92,65.34,534.1428253598261
12,985.12,70.95,555.4325204274154,1965.34,97.22,666.8339045358052,2039.46,97.19,668.2887992201814,306.22,21.19,140.38843499161828,1965.56,94.72,647.4533086811531,980.34,69.71,553.5087480780733
13,1135.52,75.2,570.133007360972,2160.74,97.7,670.5621429005945,2234.78,97.66,672.2033480471791,351.46,22.62,144.78935943154065,2156.2,95.32,655.5674679187366,1128.06,73.86,570.1215569407093
14,1294.46,79.47,589.3313765731128,2355.76,97.51,669.378146690332,2430.46,97.84,673.0756838831337,399.3,23.92,154.32497039170016,2349.04,96.42,658.2230236200008,1284.12,78.03,582.3594481934082
15,1461.0,83.27,602.555111145377,2549.82,97.03,666.031869603108,2625.2,97.37,669.0516262473581,450.32,25.51,166.07865640359788,2540.7,95.83,655.6070348204328,1449.44,82.66,603.5214925348894
16,1634.5,86.75,614.3282392955816,2744.58,97.38,669.7413276153036,2821.14,97.97,671.7241082156506,505.28,27.48,175.23236630603452,2733.32,96.31,661.0012713840326,1622.62,86.59,621.8453724060857
17,1814.82,90.16,630.7506330047777,2938.88,97.15,665.6446715759441,3015.92,97.39,667.8669119121263,563.54,29.13,184.41263325384054,2926.52,96.6,660.476183449834,1801.58,89.48,628.4512361661323
18,2002.12,93.65,649.6708617728306,3133.32,97.22,668.4916479274696,3211.54,97.81,672.4839546318638,624.1,30.28,191.8542406665377,3119.46,96.47,660.934469788999,1985.74,92.08,643.2933095686683
19,2191.78,94.83,654.8387487361241,3327.7,97.19,664.3679796562354,3407.08,97.77,670.1586987613441,686.46,31.18,197.05692007540435,3311.88,96.21,654.1229852073485,2172.7,93.48,651.5312357672502
20,2383.54,95.88,662.5803941144021,3523.1,97.7,668.4485228404322,3600.86,96.89,663.0257448075444,752.3,32.92,205.3920995456686,3504.98,96.55,658.4727253791134,2363.08,95.19,659.6738266435042
21,2576.58,96.52,665.2961555579058,3717.08,96.99,663.98538449206,3794.72,96.93,667.00643627451,819.16,33.43,208.58089011189838,3696.32,95.67,653.9590446567427,2555.66,96.29,662.3831392163506
22,2770.52,96.97,665.8407093765642,3911.96,97.44,667.7589001168135,3990.14,97.71,671.2014186836145,887.06,33.95,210.92117125119842,3888.62,96.15,656.5569349338775,2749.12,96.73,666.6686974241957
23,2964.12,96.8,662.3558977815544,4106.26,97.15,666.8232755810523,4184.5,97.18,669.5217598311978,957.22,35.08,216.11321294395665,4079.92,95.65,657.240787248029,2942.3,96.59,664.7988597803525
24,3156.74,96.31,656.2702833067192,4301.44,97.59,668.1045829791925,4379.88,97.69,671.2922355177279,1029.2,35.99,222.36738815550737,4271.48,95.78,655.2095731752815,3136.04,96.87,668.6104226408296
25,3349.76,96.51,659.7982662110123,4497.28,97.92,671.1368555970357,4575.18,97.65,670.2708645541563,1103.56,37.18,228.91731522077345,4462.72,95.62,653.9259947617311,3330.08,97.02,664.9421086956671
26,3543.28,96.76,662.6473870178369,4693.06,97.89,670.6489392442431,4769.62,97.22,666.2444296884416,1178.78,37.61,230.90148578283777,4653.92,95.6,654.4130677586286,3524.78,97.35,667.732177954126
27,3736.54,96.63,659.8519636634978,4887.94,97.44,665.31876234438,4964.68,97.53,669.6092156710208,1256.98,39.1,240.49797290117203,4846.9,96.49,665.4212040857301,3719.34,97.28,665.4556715562497
28,3928.78,96.12,658.5604390594943,5082.76,97.41,668.0692748487312,5159.06,97.19,666.2249213248507,1337.98,40.5,249.3723943320301,5039.78,96.44,659.3141904272073,3914.88,97.77,670.7488694137018
29,4123.3,97.26,663.474170779805,5278.7,97.97,669.7044245349451,5354.78,97.86,669.667356159892,1419.36,40.69,252.23107739179224,5232.6,96.41,658.2238278456092,4108.8,96.96,668.3224397926623
30,4316.76,96.73,658.0756762915765,5472.48,96.89,665.7202279484113,5549.7,97.46,670.319202989678,1502.46,41.55,260.8260074386961,5426.22,96.81,662.2840005541038,4301.86,96.53,664.1714003204761
