timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean
1,245.7,59.92682926829265,366.05051800729285,242.4,59.12195121951219,362.0552556608301,234.14,57.10731707317074,349.34786993999717
2,559.06,76.42926829268295,467.9348112743097,550.0,75.02439024390243,459.7802393776094,534.78,73.32682926829267,449.0912917439162
3,895.84,82.14146341463415,503.10774734530276,883.1,81.24390243902438,497.7777534720413,858.1,78.85853658536587,483.11084231455834
4,1240.62,84.09268292682927,515.04500750766,1223.52,83.0292682926829,508.90660183624163,1188.38,80.5560975609756,494.20052410912655
5,1588.64,84.88292682926829,519.9369354934629,1569.92,84.48780487804878,518.5348972577272,1525.32,82.18048780487806,503.3751471815675
6,1938.84,85.41463414634147,523.3234972798989,1918.42,85.00000000000001,521.5447050943922,1864.26,82.6682926829268,506.287438478974
7,2291.04,85.90243902439026,526.3452712666904,2267.4,85.11707317073171,522.4447034990752,2204.48,82.98048780487805,507.9061338566622
8,2642.98,85.8390243902439,525.3950297075654,2618.36,85.59999999999998,525.1445182969472,2544.04,82.81951219512193,506.817721487165
9,2994.2,85.66341463414636,525.031222472241,2970.1,85.79024390243903,526.4767925460533,2884.82,83.11707317073173,508.93688549918994
10,3345.12,85.59024390243901,524.5266013956281,3321.76,85.77073170731704,527.1129815498658,3224.76,82.91219512195119,507.9396410440933
11,3695.66,85.49756097560972,523.8779438022458,3672.02,85.42926829268292,524.4769949108406,3564.48,82.85853658536587,508.13372349610404
12,4045.68,85.37073170731706,522.742616663143,4023.24,85.66341463414633,525.5682077116777,3903.72,82.74146341463414,506.8585364712915
13,4396.88,85.65853658536588,524.6102505148912,4373.38,85.39999999999996,524.2872472339437,4243.32,82.82926829268291,507.23991182968945
14,4747.32,85.4731707317073,523.4426259938706,4725.12,85.79024390243902,526.4496929605158,4584.44,83.19999999999999,509.5162867746336
15,5098.4,85.62926829268294,524.2974058500891,5077.7,85.99512195121952,527.9844154706935,4924.74,83.0,508.76870529624034
16,5449.36,85.6,524.5472733866366,5430.36,86.01463414634145,527.5345603399189,5264.76,82.93170731707316,508.14271031591824
17,5801.24,85.82439024390243,526.2518091625475,5782.6,85.91219512195121,527.5987022009544,5605.44,83.09268292682926,509.50418432289484
18,6151.5,85.42926829268293,523.355512414232,6134.86,85.9170731707317,527.3311028533661,5946.82,83.26341463414634,510.360246046189
19,6503.4,85.82926829268297,525.9212316574165,6485.6,85.54634146341466,525.2171619758835,6288.0,83.21463414634145,510.01485740691373
20,6854.98,85.75121951219514,525.5951935436327,6834.08,84.99512195121952,521.2371437853622,6627.54,82.81463414634146,507.52646278841365
21,7206.82,85.81463414634146,526.2335674065288,7183.18,85.14634146341464,522.0904702820146,6967.72,82.97073170731706,508.209113645744
22,7559.62,86.04878048780488,527.1787367134448,7532.86,85.28780487804879,523.5694784050324,7308.84,83.19999999999996,509.6913187069757
23,7910.7,85.62926829268294,524.2004313325699,7882.34,85.23902439024388,523.5279392913799,7650.28,83.2780487804878,509.59261086066545
24,8260.78,85.38536585365853,523.1164610501781,8233.46,85.63902439024392,525.7216639660516,7990.22,82.91219512195121,507.5543891324071
25,8611.18,85.46341463414636,523.9294818923012,8584.98,85.73658536585366,526.4736679398799,8327.92,82.36585365853657,504.9239969993908
26,8963.32,85.8878048780488,526.0759421100937,8936.3,85.6878048780488,526.4905266800081,8665.48,82.33170731707318,503.8386399319087
27,9314.52,85.65853658536588,524.7365213592482,9284.76,84.99024390243902,521.3171995141398,9004.78,82.75609756097562,506.7181554303812
28,9666.54,85.85853658536587,525.6355315010187,9635.38,85.51707317073169,524.7604098511456,9346.0,83.22439024390245,509.52943719815056
29,10018.56,85.8585365853659,526.1345996635088,9985.3,85.34634146341463,523.9115475329914,9684.56,82.57560975609756,505.87032233952124
30,10370.18,85.7609756097561,525.4839012699066,10333.66,84.96585365853657,522.0565247746765,10025.82,83.2341463414634,509.7282666140254
