timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,29.8,14.752475247524746,161.8486422006994,35.08,17.36633663366337,193.07931543294882,42.66,21.118811881188122,252.4019325212568,7.72,3.8217821782178216,44.17114013078913,32.04,15.86138613861386,176.66606727903215,25.06,12.405940594059407,133.63143321487723
2,80.14,24.920792079207917,280.26553468828644,88.94,26.663366336633672,296.00578226506866,102.64,29.693069306930706,355.20786626411666,21.52,6.831683168316832,76.60127939886475,85.06,26.24752475247525,289.89976445508375,67.16,20.84158415841584,229.71253827857097
3,141.4,30.326732673267333,335.73356913562884,153.68,32.049504950495056,357.13635223122117,168.76,32.73267326732673,388.38904175172735,41.44,9.86138613861386,109.69877502750393,147.82,31.069306930693074,344.89472455787495,120.88,26.594059405940598,292.0787516446211
4,209.88,33.9009900990099,376.91044528885925,224.5,35.05940594059407,391.09536967570114,240.64,35.58415841584158,426.1506532238914,71.14,14.702970297029706,162.0724097554735,215.0,33.25742574257427,367.9576389830217,189.38,33.910891089108915,374.3485115548224
5,280.32,34.87128712871287,381.49251196884904,298.02,36.396039603960396,408.203555419901,312.4,35.52475247524753,423.9709573369487,106.5,17.504950495049503,195.9360213836622,285.38,34.84158415841584,384.77854937851157,257.1,33.52475247524753,369.77589722146047
6,351.42,35.19801980198021,388.6831768853937,369.92,35.59405940594059,398.0242998109974,386.58,36.722772277227726,437.3360373506465,144.88,19.0,211.49351611325758,358.02,35.960396039603964,398.610384418144,324.84,33.53465346534654,369.9585033071678
7,424.66,36.25742574257427,397.5192806464294,443.04,36.198019801980195,405.3012418488358,463.78,38.21782178217823,455.44178528453324,184.76,19.742574257425737,218.0952212905661,431.74,36.4950495049505,407.5175296555381,396.86,35.65346534653467,394.8038264936853
8,495.32,34.980198019801975,386.93506729001604,519.9,38.04950495049505,427.0742398467635,538.78,37.12871287128714,442.82029182820554,230.26,22.524752475247524,252.47921578362144,507.26,37.38613861386139,414.5818092771947,470.76,36.584158415841586,404.09754702375386
9,569.3,36.623762376237636,408.80454098400565,595.34,37.346534653465355,420.21419339700054,613.74,37.108910891089096,440.2264899036626,277.66,23.46534653465346,264.1053633541259,582.04,37.01980198019803,412.6010282380091,542.2,35.36633663366338,395.0524447188534
10,642.4,36.188118811881196,404.13733571542537,668.4,36.168316831683185,408.45226234258536,690.9,38.1980198019802,451.8322231709433,329.96,25.89108910891089,288.712516516734,657.26,37.23762376237624,414.44569596565424,615.5,36.287128712871294,406.2191535640676
11,717.44,37.14851485148515,410.54561979608576,742.1,36.48514851485149,410.0695545066977,768.62,38.475247524752476,452.5487612862898,382.3,25.910891089108908,287.8773850703158,729.2,35.613861386138616,395.563121055999,689.36,36.56435643564356,404.1964365336243
12,792.18,37.00000000000001,408.3614389262927,818.48,37.81188118811881,421.7261063823571,844.86,37.742574257425744,448.3008894791913,432.98,25.089108910891085,277.7073795819548,801.22,35.65346534653465,395.47843330043224,760.88,35.405940594059416,392.30815449223593
13,865.58,36.33663366336635,404.86247626502546,894.56,37.663366336633665,423.08170203831986,921.32,37.85148514851487,450.6868823544132,482.36,24.44554455445544,267.41962885643244,874.52,36.28712871287128,399.34783724940104,831.56,34.990099009901,384.41667913739906
14,943.16,38.405940594059395,424.5171889159694,971.26,37.970297029702984,426.39721789895236,996.5,37.217821782178206,443.66731952178196,530.2,23.68316831683168,262.21944105602256,947.86,36.30693069306931,407.35913093536846,901.86,34.80198019801981,387.6310909336997
15,1018.72,37.40594059405941,413.8554327357071,1047.02,37.5049504950495,421.1884940409216,1070.78,36.772277227722775,437.6052763138063,578.34,23.831683168316832,265.4289496091893,1020.88,36.14851485148517,399.6592295334196,973.16,35.29702970297029,392.92048297899584
16,1094.26,37.396039603960396,412.20629460995605,1124.0,38.108910891089124,426.48245973436025,1143.76,36.12871287128713,428.51548363750334,628.08,24.62376237623762,276.5470685618894,1093.36,35.881188118811885,395.8490585157729,1044.7,35.41584158415842,388.545778035635
17,1169.34,37.168316831683164,410.1145092928511,1199.8,37.524752475247524,422.10009288978165,1220.22,37.851485148514854,446.4096215616368,678.66,25.03960396039604,279.5661174309768,1165.28,35.60396039603962,390.51244104600954,1116.32,35.45544554455446,388.81498199236853
18,1243.82,36.87128712871288,410.8457459395349,1276.24,37.84158415841585,423.0095072065331,1296.72,37.87128712871288,446.5762907539363,729.3,25.06930693069307,277.10915847083646,1236.22,35.11881188118814,392.7257136148335,1184.86,33.93069306930692,375.2684471866468
19,1318.42,36.93069306930695,410.9337763435303,1353.8,38.396039603960396,430.88141637689637,1374.54,38.524752475247524,456.3219424121903,779.3,24.75247524752475,272.064455864562,1308.28,35.67326732673266,399.74829637820346,1253.6,34.02970297029704,377.8191174252147
20,1391.36,36.10891089108911,407.74099704822976,1428.5,36.98019801980199,415.2005564465828,1452.38,38.534653465346544,453.0676579852861,830.98,25.58415841584159,282.43701527004674,1381.92,36.455445544554465,405.0449313206277,1322.96,34.336633663366335,381.76367247096647
21,1465.34,36.62376237623763,410.4431231052711,1503.58,37.168316831683185,418.28762392441257,1527.56,37.21782178217823,440.88162295152034,881.68,25.099009900990104,278.32339673837424,1452.6,34.990099009900995,387.2717759535541,1394.92,35.62376237623763,392.26451991146735
22,1540.88,37.39603960396041,418.913584189949,1579.48,37.574257425742566,420.57809675255436,1603.58,37.63366336633664,446.62568102813896,934.18,25.990099009900995,288.186825811116,1524.22,35.45544554455444,391.94573201220453,1468.72,36.534653465346544,407.81931178858645
23,1616.78,37.57425742574257,416.16032311069915,1653.56,36.67326732673268,412.6047180891297,1676.72,36.2079207920792,430.1405527782492,985.2,25.257425742574263,279.3269261460722,1597.2,36.128712871287135,403.06902860658784,1541.34,35.95049504950496,400.5217539596145
24,1692.7,37.58415841584158,418.31734389444324,1730.88,38.27722772277229,430.17492774311904,1749.8,36.17821782178218,431.14519263321296,1035.42,24.861386138613867,277.91753704722726,1670.98,36.52475247524753,404.02657930993155,1612.28,35.11881188118812,386.0230193869707
25,1771.62,39.069306930693074,435.78829642270733,1807.0,37.68316831683168,425.771064335941,1824.32,36.8910891089109,437.5164630948688,1085.48,24.78217821782178,280.3475839978673,1744.64,36.46534653465347,404.3441629944449,1682.6,34.81188118811882,386.82634685709144
26,1849.98,38.79207920792081,433.4996573246811,1882.24,37.24752475247524,418.7476514060387,1899.62,37.277227722772274,437.92533646515176,1135.02,24.524752475247524,275.2998738869682,1817.64,36.138613861386155,403.51141213156365,1754.64,35.663366336633665,396.3640050606705
27,1925.24,37.25742574257426,410.5104076087912,1956.76,36.89108910891089,412.64390721656264,1972.16,35.910891089108915,426.72657755203653,1184.46,24.475247524752476,271.4434862797223,1888.62,35.13861386138615,390.64448043443883,1825.86,35.257425742574256,390.96658492609504
28,2001.16,37.584158415841586,417.84204735551475,2029.6,36.05940594059406,405.0269074330627,2044.6,35.86138613861386,422.3264176197774,1234.34,24.693069306930692,274.51391217550884,1959.68,35.17821782178217,388.93948161753207,1896.6,35.019801980198025,386.6575498621612
29,2077.84,37.960396039603964,417.51266471898043,2101.84,35.76237623762377,400.1591845431895,2119.54,37.099009900990104,437.7656467822255,1287.18,26.15841584158415,288.87650776285307,2032.62,36.10891089108911,396.00368032200015,1968.66,35.67326732673269,396.69740745468573
30,2153.9,37.65346534653466,417.608841195728,2175.56,36.49504950495049,410.7759475844913,2195.36,37.53465346534653,444.6004663787647,1341.72,27.0,293.413710173939,2105.94,36.297029702970306,402.5426428619709,2040.94,35.78217821782179,396.7550729446091
