timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,32.34,16.009900990099013,187.86345298397953,29.38,14.544554455445548,174.43745842575126,39.12,19.366336633663366,240.19280537038486,8.38,4.148514851485148,47.7369810001531,32.42,16.049504950495045,179.50016164159507,24.72,12.237623762376238,124.38709365376646
2,86.16,26.643564356435647,301.10295095296505,79.88,25.0,295.07976153439085,96.78,28.544554455445535,353.6424924205323,24.56,8.009900990099009,89.60226558281347,85.88,26.465346534653467,297.6491517582502,67.84,21.34653465346535,229.02651616858392
3,155.46,34.30693069306932,391.29459378445847,145.24,32.35643564356437,374.28674592035566,164.92,33.73267326732674,409.78900569114603,49.54,12.366336633663364,141.1643490049684,147.52,30.514851485148515,343.83126839531224,125.32,28.455445544554454,306.94280605275003
4,230.64,37.21782178217822,423.52262422541907,218.06,36.049504950495056,411.183455428583,239.06,36.70297029702971,439.829787069658,81.54,15.84158415841584,180.01427332257217,215.7,33.75247524752476,378.54969450743755,189.5,31.772277227722775,348.7096476795925
5,305.28,36.95049504950495,420.2385750208751,292.5,36.851485148514854,421.7154945820364,314.76,37.47524752475247,451.6566102237955,119.78,18.930693069306937,213.666800931802,286.12,34.86138613861386,393.90051111202,258.26,34.03960396039604,373.3289655919938
6,381.56,37.762376237623755,432.6036485372267,367.22,36.990099009900995,429.91043538246595,390.48,37.48514851485149,456.76155082563434,161.68,20.74257425742574,230.6689487255821,358.62,35.8910891089109,400.7865284590535,330.7,35.861386138613874,393.8059510151372
7,457.16,37.42574257425744,425.85393361091184,442.48,37.25742574257427,432.5084551004172,466.16,37.46534653465346,451.6545250018817,206.8,22.33663366336633,251.1963401315084,431.18,35.92079207920793,402.13976627452047,405.54,37.049504950495056,404.5726763984593
8,531.76,36.93069306930693,417.0452075677525,520.62,38.68316831683168,446.7070791698046,540.58,36.841584158415834,445.5459499808244,253.04,22.89108910891089,256.65944921309455,506.98,37.524752475247546,419.6386325100699,478.9,36.31683168316831,394.1403825555959
9,606.82,37.15841584158416,419.26063324209724,596.82,37.722772277227726,437.1962660741189,616.42,37.54455445544554,448.16847611302114,299.38,22.940594059405935,259.3594800185316,583.54,37.900990099009896,426.6655333729723,553.02,36.6930693069307,401.7976681648571
10,681.0,36.722772277227726,415.485461436283,671.92,37.17821782178218,428.6911467908578,692.98,37.9009900990099,457.193961168535,346.84,23.495049504950497,264.3007949591597,657.26,36.4950495049505,410.34684368092707,625.64,35.95049504950495,392.36578715043356
11,756.72,37.4851485148515,426.23092322566146,748.12,37.722772277227726,437.3371048279354,771.98,39.108910891089124,467.1949280143804,395.02,23.851485148514847,266.3206203441539,731.9,36.95049504950496,418.56407966984557,699.78,36.702970297029694,405.09897613780834
12,833.68,38.09900990099011,431.68994308760836,826.58,38.84158415841585,449.43472224723956,850.38,38.81188118811881,464.84386169354445,445.6,25.039603960396043,284.1626492015877,807.62,37.485148514851495,428.29399731341795,771.92,35.71287128712872,390.91302847539396
13,911.16,38.35643564356435,433.7084453190609,904.38,38.51485148514851,447.8311689724076,928.08,38.46534653465347,463.11671778411323,496.06,24.98019801980198,278.41147517003077,883.8,37.71287128712872,425.5030845082558,844.52,35.940594059405946,392.20805514189834
14,989.48,38.77227722772277,439.4457580412742,978.28,36.584158415841586,422.9791711061568,1006.2,38.67326732673269,464.45312915459647,546.2,24.821782178217827,279.04047482624696,957.32,36.396039603960396,410.78894532448766,916.18,35.475247524752476,388.9552619565618
15,1069.66,39.693069306930695,447.25096294866506,1054.0,37.48514851485149,437.9127035633547,1082.94,37.99009900990099,456.8259905066918,596.1,24.702970297029704,279.03754230564965,1031.38,36.66336633663367,410.6814772481124,989.32,36.20792079207921,398.0056043317166
16,1147.48,38.524752475247524,435.2562953970497,1128.26,36.76237623762378,423.76135202584805,1160.48,38.386138613861405,459.79772066375097,646.1,24.752475247524757,280.38641769566607,1103.38,35.64356435643565,406.1486477435324,1064.0,36.970297029702984,408.08556955300236
17,1223.32,37.54455445544554,426.3402685336943,1205.24,38.10891089108911,439.44979902252766,1237.26,38.009900990099005,459.72128134036194,699.36,26.36633663366336,300.8242721162155,1176.4,36.14851485148515,407.2733615482768,1138.46,36.86138613861387,404.215965400387
18,1300.04,37.98019801980197,433.2786468207649,1284.3,39.13861386138615,453.9089433202996,1313.84,37.9108910891089,458.0036593208432,752.0,26.059405940594058,296.1239594410877,1253.44,38.13861386138615,427.39378061703945,1211.4,36.10891089108912,396.73351750047294
19,1375.64,37.42574257425744,425.8538205078765,1360.2,37.57425742574259,433.36403012057576,1389.2,37.30693069306932,451.98397834080475,806.44,26.950495049504944,302.6651532885269,1329.48,37.64356435643563,424.33302173129334,1285.96,36.910891089108915,409.449010927476
20,1451.2,37.40594059405942,422.20639371382873,1437.66,38.34653465346535,440.7095828531543,1464.54,37.297029702970306,447.53334359448655,857.58,25.31683168316831,286.61161641387616,1401.14,35.475247524752476,403.68411122254673,1358.96,36.13861386138614,393.00548359649264
21,1527.56,37.8019801980198,433.239172645842,1513.9,37.742574257425744,433.9818668790707,1543.52,39.09900990099012,467.4289360554179,908.32,25.118811881188115,284.72609841111006,1473.48,35.811881188118804,396.8921152806031,1430.16,35.24752475247524,382.380633577018
22,1603.16,37.42574257425744,422.6011119562497,1591.44,38.386138613861384,444.5668191557315,1624.14,39.910891089108915,480.3537272988105,960.04,25.603960396039593,293.52121454192945,1547.12,36.455445544554465,408.3243852410909,1502.44,35.78217821782178,393.5076219165505
23,1681.44,38.75247524752474,437.62776186867353,1669.82,38.80198019801981,444.41766249119837,1702.34,38.71287128712872,464.14942349955084,1010.12,24.792079207920793,280.87083165113927,1620.06,36.1089108910891,406.61326191284564,1575.96,36.396039603960396,400.5174365950343
24,1759.68,38.73267326732673,439.0161973315035,1746.86,38.13861386138614,442.92100674016626,1779.9,38.39603960396041,460.35295047034225,1063.26,26.30693069306931,298.72861291536634,1693.92,36.56435643564358,411.25489011326766,1650.94,37.118811881188115,405.7098702127794
25,1838.8,39.168316831683164,447.94219283228546,1823.82,38.099009900990104,440.4675250644702,1856.52,37.93069306930692,454.6705303320766,1117.22,26.71287128712871,303.3233075292293,1767.04,36.1980198019802,401.93595269751626,1725.7,37.00990099009901,404.5194014168861
26,1916.28,38.35643564356437,428.93503577120697,1899.08,37.25742574257427,428.22187381264007,1933.74,38.227722772277225,461.1918384902804,1170.52,26.38613861386139,300.5563547695103,1839.28,35.76237623762377,396.433811699263,1801.72,37.63366336633665,409.5078206675651
27,1991.6,37.28712871287129,418.3689843401305,1973.52,36.851485148514854,421.79428378514274,2012.18,38.83168316831683,467.27561745461605,1224.24,26.594059405940587,299.11382469985546,1915.28,37.62376237623763,421.27854923809156,1873.84,35.702970297029715,390.0768599273142
28,2067.94,37.7920792079208,428.33154619068046,2049.02,37.37623762376238,428.1614069951973,2091.12,39.079207920792086,471.9896279788034,1278.18,26.702970297029715,303.17385669736393,1989.86,36.92079207920793,414.0393013919472,1947.64,36.53465346534653,398.39895529913304
29,2143.72,37.51485148514852,423.6591417652415,2126.38,38.2970297029703,440.40560606828177,2168.06,38.0891089108911,462.7596822075188,1332.2,26.74257425742574,300.4687106196878,2065.72,37.55445544554455,424.49489342792475,2020.38,36.00990099009901,394.89824743350226
30,2219.74,37.63366336633665,427.18960650607,2202.68,37.77227722772278,432.3471029967122,2247.36,39.25742574257427,475.1185494370511,1384.02,25.653465346534652,283.07100207188984,2140.14,36.841584158415834,415.7774918124396,2093.94,36.41584158415842,398.125013221494
