timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,27.82,13.772277227722773,166.59917415391183,35.64,17.643564356435643,213.2040951039519,36.36,18.000000000000007,228.78299539704147,5.34,2.643564356435644,29.610159163982217,30.74,15.217821782178218,173.5909019557509,20.52,10.158415841584159,111.44578231193624
2,73.18,22.455445544554458,256.3576769977256,93.18,28.48514851485148,338.15764599437404,92.98,28.029702970297034,348.3180966723583,18.58,6.554455445544554,73.94433065176699,79.96,24.366336633663362,279.09258381566855,62.2,20.63366336633663,232.82313388914017
3,132.38,29.306930693069305,346.9245088034463,160.5,33.32673267326732,390.4937177884364,162.6,34.46534653465348,420.949715467093,39.44,10.326732673267323,116.85102522498924,138.72,29.089108910891092,333.0616964351708,117.76,27.50495049504951,313.2699792020608
4,198.74,32.851485148514854,383.36134214317775,231.42,35.108910891089124,410.1052413980727,233.62,35.15841584158416,432.8406765664376,65.74,13.01980198019802,150.34639768179284,204.14,32.3861386138614,371.3879096569184,182.82,32.2079207920792,365.9842893283523
5,269.92,35.237623762376245,409.2135516013148,305.82,36.83168316831685,431.7481160039937,306.66,36.15841584158416,447.06448686666585,96.72,15.336633663366335,179.48236433453638,274.38,34.77227722772277,397.7477541644789,252.0,34.24752475247526,391.66817858939726
6,346.42,37.87128712871287,440.6179391315682,382.42,37.920792079207935,439.60835623092476,385.4,38.98019801980198,474.5428126882682,134.06,18.485148514851485,214.3087208582393,347.6,36.24752475247526,415.01186778413745,324.32,35.80198019801981,407.8537271450267
7,423.36,38.089108910891106,442.5309163531418,458.44,37.63366336633663,439.0459059469756,462.7,38.26732673267326,466.41556450504294,172.36,18.96039603960396,217.83958427568714,420.84,36.25742574257426,413.90436967684104,394.78,34.88118811881188,395.6954911154792
8,500.28,38.07920792079209,435.4960592522317,537.34,39.05940594059407,453.49905887626136,541.44,38.980198019801996,477.43778093847965,214.78,21.0,240.254343961911,492.54,35.4950495049505,408.4253455735772,467.24,35.87128712871287,406.7075578918247
9,574.78,36.881188118811885,427.8115390867614,616.08,38.980198019801975,453.84879044133214,620.26,39.019801980198025,476.93909791799786,263.56,24.148514851485146,276.7390912632477,567.9,37.30693069306932,428.94162007384324,542.56,37.287128712871294,427.7442694054989
10,649.04,36.76237623762378,429.0784970362795,693.9,38.52475247524752,448.5798114012774,699.28,39.11881188118813,474.8458249667872,315.56,25.74257425742576,294.96641117099387,643.06,37.2079207920792,426.85785241887146,617.16,36.930693069306926,421.8991732532066
