timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean
1,60.0,80.0,87.63948740498783,60.3,80.4,88.65324013072652,60.4,80.53333333333333,88.27722689811446
2,128.4,91.20000000000002,99.8871047790563,128.7,91.2,99.89517597410364,128.3,90.53333333333333,99.14735356093661
3,197.3,91.86666666666667,100.22986148300507,199.0,93.73333333333332,102.48540715940558,197.1,91.73333333333333,100.05022341109957
4,266.7,92.53333333333335,101.39927572228618,268.4,92.53333333333333,101.16522292685686,266.1,92.0,100.82660691889801
5,337.5,94.4,103.29852584913382,338.1,92.93333333333334,101.97864450335986,335.2,92.13333333333334,100.49411369750192
6,407.3,93.06666666666666,101.56872361508815,408.0,93.19999999999999,101.96256266060962,405.7,94.00000000000001,103.12602533496647
7,476.6,92.4,100.76220531669775,478.2,93.6,102.01303351727773,475.5,93.06666666666668,101.79596250542393
8,546.9,93.73333333333332,102.43264224819586,547.7,92.66666666666666,101.41617499633892,544.6,92.13333333333334,101.17865762783303
9,616.8,93.2,102.07184244305033,618.4,94.26666666666667,103.16973493787725,613.6,91.99999999999999,100.70636353644856
10,686.3,92.66666666666666,101.36530653637142,688.3,93.2,101.9095249590182,682.4,91.73333333333333,100.39001573421501
11,755.8,92.66666666666666,101.60898188685599,759.3,94.66666666666667,103.58857440605959,752.7,93.73333333333333,102.57007602142474
12,825.3,92.66666666666667,101.47621143779361,829.2,93.2,101.7273696404732,822.0,92.4,100.65927663655607
13,895.2,93.2,102.19772346141714,899.4,93.6,102.15025085456134,890.5,91.33333333333331,99.83699283796673
14,967.2,95.99999999999999,104.96891877534878,970.7,95.06666666666666,104.01560603882542,959.7,92.26666666666667,100.8118336797493
15,1037.5,93.73333333333332,102.6868953454713,1041.2,94.00000000000001,102.88232826140434,1029.2,92.66666666666666,101.5338400692113
16,1108.1,94.13333333333335,102.89332673521844,1111.6,93.86666666666667,102.54765547372351,1097.2,90.66666666666666,99.37459972549456
17,1178.9,94.4,103.03817587980352,1182.2,94.13333333333334,102.85466989603222,1166.2,91.99999999999999,100.6443864852771
18,1250.0,94.8,103.60208777006794,1253.0,94.4,103.35349764182358,1235.3,92.13333333333333,100.8595298798397
19,1320.3,93.73333333333332,102.54611335638538,1323.4,93.86666666666666,102.50049819157394,1304.6,92.4,100.84494699264509
20,1390.5,93.6,102.45523781799243,1391.9,91.33333333333334,100.10527170706688,1373.8,92.26666666666667,101.22489216861713
21,1461.2,94.26666666666667,102.99482142402485,1461.3,92.53333333333333,101.31729032290963,1443.6,93.06666666666665,101.79906552062606
22,1531.3,93.46666666666667,102.12581563528299,1531.5,93.6,102.31663648068862,1512.1,91.33333333333333,99.71131527278932
23,1601.8,94.0,102.7871349447654,1601.6,93.46666666666667,102.17615308318533,1580.4,91.06666666666668,99.54750932059842
24,1671.2,92.53333333333333,101.59375333340105,1671.8,93.60000000000001,102.1791010058345,1649.3,91.86666666666666,100.32414297866093
25,1741.2,93.33333333333334,102.4056371061841,1742.0,93.6,102.49154812361442,1719.1,93.06666666666665,101.59350086778515
26,1811.6,93.86666666666667,102.78620143412999,1812.7,94.26666666666667,103.1351620936342,1789.6,94.0,102.74499558283999
27,1882.2,94.13333333333334,102.96099606805797,1883.4,94.26666666666668,102.78716987773657,1857.8,90.93333333333332,99.11997024715068
28,1953.0,94.4,103.21176387463716,1953.7,93.73333333333332,102.61264145136849,1927.9,93.46666666666667,102.47071762618548
29,2023.6,94.13333333333334,102.85205453111185,2023.6,93.2,102.23615343918728,1997.1,92.26666666666668,101.10849454515859
30,2094.7,94.8,103.72380708313369,2094.2,94.13333333333334,102.91588680696313,2066.0,91.86666666666666,100.90363586529955
