timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,97.36,48.19801980198021,145.0288284084101,96.82,47.93069306930693,144.59319376801207,98.7,48.86138613861385,147.15249182453863,93.28,46.17821782178217,139.40397208326482,97.44,48.237623762376245,145.67410256257483,99.08,49.049504950495056,148.4899630780994
2,227.72,64.53465346534657,195.48116542401723,226.96,64.42574257425743,194.99110756634465,227.3,63.66336633663367,193.02959578216294,218.66,62.06930693069307,188.10345311985122,226.1,63.693069306930695,193.3243845971128,228.9,64.26732673267325,194.56289895088364
3,373.9,72.36633663366338,219.313881139498,371.82,71.71287128712868,217.42542662621673,369.8,70.54455445544554,214.8208307420379,356.6,68.28712871287127,207.50688132580646,368.48,70.48514851485149,214.361470799401,372.78,71.22772277227722,216.01355109961386
4,526.84,75.7128712871287,229.6696391462041,525.98,76.31683168316832,231.72113526317727,522.44,75.56435643564359,230.3193042335743,502.42,72.18811881188118,219.62728721500082,517.48,73.76237623762377,224.21196512169536,524.04,74.88118811881188,227.14228584318695
5,683.78,77.6930693069307,235.29161665003744,682.62,77.54455445544554,235.20611910748016,676.3,76.16831683168319,231.95979610050438,650.58,73.34653465346534,223.28167705177736,668.96,74.99009900990097,227.70921549321633,680.8,77.60396039603962,235.721026805292
6,843.5,79.06930693069305,239.70527193164997,840.22,78.01980198019804,236.98229183677708,831.44,76.8019801980198,233.88996861043623,800.4,74.16831683168313,225.6863948965329,823.14,76.32673267326734,232.1385836199401,839.26,78.44554455445545,237.9149482223042
7,1003.14,79.02970297029705,239.82139920324306,999.04,78.62376237623764,238.5395869560456,986.92,76.97029702970295,234.5107215718704,950.92,74.51485148514853,226.55854286513684,978.12,76.72277227722773,233.05484340457042,997.6,78.38613861386139,237.885435894047
8,1162.3,78.79207920792079,239.33376689713918,1157.88,78.63366336633662,238.57967424209318,1144.38,77.95049504950494,237.60231964896005,1103.42,75.49504950495052,228.9194399283705,1132.58,76.46534653465345,232.40759885656684,1155.28,78.05940594059405,236.6748207472832
9,1322.46,79.28712871287128,240.505337752519,1317.04,78.79207920792076,238.83226751572352,1302.36,78.2079207920792,238.47126140718635,1256.42,75.74257425742574,229.97486118149425,1287.64,76.76237623762376,232.96722722041707,1313.78,78.46534653465348,238.25405117730935
10,1482.26,79.10891089108912,240.67759445913208,1478.86,80.10891089108911,243.01496394526995,1460.78,78.42574257425741,239.24342101658942,1408.66,75.36633663366337,228.61243976284905,1444.06,77.43564356435644,234.9714417011885,1471.78,78.2178217821782,237.3524933844219
