timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean
1,106.1,52.524752475247524,162.4,98.6,48.81188118811882,150.7,89.6,44.35643564356435,133.8
2,243.3,67.92079207920791,208.2,229.1,64.6039603960396,196.0,208.4,58.81188118811881,179.4
3,397.8,76.48514851485149,233.2,377.7,73.56435643564356,224.0,341.4,65.84158415841584,201.8
4,559.0,79.8019801980198,242.9,533.7,77.22772277227725,234.8,482.2,69.7029702970297,213.3
5,724.0,81.68316831683168,249.2,697.1,80.8910891089109,245.8,625.7,71.03960396039605,216.6
6,889.5,81.93069306930694,250.0,862.9,82.07920792079209,249.6,772.8,72.82178217821782,223.7
7,1056.0,82.42574257425744,250.2,1026.3,80.89108910891089,245.6,921.3,73.51485148514851,225.0
8,1225.1,83.7128712871287,255.3,1190.2,81.13861386138615,245.7,1069.8,73.51485148514851,226.7
9,1394.7,83.96039603960396,256.7,1356.1,82.12871287128714,250.2,1220.3,74.5049504950495,227.4
10,1561.0,82.32673267326733,250.9,1524.2,83.21782178217822,254.3,1371.4,74.80198019801979,229.0
11,1727.3,82.32673267326734,252.4,1690.0,82.07920792079207,249.1,1524.7,75.89108910891089,231.6
12,1896.5,83.76237623762377,254.6,1852.5,80.44554455445545,243.5,1677.5,75.64356435643565,233.6
13,2064.8,83.31683168316832,254.0,2018.2,82.02970297029702,250.3,1829.2,75.09900990099011,230.2
14,2231.9,82.72277227722772,251.9,2185.8,82.97029702970298,253.2,1983.3,76.2871287128713,233.4
15,2398.4,82.42574257425744,251.0,2352.8,82.67326732673268,253.4,2134.7,74.95049504950495,229.1
16,2568.9,84.40594059405942,258.7,2518.4,81.98019801980197,250.4,2286.1,74.95049504950495,229.0
17,2738.3,83.86138613861385,254.9,2684.5,82.22772277227723,249.6,2437.9,75.14851485148515,229.7
18,2907.5,83.76237623762374,255.2,2853.7,83.76237623762377,255.2,2589.8,75.1980198019802,229.3
19,3077.4,84.1089108910891,255.4,3023.0,83.8118811881188,255.4,2742.2,75.44554455445544,230.7
20,3248.0,84.45544554455446,257.0,3190.3,82.82178217821783,253.3,2892.5,74.40594059405942,226.7
21,3416.4,83.36633663366337,253.8,3356.3,82.17821782178217,250.7,3042.2,74.10891089108911,226.9
22,3584.5,83.21782178217822,254.6,3519.9,80.99009900990099,246.0,3189.9,73.11881188118811,224.5
23,3756.8,85.2970297029703,259.7,3688.1,83.26732673267327,254.1,3339.5,74.05940594059406,226.1
24,3926.5,84.009900990099,254.7,3853.4,81.83168316831684,249.6,3488.4,73.7128712871287,225.0
25,4097.5,84.65346534653466,257.5,4018.3,81.63366336633662,249.3,3637.5,73.81188118811882,224.3
26,4270.2,85.4950495049505,260.1,4185.1,82.57425742574257,252.4,3789.9,75.44554455445544,229.4
27,4439.3,83.7128712871287,254.4,4350.3,81.7821782178218,249.0,3939.9,74.25742574257427,225.6
28,4608.1,83.56435643564356,254.3,4517.2,82.62376237623762,251.2,4090.0,74.30693069306932,226.3
29,4776.1,83.16831683168317,254.1,4685.3,83.21782178217822,252.9,4238.4,73.46534653465349,224.1
30,4944.5,83.36633663366337,254.3,4854.5,83.76237623762376,255.7,4391.0,75.54455445544554,231.3
