timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,110.18,54.54455445544554,167.24877627770093,108.72,53.821782178217816,164.99223659467444,107.8,53.36633663366336,164.2705925644584,105.44,52.198019801980216,159.91750962375144,111.38,55.13861386138615,168.76775939459574,109.74,54.32673267326734,166.84809690952636
2,252.02,70.2178217821782,215.51019824607894,247.04,68.47524752475248,210.6894746341168,246.72,68.77227722772275,211.46922382436335,239.86,66.54455445544556,204.04605758164692,251.22,69.22772277227723,212.04330168151554,247.04,67.97029702970298,208.9925894873819
3,401.86,74.17821782178217,227.4337803202995,398.18,74.82178217821784,229.82008936657112,396.14,73.97029702970295,227.3639947576733,386.48,72.5841584158416,222.8385209041123,400.72,74.00990099009898,226.65407685112194,398.1,74.78217821782178,229.64669917350614
4,559.42,78.00000000000001,239.2728326572196,555.22,77.74257425742577,238.94842961853013,550.38,76.35643564356437,234.84235888109768,538.64,75.3267326732673,231.34854959147626,554.5,76.12871287128712,233.04891494986987,553.56,76.96039603960396,235.96515040821066
5,717.86,78.43564356435644,240.4473958784325,714.06,78.63366336633662,241.00560992717467,706.18,77.12871287128714,236.59766227267116,690.48,75.16831683168317,230.8520212896048,710.2,77.07920792079204,235.98220114473222,710.94,77.91089108910892,239.07366509034662
6,877.58,79.06930693069307,242.1294547934259,874.64,79.49504950495049,243.78317632382627,865.3,78.77227722772278,242.11376060962917,843.36,75.68316831683168,232.078091105835,866.48,77.36633663366338,237.29263705195655,869.92,78.70297029702971,241.35346328216957
7,1037.74,79.28712871287131,243.11276440356528,1034.82,79.29702970297029,242.9254328967374,1025.44,79.27722772277227,243.50897163178095,997.74,76.42574257425744,234.4545754250673,1023.48,77.72277227722772,237.88902610065824,1029.54,79.01980198019801,241.9555479894056
8,1197.94,79.30693069306932,242.63774748778255,1194.26,78.93069306930694,241.8859448540636,1185.68,79.32673267326733,243.806221822066,1154.34,77.52475247524752,237.61920217947093,1180.26,77.61386138613858,237.7246892095491,1189.82,79.34653465346535,243.32805858006708
9,1358.92,79.69306930693068,243.68097507170816,1351.9,78.03960396039605,239.04619533825743,1344.5,78.62376237623762,241.32136003126595,1309.6,76.86138613861387,235.1096264973152,1337.74,77.96039603960398,238.919878188426,1350.24,79.4158415841584,243.15380241385878
10,1519.02,79.25742574257426,242.37782502671632,1511.1,78.81188118811879,241.5473997173156,1504.02,78.97029702970298,242.591951940429,1466.04,77.44554455445544,237.44262439029703,1496.18,78.43564356435644,240.5251380550383,1511.02,79.59405940594061,243.8117093319392
11,1679.3,79.34653465346534,242.85316886716876,1670.16,78.74257425742576,241.4070830751903,1663.62,79.00990099009901,242.53162906333114,1622.32,77.36633663366337,236.54425413622621,1653.98,78.11881188118812,239.68934828409692,1670.6,79.00000000000001,242.42952344090077
12,1839.78,79.44554455445545,242.88944516674005,1830.02,79.13861386138613,242.30124919400302,1822.14,78.47524752475246,240.99262827773325,1777.5,76.8217821782178,235.2735636154249,1811.2,77.83168316831683,238.30763633028107,1830.62,79.21782178217822,242.65461819476127
13,1999.74,79.18811881188118,241.9990497190069,1990.46,79.42574257425741,243.3064872224758,1980.6,78.44554455445542,241.2270648447349,1933.74,77.34653465346534,236.88718286346943,1968.2,77.7227722772277,237.99825226780715,1990.18,78.990099009901,242.34888359772359
14,2160.44,79.55445544554455,243.4203675405088,2150.1,79.02970297029702,242.4524685882323,2139.72,78.77227722772278,241.93895051000948,2089.9,77.3069306930693,236.93408741338405,2125.8,78.01980198019801,239.224841069629,2150.58,79.40594059405937,243.51039741115838
15,2321.48,79.7227722772277,243.74465829923932,2310.7,79.50495049504951,243.8926995106291,2299.92,79.3069306930693,243.58866940388086,2245.72,77.13861386138616,236.22404484300424,2283.16,77.9009900990099,238.6804568568403,2309.76,78.80198019801979,241.73288159737876
16,2483.04,79.98019801980199,244.82864943660735,2470.38,79.04950495049505,242.18113915028235,2459.46,78.980198019802,242.41542643828427,2400.54,76.64356435643563,235.02758703390805,2442.54,78.90099009900992,241.636064221881,2469.82,79.23762376237624,242.7991709034244
17,2644.32,79.84158415841584,244.49565036684322,2630.82,79.42574257425744,243.20695477494834,2619.18,79.06930693069307,242.6433401269053,2555.76,76.84158415841581,235.68167646842178,2600.46,78.17821782178221,239.60812857389166,2628.68,78.64356435643563,241.4485601274817
18,2805.36,79.72277227722772,244.36626989136062,2790.6,79.0990099009901,242.50707569571063,2780.8,80.009900990099,245.25258270770635,2711.52,77.10891089108911,236.359521510993,2757.06,77.52475247524751,237.61055385102168,2788.5,79.11881188118811,242.61164602631885
19,2965.24,79.14851485148516,241.98739117948404,2951.24,79.52475247524752,244.3403229788139,2941.86,79.73267326732676,244.69461993465475,2867.72,77.32673267326733,236.8879015499729,2914.24,77.81188118811879,238.40116433068044,2948.62,79.26732673267325,243.02845040809277
20,3125.92,79.54455445544554,243.2531726830056,3111.66,79.4158415841584,243.62979020956064,3102.58,79.56435643564356,244.2214566231669,3024.22,77.47524752475248,237.5327185049079,3073.4,78.7920792079208,241.78063483509993,3109.64,79.7128712871287,244.2586150184158
21,3285.54,79.01980198019801,241.61495127286582,3270.84,78.80198019801982,241.72298553438213,3262.18,79.00990099009903,242.56867443339624,3179.64,76.94059405940595,235.84909552567282,3232.16,78.59405940594061,241.16526246685632,3270.2,79.4851485148515,243.69807387167418
22,3446.42,79.64356435643566,243.89439249120312,3431.64,79.6039603960396,244.0769670943344,3421.74,78.990099009901,242.4447130836929,3334.94,76.88118811881188,235.55426891357538,3389.42,77.85148514851485,238.90675839621636,3430.9,79.55445544554455,243.7841837927898
