timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,101.6,50.297029702970306,149.6982424648544,102.98,50.98019801980199,151.3675470305966,100.66,49.83168316831683,148.5169910557134,95.46,47.25742574257427,140.7636715125478,101.2,50.09900990099007,148.8273885600031,103.42,51.1980198019802,152.16386990216188
2,235.08,66.0792079207921,196.59158553541351,236.94,66.3168316831683,198.3885610350726,235.76,66.88118811881189,200.1783348733079,224.34,63.80198019801981,190.44837465421782,233.0,65.24752475247526,194.67870576765839,235.66,65.46534653465349,195.10807359406783
3,381.62,72.54455445544556,216.39552564953865,384.7,73.14851485148515,218.52407155937664,383.72,73.24752475247524,219.46546830947088,365.54,69.90099009900989,208.66153100891057,377.24,71.40594059405939,213.13122803858226,380.94,71.92079207920793,214.7572106040744
4,533.52,75.19801980198022,224.55576464579943,539.74,76.75247524752473,229.71029283674358,536.8,75.78217821782178,227.10890487853104,513.62,73.3069306930693,218.93341807967983,527.0,74.13861386138613,221.61194353310557,532.5,75.02970297029702,224.47581391137663
5,689.42,77.1782178217822,230.63384341810652,695.9,77.30693069306928,231.08275506178518,693.06,77.35643564356434,232.0422526020887,665.24,75.05940594059408,224.67074966885696,679.9,75.6930693069307,226.27734069813258,687.5,76.73267326732673,229.45209373136524
6,846.08,77.55445544554453,232.0006967560556,852.8,77.67326732673266,232.2347573919181,850.02,77.7029702970297,232.6517901051697,818.22,75.73267326732676,226.52804241781047,833.78,76.17821782178218,227.7019841359558,845.24,78.08910891089108,233.39144090993935
7,1002.66,77.5148514851485,231.58327950941427,1011.4,78.5148514851485,234.93408434881715,1007.84,78.12871287128712,234.40678608926578,970.06,75.16831683168314,225.23624497172324,988.6,76.64356435643566,228.9761401298979,1003.6,78.3960396039604,234.57671782321532
8,1159.34,77.56435643564357,232.37283905175826,1169.8,78.4158415841584,234.59920874923725,1165.48,78.03960396039602,233.7272716959626,1122.68,75.55445544554456,226.18441431892265,1142.54,76.20792079207921,227.7532372479246,1163.42,79.11881188118812,236.72853895217213
9,1316.78,77.94059405940595,233.07291036654505,1329.78,79.1980198019802,237.17732683764225,1323.94,78.44554455445542,235.24399179617777,1274.64,75.22772277227723,224.97466850075878,1298.0,76.96039603960399,229.67659857301297,1323.36,79.17821782178217,236.87381538236215
10,1475.04,78.34653465346535,234.14362106235464,1489.44,79.03960396039604,236.36835744613398,1480.68,77.59405940594058,232.786570017259,1427.5,75.67326732673266,226.56413352600367,1455.54,77.99009900990099,233.00762869546296,1484.02,79.53465346534655,237.6979077284547
