timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,100.54,49.77227722772277,153.57331503376136,98.04,48.53465346534653,149.83062487764616,99.46,49.23762376237623,152.32537963873307,98.1,48.56435643564356,149.50037710998234,99.94,49.47524752475247,152.85084385301693,100.92,49.960396039603985,153.92881579660346
2,231.68,64.92079207920793,200.02736692463054,229.2,64.93069306930693,200.11099665884583,229.76,64.5049504950495,199.08835847836264,224.56,62.60396039603959,192.51102067630794,230.28,64.52475247524754,198.02483773729725,231.58,64.6831683168317,198.59710758380032
3,374.64,70.77227722772277,218.27338704366545,373.16,71.26732673267324,219.64607010235105,372.52,70.67326732673266,217.7700216837549,362.48,68.27722772277228,209.7285753998824,374.24,71.26732673267325,219.06573463231663,375.54,71.26732673267327,218.62889393099277
4,524.14,74.009900990099,227.88426941178855,522.72,74.03960396039605,228.09014158173497,521.76,73.88118811881186,227.4083207256871,508.5,72.2871287128713,222.20802964310238,523.94,74.10891089108911,227.79151817817092,525.3,74.13861386138613,227.6509223110648
5,675.56,74.96039603960395,230.26719907569301,676.28,76.01980198019804,234.19913823423965,673.64,75.18811881188115,231.28561960996362,656.8,73.41584158415841,225.2824418720055,674.92,74.74257425742574,229.7265664569148,678.4,75.79207920792076,232.7339984009126
6,829.32,76.11881188118814,234.25721011087663,832.9,77.53465346534652,237.96510723867766,827.04,75.94059405940595,234.21029246515369,806.74,74.22772277227723,227.75389081550736,827.46,75.5148514851485,231.65151523629277,833.52,76.79207920792079,235.24971121836631
7,984.82,76.98019801980199,237.04752917543877,987.78,76.6732673267327,235.8238751789863,981.52,76.47524752475246,236.18406678050505,957.42,74.59405940594061,229.20092509569986,981.04,76.02970297029705,233.13492397239338,990.3,77.61386138613861,237.9845662783378
8,1140.12,76.88118811881186,236.7505851095194,1143.82,77.24752475247524,237.47334556552153,1135.92,76.43564356435643,235.9009272557337,1108.68,74.88118811881188,230.02126073316606,1136.88,77.14851485148516,236.6771840224904,1147.86,77.99999999999999,238.91139050618776
9,1295.66,77.00000000000001,236.95101845248493,1299.76,77.19801980198022,237.5043645309674,1290.92,76.73267326732673,236.30739541100974,1260.6,75.20792079207921,231.14252852227685,1292.08,76.83168316831683,236.04755281632225,1305.2,77.8910891089109,238.85396889444067
10,1452.52,77.65346534653469,239.15088619352903,1456.36,77.52475247524754,238.1698236078737,1447.04,77.2871287128713,238.1242879956193,1412.16,75.02970297029702,230.76448011777356,1446.1,76.24752475247526,234.25208057069904,1461.86,77.55445544554456,237.8346819229397
11,1610.08,77.99999999999997,240.1695522532579,1615.0,78.53465346534655,241.24217497605304,1604.3,77.85148514851485,240.1754728086878,1561.78,74.06930693069309,227.4660476335339,1600.56,76.46534653465348,234.79885630602774,1617.02,76.81188118811885,235.96774342953725
12,1766.48,77.42574257425741,238.3411322718747,1773.94,78.68316831683168,241.87840230724314,1759.88,77.019801980198,237.3084684254378,1712.72,74.72277227722772,229.51817918981743,1755.12,76.51485148514853,235.40291038776505,1773.12,77.27722772277228,237.23748516048988
13,1922.52,77.24752475247527,237.3704498936751,1932.12,78.30693069306928,240.77472682073386,1915.34,76.96039603960396,237.15812015542187,1864.26,75.019801980198,230.448994812932,1910.04,76.69306930693071,236.02212000729443,1930.7,78.00990099009903,238.97830196250467
14,2077.78,76.86138613861388,236.38761290506542,2091.42,78.86138613861384,242.71114609863517,2071.04,77.07920792079209,237.57859587275746,2014.34,74.2970297029703,228.31682592579327,2064.38,76.40594059405942,234.69221485376033,2088.6,78.16831683168317,239.7118143687291
15,2234.48,77.57425742574254,238.72426828211312,2249.16,78.08910891089111,240.59395533222593,2225.1,76.26732673267327,235.01150140344507,2165.28,74.72277227722773,229.40529110217412,2218.64,76.36633663366337,234.7630090325952,2245.96,77.9009900990099,239.0304410200832
16,2391.54,77.75247524752476,238.9170834604489,2407.02,78.14851485148516,240.21063659582535,2380.62,76.99009900990099,237.69854029547986,2316.2,74.71287128712872,228.98474019582386,2372.32,76.07920792079207,234.35864218038773,2402.46,77.47524752475249,237.87694222282684
17,2547.68,77.29702970297029,237.318972684905,2565.36,78.38613861386139,241.254131447357,2537.18,77.50495049504953,239.11054689620937,2467.82,75.05940594059405,230.30172828549007,2527.04,76.59405940594058,235.5755021386314,2560.7,78.33663366336636,240.2698403295073
18,2702.66,76.72277227722772,235.90227215092636,2724.28,78.67326732673267,241.66188618508474,2693.14,77.20792079207922,238.2777824720868,2619.18,74.93069306930697,230.07439598998752,2682.76,77.08910891089108,236.7142639949707,2718.6,78.16831683168319,239.49572343163038
19,2857.96,76.8811881188119,236.46684626882833,2882.74,78.44554455445545,241.03627086273957,2849.3,77.30693069306932,238.13183610345195,2769.98,74.65346534653465,229.39361222435738,2838.54,77.11881188118814,236.99959651761918,2876.3,78.06930693069306,239.76000257048858
20,3012.06,76.28712871287127,234.9228280326789,3040.18,77.94059405940592,239.15393250027049,3005.18,77.16831683168319,237.52840685724314,2921.8,75.15841584158416,230.9019244947989,2992.16,76.04950495049503,233.9422455961146,3035.58,78.85148514851485,241.93826649773914
