timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,108.3,53.61386138613859,159.8131462920639,106.86,52.900990099009924,158.46358412906295,96.8,47.92079207920793,142.96055027289984,104.86,51.910891089108915,154.99971865331347
2,251.64,70.96039603960395,211.75311032949972,249.06,70.3960396039604,211.22916214449037,223.3,62.62376237623762,186.47277971644428,247.2,70.46534653465348,210.439039684865
3,410.54,78.66336633663369,234.82480871007533,405.84,77.6138613861386,232.73130348488016,361.68,68.5049504950495,204.16578296567334,404.2,77.7227722772277,232.33615980694864
4,573.92,80.88118811881186,241.51752633533627,569.68,81.10891089108911,242.1752010404647,506.26,71.57425742574259,212.9725689777238,569.04,81.6039603960396,242.97720148154673
5,739.74,82.08910891089108,244.54535802207073,736.36,82.5148514851485,246.37826139968288,654.58,73.42574257425741,218.53717108752429,737.5,83.39603960396038,248.3304652401432
6,907.14,82.87128712871288,246.8651408181055,904.98,83.47524752475245,249.2812550376288,803.64,73.79207920792079,219.87349187239514,906.94,83.88118811881188,249.77134152098643
7,1075.2,83.1980198019802,247.78654706379805,1074.22,83.78217821782177,249.82787366229638,953.34,74.1089108910891,220.54936577026587,1077.56,84.46534653465345,251.56350933537905
8,1242.38,82.76237623762376,246.38571538334455,1242.66,83.38613861386136,248.45963103670692,1104.96,75.05940594059405,223.29582599360023,1247.38,84.06930693069306,250.29080200832686
9,1409.78,82.87128712871288,246.4001992655141,1410.38,83.02970297029704,247.419432386761,1256.16,74.85148514851485,223.00018109521298,1418.04,84.48514851485147,251.61376951841513
10,1577.36,82.96039603960396,246.8034745953807,1581.16,84.54455445544556,251.91153334028698,1408.02,75.1782178217822,223.48432877744287,1588.16,84.21782178217822,250.7192346819606
11,1747.08,84.01980198019803,250.19222373335262,1750.56,83.86138613861385,249.49723826691312,1559.18,74.83168316831683,222.93247877448184,1757.96,84.05940594059405,249.9781294787623
12,1916.02,83.63366336633663,248.83650372960324,1921.18,84.46534653465345,251.36626368538975,1710.52,74.9207920792079,222.9632532709497,1928.4,84.37623762376238,251.3819522833952
13,2086.44,84.36633663366337,250.91998934900178,2091.08,84.10891089108911,250.34982185235836,1863.3,75.63366336633663,224.69419353547593,2097.0,83.46534653465348,248.51951538957627
14,2256.62,84.24752475247526,250.63927603216746,2259.78,83.51485148514853,248.59176520892728,2015.54,75.36633663366337,224.36472917858563,2266.1,83.7128712871287,249.08590142251313
15,2427.46,84.57425742574259,252.0198471386251,2427.92,83.2376237623762,247.87908663693946,2167.98,75.46534653465345,224.64809096746293,2435.04,83.63366336633662,248.91333829040886
16,2597.9,84.37623762376238,251.32990075606233,2597.66,84.02970297029704,250.5161192364625,2320.0,75.25742574257426,224.3007296265023,2604.74,84.00990099009897,250.0431653041227
17,2766.98,83.7029702970297,249.18389848881867,2767.38,84.01980198019801,250.4968856218533,2472.24,75.36633663366337,224.7324038482369,2774.12,83.85148514851485,249.71246828460295
18,2936.14,83.74257425742573,249.216430475166,2937.48,84.20792079207921,250.82444664333806,2624.3,75.27722772277227,223.9084964556243,2942.92,83.56435643564356,248.28456207836797
19,3104.76,83.47524752475249,248.14644570132822,3105.3,83.0792079207921,247.54049106121707,2776.8,75.49504950495049,224.31237074236134,3113.28,84.33663366336634,251.46266171432376
20,3273.22,83.3960396039604,248.17001524249264,3273.64,83.33663366336634,248.5619954671105,2928.32,75.009900990099,223.08956435025019,3283.86,84.44554455445545,251.6867913830809
21,3441.58,83.34653465346535,247.70753601498924,3442.28,83.4851485148515,248.7964002168922,3078.84,74.5148514851485,221.86002264042338,3453.86,84.15841584158419,250.63418761653764
22,3610.26,83.50495049504951,248.49229434049562,3611.72,83.88118811881188,249.7452647271968,3230.14,74.90099009900992,222.9344327804299,3623.7,84.07920792079207,250.1435159941216
23,3779.3,83.68316831683168,248.96607313051226,3780.82,83.7128712871287,249.6394637756295,3381.2,74.78217821782181,222.90502327395524,3791.86,83.24752475247526,248.0482247254988
24,3948.52,83.77227722772278,249.36941654793728,3949.36,83.43564356435644,248.860905831042,3532.6,74.95049504950494,222.72270844321454,3960.08,83.27722772277228,247.5095756491456
25,4118.7,84.24752475247524,250.74093221506354,4118.16,83.56435643564356,248.98625664859438,3682.84,74.37623762376238,221.05885659736924,4129.38,83.81188118811882,249.65509538175942
26,4287.66,83.64356435643566,248.63458616269585,4287.6,83.88118811881188,249.82344040943653,3834.62,75.13861386138612,223.8253379421835,4298.28,83.61386138613858,248.52587367918738
27,4456.52,83.59405940594061,248.58798028826652,4457.12,83.92079207920791,250.05556477389874,3986.28,75.07920792079211,223.3758813086507,4466.84,83.44554455445547,248.12634627451504
28,4625.28,83.54455445544554,248.5467022637503,4627.1,84.14851485148516,250.5116412559702,4136.3,74.26732673267327,220.9130445287753,4636.44,83.96039603960396,249.9411243751221
29,4794.44,83.74257425742573,249.02156731241078,4797.1,84.15841584158416,250.8121907849398,4287.64,74.92079207920794,223.17674768434324,4805.36,83.62376237623761,248.67367000609366
30,4962.72,83.3069306930693,247.27971813935343,4965.64,83.43564356435647,248.6108667874858,4439.28,75.06930693069306,223.5286632016914,4973.88,83.4257425742574,248.30688948716704
