timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,52.733333333333334,2.776900122871687,294.2434105910108,125.36666666666666,6.601720203615939,691.5144466210317,137.06666666666666,7.2178339476917674,753.9181047660192,19.766666666666666,1.040898718623837,109.16931586133222,58.1,3.059505002632964,322.0167687050547,81.46666666666667,4.289977180972442,449.63589368103874
2,172.13333333333333,6.287519747235385,671.009904814467,325.5,10.538880112339827,1113.1267680198034,348.93333333333334,11.156749166227838,1185.88833152417,68.53333333333333,2.568018255222047,273.63362215341266,175.8,6.1979989468141135,660.3639623972816,226.33333333333334,7.628576443742321,803.8807684929773
3,335.7,8.61330524837634,913.0288502536193,559.1666666666666,12.304721783394768,1316.1245629612938,595.6333333333333,12.991047919957873,1377.466064491062,146.96666666666667,4.130243988063893,437.05837793927714,347.1,9.020537124802528,951.4497085382562,412.93333333333334,9.826224328593998,1039.1100260323008
4,532.4666666666667,10.361593821309462,1084.8458371465924,814.9666666666667,13.470247498683516,1438.2400462427952,851.3333333333334,13.464981569246971,1426.1348898136923,246.13333333333333,5.222046691241004,556.8833163596469,552.5,10.81621906266456,1140.4543400489413,627.3,11.288397402141477,1187.2113684339324
5,753.5,11.639459364577847,1231.65318904419,1073.8333333333333,13.63173600140425,1449.102592589155,1105.6666666666667,13.393013866947516,1423.0782719875729,372.1,6.633315780235211,702.1551214232015,771.3,11.521853607161663,1210.3148408674492,863.5666666666667,12.441635948744954,1317.181684929593
6,980.5333333333333,11.955415130770579,1263.3110353023033,1336.5,13.831841319992975,1481.5812142850748,1364.9,13.651044409338247,1455.246953305217,525.5333333333333,8.079691065473057,856.2511573437422,1007.5,12.438125329120593,1320.170576815866,1112.8666666666666,13.127962085308058,1381.995991198926
7,1222.7333333333333,12.754081095313323,1343.0950061327278,1606.3666666666666,14.21098823942426,1515.20710244744,1626.7333333333333,13.787958574688435,1465.36323793383,705.9333333333333,9.499736703528177,1014.2058796987935,1252.3,12.890995260663505,1364.814042828003,1370.3333333333333,13.55801298929261,1434.6448533947587
8,1470.7,13.057749692820783,1384.927353234588,1870.5,13.90907495172898,1487.5375797184338,1891.8666666666666,13.961734246094434,1482.1561730271999,898.9333333333333,10.163243812532913,1077.4735868439677,1496.1,12.838335966298052,1364.0984351725483,1628.2,13.579076707038796,1434.4242170700118
9,1718.7333333333333,13.061260312445146,1380.6309818078887,2140.866666666667,14.237317886606986,1519.8009718273831,2160.5666666666666,14.149552395997889,1498.2909414306184,1092.3,10.182552220466912,1078.8764852512918,1733.4,12.496050552922586,1324.7407863848734,1886.6,13.6071616640337,1442.2358688003467
10,1969.1333333333334,13.185887309110058,1403.9906778278723,2407.7,14.051255046515712,1500.1264157647233,2424.366666666667,13.891521853607161,1478.5073494433466,1292.6333333333334,10.54941197121292,1117.1670272255049,1974.8333333333333,12.713708969633139,1333.1495108948286,2149.2,13.828330700368612,1462.7589683717733
