timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,1158.78,61.02053712480252,1742.5210178787809,1115.52,58.74249605055291,1675.1280979203614,1111.24,58.51711427066878,1669.7395563926077,1104.62,58.168509741969494,1659.9760562045403,1130.62,59.53765139547129,1698.9342183827632
2,2562.72,73.93048973143759,2112.9646474405563,2455.64,70.56977356503423,2013.8786740681512,2455.4,70.78251711427066,2022.1484355269195,2434.82,70.04739336492894,1999.682892776353,2502.02,72.2169562927857,2061.1325996413534
3,4061.26,78.91205897840969,2254.008465698754,3879.98,75.00473933649288,2141.429505500627,3889.2,75.5028962611901,2156.1893535192194,3841.86,74.09373354397052,2114.1162185115327,3970.76,77.34281200631914,2208.189149308641
4,5604.24,81.25223802001057,2321.255973533781,5339.6,76.86255924170615,2194.7728758983517,5358.54,77.37440758293839,2209.59853678654,5292.68,76.39915745129016,2181.116803297648,5474.94,79.20905739863089,2262.033889093021
5,7167.44,82.31700895208004,2351.015066507069,6815.56,77.72301211163771,2218.864513108394,6845.2,78.28646656134809,2235.1797370405206,6759.3,77.23117430226435,2203.7362484344503,6999.18,80.26540284360189,2291.0140970124953
6,8741.58,82.8931016324381,2367.3274648499123,8304.24,78.39283833596632,2238.6793491047215,8340.32,78.73196419167985,2248.0647320220505,8228.16,77.34913112164297,2207.764818066862,8531.04,80.66666666666666,2302.453078658988
7,10321.98,83.22274881516589,2378.0656708112724,9797.18,78.61716692996315,2245.157538277646,9840.26,78.98578199052133,2255.133401374906,9705.88,77.81569246972087,2221.318217792065,10069.82,81.03106898367565,2314.0793126264807
8,11903.14,83.26276987888363,2379.6222297375693,11291.46,78.68773038441284,2247.081916561067,11340.88,79.0215903106898,2255.8333100327905,11187.56,78.02422327540809,2227.960433946431,11613.18,81.27224855186941,2321.1817186628923
9,13484.92,83.2954186413902,2379.352072575122,12793.46,79.09426013691417,2257.6883439469284,12845.02,79.20695102685625,2260.6621067903466,12671.52,78.14428646656135,2231.57844119507,13156.48,81.2690889942075,2319.5861792388228
10,15068.6,83.39547130068456,2382.0835712478006,14288.44,78.72459189046864,2247.0932772581004,14346.48,79.06582411795681,2258.877177464849,14158.48,78.30226434965772,2235.9227260959283,14699.8,81.27014218009482,2320.620327558186
11,16654.62,83.51869404949974,2384.8604895939075,15785.2,78.81832543443916,2250.5753979795713,15848.6,79.10057925223803,2258.5448315852955,15653.66,78.73512374934177,2247.575989101132,16250.34,81.65034228541336,2330.8074538777546
12,18238.9,83.42706687730384,2383.1394844155443,17284.04,78.92785676671933,2254.269448048037,17353.06,79.22380200105317,2262.0635963922887,17145.68,78.56872037914692,2243.6624427825504,17797.16,81.45444971037386,2325.746729671603
13,19822.44,83.3880989994734,2383.154579927283,18785.82,79.08267509215375,2258.370521598738,18859.58,79.332280147446,2264.4677545465433,18635.68,78.4623486045287,2240.8145249970808,19341.54,81.32596103212217,2323.21881086115
14,21406.72,83.42706687730386,2382.5745500493613,20287.54,79.07951553449186,2258.6676304019647,20366.86,79.37230121116377,2266.973890359224,20125.9,78.47393364928908,2240.381025153265,20887.72,81.42074776197998,2324.995957040797
15,22993.02,83.53343865192205,2387.1037877149565,21786.42,78.92996313849395,2253.9794672843636,21873.36,79.3312269615587,2266.249330570463,21619.14,78.6329647182728,2245.5690633499744,22435.16,81.48709847288048,2327.676924430085
16,24574.18,83.26276987888363,2378.496968556825,23286.42,78.98894154818326,2254.7345374899373,23383.48,79.52185360716165,2271.3588887440383,23106.34,78.31490258030543,2235.3403274101297,23981.46,81.42706687730386,2325.4489330485744
