timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,124.9,6.5771458662453925,668.0396343439053,114.16666666666667,6.011936106722836,634.6519974139862,139.13333333333333,7.3266631560470445,767.6731650918723,19.933333333333334,1.0496752676847465,110.2598197091458,53.46666666666667,2.815516938739688,294.0992536112565,81.13333333333334,4.272424082850622,456.63379664380403
2,321.8,10.36861506055819,1060.7095839514188,307.3333333333333,10.172020361593825,1080.1427891691274,345.03333333333336,10.842548709847286,1154.7962056220217,74.86666666666666,2.892750570475689,304.2053451607166,178.33333333333334,6.575390556433209,689.4856138396783,233.0,7.997191504300508,848.1465852685895
3,549.3333333333334,11.98174477795331,1216.012844959185,540.0333333333333,12.253817798841498,1292.7014501322003,583.1,12.536422678602772,1314.9072315249205,159.73333333333332,4.46901878181499,465.4945538362244,355.3,9.318939792873444,988.4633312337106,426.56666666666666,10.193084079340002,1074.8090354460223
4,798.8,13.136738634368966,1340.790134242676,782.7,12.778655432683868,1344.2812777008025,839.7,13.512374934175883,1424.670833487808,270.8666666666667,5.85220291381429,607.4547108541557,570.0,11.305950500263297,1189.794552307658,648.7666666666667,11.700895208004217,1242.3719439300612
5,1068.9333333333334,14.225030717921713,1460.6807284435579,1029.8666666666666,13.01562225732842,1377.7870804870388,1098.4333333333334,13.624714762155522,1426.9168889733494,408.06666666666666,7.224855186940497,759.8182747280804,812.1,12.748815165876778,1349.9458440968547,883.5666666666667,12.364402317008949,1303.8725287695734
6,1337.8333333333333,14.160084254870984,1450.182747921445,1284.3333333333333,13.400035106196247,1403.7785160997696,1363.4333333333334,13.95471300684571,1471.7841857070102,564.6333333333333,8.244690187818149,854.8511398351063,1065.1666666666667,13.326312094084608,1397.226724223006,1121.8666666666666,12.548709847288048,1323.9109800749789
7,1608.1333333333334,14.23380726698262,1459.4800933216209,1533.4333333333334,13.117430226434967,1374.06403554057,1630.1666666666667,14.045989117079161,1483.9597911179817,738.5,9.155695980340532,952.8599352718671,1319.4666666666667,13.391258557135338,1402.4890525645221,1373.3,13.240301913287693,1405.3412095913184
8,1874.7,14.037212568018257,1443.0891173572256,1785.8666666666666,13.29296120765315,1393.937798958267,1891.8,13.777426715815343,1451.2193289188192,921.0333333333333,9.612076531507814,1002.4098514664405,1578.1,13.619448832718977,1426.3700557885818,1635.5666666666666,13.8107776022468,1463.4845225655847
9,2146.366666666667,14.305774969282078,1479.5995529556428,2044.1333333333334,13.600140424784975,1431.5535158035002,2156.133333333333,13.91960681060207,1464.5054430414436,1114.5666666666666,10.19132876952782,1061.3627385935213,1835.2333333333333,13.540459891170794,1427.0957573156359,1899.2666666666667,13.886255924170616,1481.4633525473482
10,2416.5333333333333,14.226786027733898,1452.7411188553156,2300.766666666667,13.514130243988065,1417.4358070113442,2424.6666666666665,14.140775846936984,1488.3826336914858,1320.1333333333334,10.824995611725468,1130.4988425744043,2082.6666666666665,13.029664735825873,1370.9058211230897,2163.8333333333335,13.931893979287342,1475.886269758262
11,2687.9333333333334,14.291732490784627,1474.4523757132722,2552.7,13.266631560470426,1402.051381822234,2695.4333333333334,14.258381604353168,1500.3808187201398,1514.4,10.22994558539582,1075.5493746050242,2327.8,12.908548358785326,1347.5213842657906,2414.9333333333334,13.222748815165874,1394.945405285527
12,2957.233333333333,14.181147972617167,1454.9669665379668,2802.4666666666667,13.152536422678605,1388.1119661434054,2956.0333333333333,13.723012111637706,1446.6290842999376,1713.7,10.494997367035285,1099.8184032649756,2573.5666666666666,12.941899245216781,1344.019866510428,2672.866666666667,13.582587326663152,1432.3700957108217
13,3233.8,14.563805511672808,1484.995666478378,3055.4333333333334,13.32104616464806,1411.8371708321195,3220.5333333333333,13.928383359662979,1460.9602393914417,1920.2666666666667,10.877654906090923,1133.0347441902622,2830.233333333333,13.515885553800247,1427.1919138132844,2934.8,13.793224504124977,1456.8573451841696
14,3509.133333333333,14.49885904862208,1483.6834897894414,3307.4333333333334,13.270142180094785,1400.611230435027,3476.233333333333,13.464981569246975,1412.0596953485158,2137.633333333333,11.446375285237842,1200.708401270971,3079.133333333333,13.106898367561875,1373.3998211928233,3190.366666666667,13.457960329998242,1426.30261709344
15,3781.5666666666666,14.346147094962257,1481.8103842873159,3559.7,13.284184658592244,1403.9252183032227,3741.1666666666665,13.951202387221345,1461.9528410635378,2350.6,11.214674390029838,1180.0868837705107,3330.6,13.24205722309988,1382.1647360694346,3447.0,13.514130243988065,1435.707648455603
16,4051.266666666667,14.202211690363347,1471.7827374599851,3812.4,13.307003686150612,1412.374504734766,4007.5333333333333,14.026680709145165,1481.8041793246998,2564.2,11.248025276461293,1171.2645907962078,3582.6,13.270142180094787,1396.6045787650116,3702.2,13.438651922064246,1419.389478508903
17,4319.433333333333,14.121467439002988,1454.7944668384714,4070.2,13.575566087414426,1425.0911290107495,4272.133333333333,13.933649289099524,1467.1919789802143,2771.6666666666665,10.925048271019834,1131.9928265103106,3842.5,13.686150605581885,1430.4088462020923,3962.6666666666665,13.715990872388975,1442.2468106911838
18,4592.266666666666,14.367210812708441,1483.069144089007,4330.966666666666,13.731788660698612,1445.1201080193173,4535.333333333333,13.859926276987888,1451.749106294277,2978.4,10.886431455151834,1142.5377239764598,4097.1,13.407056345444971,1413.3700076323282,4216.266666666666,13.354397051079522,1412.2581747804638
19,4863.1,14.261892223977533,1457.4086492399078,4589.866666666667,13.63349131121643,1439.4548633012444,4805.7,14.237317886606984,1502.6532245272015,3196.8,11.500789889415483,1204.808247247785,4355.766666666666,13.621204142531155,1431.1639545356954,4477.033333333334,13.73178866069861,1453.0366463373427
20,5138.933333333333,14.525188695804808,1498.7222376570107,4849.0,13.645778479901704,1433.358575050369,5070.066666666667,13.921362120414251,1464.0631731469025,3416.0333333333333,11.544672634720028,1212.3577992914122,4612.666666666667,13.528172722485522,1415.0110648155367,4735.566666666667,13.614182903282432,1434.8002180927338
21,5414.433333333333,14.50763559768299,1484.2008777473304,5112.333333333333,13.866947516236618,1457.4118747640184,5332.833333333333,13.837107249429524,1447.543567040185,3631.3,11.33579076707039,1189.514778879431,4866.466666666666,13.364928909952605,1398.65943772081,4996.466666666666,13.73880989994734,1443.8406281183475
22,5687.6,14.384763910830259,1474.5724208192798,5378.866666666667,14.03545725820607,1486.7512653413783,5601.666666666667,14.156573635246618,1477.8426656130807,3847.133333333333,11.365631033877483,1199.5315390786172,5126.8,13.708969633140248,1430.905371831618,5248.5,13.271897489906967,1411.3042452234783
23,5959.433333333333,14.314551518342991,1471.997722113846,5639.6,13.730033350886432,1451.5001808436355,5874.066666666667,14.344391785150076,1493.392377314425,4062.133333333333,11.321748288572934,1187.7732288259676,5388.3,13.770405476566614,1445.87410727448,5511.766666666666,13.863436896612251,1472.4839820580842
24,6232.266666666666,14.367210812708445,1476.7651185272246,5900.466666666666,13.737054590135157,1444.9560272236126,6140.133333333333,14.010882920835526,1471.3664648209574,4281.966666666666,11.5762682113393,1224.3870243454176,5645.033333333334,13.519396173424608,1416.4797629234167,5773.333333333333,13.773916096190979,1464.1311421425833
25,6507.3,14.48306126031245,1475.7024838947734,6160.166666666667,13.675618746708794,1427.085185561446,6411.266666666666,14.277690012287168,1498.182992536543,4501.366666666667,11.55344918378094,1213.2241771224892,5898.9,13.368439529576971,1402.6067587822934,6032.466666666666,13.6457784799017,1437.1904326117062
26,6780.266666666666,14.374232051957176,1479.4116444167826,6416.066666666667,13.475513428120065,1418.399924198945,6681.733333333334,14.24258381604353,1490.5264920927527,4719.633333333333,11.493768650166755,1216.1799345310073,6149.866666666667,13.21572757591715,1383.445028093674,6298.766666666666,14.0231700895208,1479.406604390924
27,7048.966666666666,14.149552395997894,1465.0806617235498,6677.4,13.761628927505702,1454.0084639484119,6944.9,13.858170967175703,1453.363260823917,4934.166666666667,11.297173951202385,1186.8740402374356,6403.133333333333,13.336843952957697,1391.8546564935853,6553.966666666666,13.438651922064244,1418.647672793206
28,7314.766666666666,13.996840442338078,1445.0199065951558,6943.0,13.98630858346498,1470.9169153199166,7209.1,13.912585571353343,1468.111594705758,5149.766666666666,11.353343865192208,1196.6159226412287,6660.3,13.54221520098297,1413.4432006704128,6818.3,13.919606810602069,1467.313456695677
29,7585.3,14.246094435667896,1453.1238964263264,7201.5,13.612427593470247,1427.9567174403894,7476.433333333333,14.077584693698435,1479.3254945746014,5368.233333333334,11.504300509039842,1207.515876847374,6910.4,13.17008952080042,1388.6260543598876,7072.5,13.385992627698785,1418.425574220015
30,7848.966666666666,13.884500614358435,1423.0459412010855,7456.6,13.433385992627702,1413.1830751317316,7741.533333333334,13.959978936282253,1466.0786830429786,5590.466666666666,11.702650517816396,1234.796600876731,7160.733333333334,13.182376689485695,1370.1832712206312,7331.4,13.63349131121643,1444.8934037371012
