timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,112.93333333333334,5.946989643672108,595.800856423213,130.96666666666667,6.89661225206249,717.5586046762343,131.96666666666667,6.949271546427943,731.5602904836976,24.3,1.2796208530805688,132.6508807709462,54.5,2.869931542917325,295.4840008329533,83.36666666666666,4.3900298402668065,454.3233830611472
2,297.06666666666666,9.69633140249254,988.9363834400152,333.3333333333333,10.656485869756011,1124.467141404345,339.03333333333336,10.903984553273652,1157.9626635580064,73.96666666666667,2.6154116201509567,269.7849272524812,163.9,5.7609268035808325,600.3878495121587,229.9,7.716341934351414,810.1701392972369
3,525.8333333333334,12.046691241004037,1227.7741235006847,568.8666666666667,12.403019132876953,1312.2940082061482,582.9666666666667,12.845357205546781,1336.3557939408738,157.73333333333332,4.41109355801299,460.00804935248465,331.3,8.815165876777254,914.5554638539256,417.46666666666664,9.877128313147272,1028.2806196968495
4,773.7,13.052483763384236,1334.1867150816609,818.8,13.161312971739513,1382.0666562140964,839.1,13.487800596805336,1415.9286193255202,277.3666666666667,6.29980691592066,653.6496018386639,536.1,10.784623486045286,1117.499697019894,635.3666666666667,11.474460242232754,1195.0428470877207
5,1029.1666666666667,13.452694400561699,1377.589488724133,1077.5333333333333,13.624714762155518,1430.9239853804577,1103.8666666666666,13.942425838160439,1469.1754143999206,427.5,7.905915394067054,818.2401425418864,763.1333333333333,11.955415130770582,1246.8480814262891,875.7333333333333,12.657539055643321,1325.3757391389504
6,1293.1,13.89854309285589,1427.7622995766885,1345.0666666666666,14.088116552571528,1483.2346130411652,1373.6666666666667,14.207477619799896,1477.169557056783,601.3,9.152185360716167,950.5786651112433,1006.9333333333333,12.838335966298056,1337.505857678786,1137.4333333333334,13.780937335439708,1453.2061507924222
7,1565.0666666666666,14.321572757591717,1474.8108172065924,1613.6,14.140775846936982,1488.0291486653873,1646.6666666666667,14.37598736176935,1508.60893397602,783.6333333333333,9.60154467263472,1005.3556130363396,1253.8,12.999824469018785,1361.2961931271388,1395.5333333333333,13.591363875724067,1434.1151856891727
8,1834.9333333333334,14.210988239424259,1463.2965921021423,1886.1333333333334,14.351413024398807,1511.99871990188,1921.5333333333333,14.474284711251533,1520.6104394656286,985.3666666666667,10.623134983324556,1099.579008479962,1510.0333333333333,13.493066526241881,1411.0641502979965,1653.1333333333334,13.565034228541334,1424.1316138157038
9,2104.6666666666665,14.203967000175533,1468.0661248835495,2159.7,14.405827628576445,1517.5805307768876,2192.4333333333334,14.2654028436019,1491.5799897092388,1194.0,10.986484114446196,1141.3527332795795,1767.7,13.568544848165702,1422.9008382089166,1909.0333333333333,13.475513428120063,1412.7097809161348
10,2382.1666666666665,14.612954186413901,1502.137505658622,2428.733333333333,14.167105494119712,1490.0346279994803,2462.2,14.205722309987712,1476.082670587303,1412.8333333333333,11.523608916973846,1190.30864843737,2033.9,14.017904160084253,1477.2634440414727,2170.2,13.752852378444794,1439.9992608713696
