timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,140.56666666666666,7.40214147797086,744.8837934962429,135.56666666666666,7.138845006143583,724.490329494227,137.0,7.2143233280674055,736.6523969791612,11.666666666666666,0.6143584342636476,62.2014563006528,55.766666666666666,2.9366333157802353,311.54146791593604,81.13333333333334,4.272424082850623,429.0713438010335
2,352.53333333333336,11.162015095664385,1159.530597564365,344.56666666666666,11.005792522380203,1140.165493672939,341.26666666666665,10.756538529050378,1108.6920692748643,52.733333333333334,2.1625416886080386,216.03609958119765,166.56666666666666,5.834649815692471,603.2903472461352,225.86666666666667,7.621555204493591,775.3581159712371
3,588.3,12.415306301562227,1293.0546469457242,588.5666666666667,12.848867825171142,1340.6153030868095,572.6333333333333,12.183605406354223,1250.9733344822266,126.03333333333333,3.859926276987889,393.25031623852175,334.73333333333335,8.855538002457433,912.8461645722389,423.76666666666665,10.421274354923645,1064.8880788793397
4,847.6,13.654555028962612,1416.965851705934,844.5,13.477268737932244,1425.0852386827657,820.4666666666667,13.050728453572054,1354.0115088273233,224.6,5.190451114621732,529.2829763479365,539.5333333333333,10.784623486045284,1104.9727631361543,649.1333333333333,11.86764964016149,1209.1991891625232
5,1115.2666666666667,14.095137791820253,1467.9607520942484,1110.1333333333334,13.988063893277165,1461.147125234632,1078.8333333333333,13.60540635422152,1400.9804117478118,357.76666666666665,7.012462699666491,731.7769900197927,758.3333333333334,11.521853607161665,1180.663167927775,888.6666666666666,12.613656310338774,1287.893303272661
6,1387.0333333333333,14.311040898718627,1482.2446914128889,1378.4,14.126733368439533,1472.4725371639142,1340.7666666666667,13.793224504124975,1434.629745013601,512.5,8.148148148148147,850.7397293276314,990.0666666666667,12.202913814288223,1261.9021739212135,1135.7666666666667,13.012111637704056,1312.3905402336418
7,1661.0333333333333,14.428646656134807,1486.7863400490169,1650.1666666666667,14.311040898718625,1493.6982475674415,1599.4333333333334,13.621204142531159,1409.121478671384,685.5,9.110057925223801,938.023668374347,1227.0666666666666,12.48025276461295,1288.3942919804579,1380.3,12.876952782166054,1309.2739180094638
8,1937.8,14.574337370545901,1492.4712311936685,1923.1666666666667,14.37598736176935,1494.573684613585,1857.3666666666666,13.582587326663154,1403.2726287921728,877.4333333333333,10.107073898543092,1043.2991871323527,1470.5,12.819027558364052,1321.8460168279732,1630.0666666666666,13.1525364226786,1347.0290334352167
9,2216.5,14.676145339652447,1513.080285797359,2195.4666666666667,14.339125855713537,1508.739286175684,2122.9666666666667,13.98630858346498,1445.7585437965438,1075.2666666666667,10.417763735299282,1071.2226307390686,1715.1333333333334,12.882218711602599,1328.765474347372,1882.9666666666667,13.317535545023697,1368.8233928815732
10,2494.9333333333334,14.662102861154994,1507.3574800019276,2474.6666666666665,14.702474986835174,1534.0439940387755,2389.8,14.051255046515708,1456.1421435395657,1280.3666666666666,10.800421274354925,1115.9282459517053,1964.5,13.131472704932419,1365.4477826932748,2140.766666666667,13.575566087414426,1393.562093363626
11,2773.9,14.690187818149901,1506.966151584025,2755.9666666666667,14.813059505002634,1559.6893805583948,2656.7,14.054765666140074,1449.3498330865518,1491.7333333333333,11.130419519045109,1152.3507249121576,2208.4666666666667,12.847112515358962,1319.1225162865728,2397.866666666667,13.538704581358612,1387.541603552141
12,3052.9666666666667,14.695453747586447,1518.1630316433323,3041.6666666666665,15.044760400210638,1568.9329609988251,2920.8,13.907319641916798,1433.4896762305618,1698.1666666666667,10.8706336668422,1120.6222465934895,2455.366666666667,13.001579778830965,1339.926971789255,2652.0,13.382482008074424,1373.864491752311
13,3327.5333333333333,14.458486922941898,1492.0667935138988,3324.7,14.904335615236091,1555.1016479833054,3188.8,14.112690889942076,1452.908811836456,1908.3,11.065473055994381,1137.9909113654305,2709.0,13.356152360891695,1373.7293120291474,2904.3333333333335,13.287695278216603,1362.1793986667394
14,3600.6,14.379497981393717,1479.635651227515,3597.3333333333335,14.35667895383535,1507.4480816321618,3455.5666666666666,14.047744426891345,1428.953354419123,2123.5333333333333,11.334035457258205,1160.8768650062498,2960.7,13.25434439178515,1370.9888420414593,3156.1,13.257855011409514,1358.3208876069477
15,3873.0333333333333,14.346147094962259,1483.4510843154324,3869.3333333333335,14.323328067403896,1489.5445201076077,3716.866666666667,13.759873617693527,1403.4038162589684,2343.0333333333333,11.558715113217485,1181.4894733165654,3215.8,13.433385992627702,1379.4666840953666,3414.266666666667,13.59487449534843,1393.1127949801908
16,4151.1,14.642794453220992,1519.3527796023761,4135.466666666666,14.014393540459894,1459.164315340026,3987.5333333333333,14.253115674916621,1468.2599264136202,2553.233333333333,11.06898367561875,1139.5739492007144,3469.6666666666665,13.36843952957697,1380.396133641869,3674.5666666666666,13.707214323328063,1398.4729148940867
17,4433.266666666666,14.858697560119362,1531.6258378119396,4393.766666666666,13.601895734597155,1427.6524662223924,4250.9,13.868702826048796,1432.8780446476385,2758.6,10.81446375285238,1122.8434368422734,3713.4333333333334,12.83658065648587,1320.909992978084,3940.0,13.97753203440407,1425.3815568719401
18,4710.966666666666,14.623486045286995,1507.9646556092712,4664.966666666666,14.281200631911531,1487.071779294564,4517.333333333333,14.030191328769527,1441.4941793957817,2975.1,11.400737230121116,1181.6352296713706,3963.0,13.142004563805513,1358.8954074133758,4195.4,13.44918378093733,1372.1239708233227
19,4987.533333333334,14.56380551167281,1490.3031105015405,4944.466666666666,14.718272775144815,1532.800281397041,4780.9,13.879234684921888,1433.281400804247,3190.3,11.332280147446022,1173.6481207520342,4209.366666666667,12.973494821836054,1333.848556000064,4448.233333333334,13.314024925399332,1349.6752442652785
20,5264.566666666667,14.588379849043356,1489.2249510473425,5220.433333333333,14.532209935053535,1520.0818111343829,5049.2,14.128488678251708,1450.0834418224417,3403.0,11.200631911532387,1153.2228778803353,4451.533333333334,12.752325785501144,1323.640099191553,4697.633333333333,13.133228014744601,1336.1805375858225
21,5548.2,14.935931191855364,1541.1932432444478,5500.733333333334,14.76040021063718,1540.9414207008913,5307.166666666667,13.584342636475343,1409.7801541676224,3624.8333333333335,11.681586800070216,1206.293175131882,4696.066666666667,12.876952782166052,1328.9770103323053,4950.033333333334,13.291205897840971,1367.8385100490636
22,5823.466666666666,14.495348428997715,1493.710058763367,5782.466666666666,14.835878532560999,1538.225160724099,5566.1,13.635246621028614,1416.9278093646658,3850.9666666666667,11.908021765841674,1227.6469122911333,4939.166666666667,12.80147446024223,1318.06591599125,5201.0,13.215727575917148,1351.470437990714
23,6102.7,14.704230296647356,1513.8057091690182,6061.133333333333,14.674390029840266,1529.9594962270519,5831.9,13.99684044233807,1444.1068776666996,4069.4666666666667,11.506055818852026,1198.69457031359,5188.466666666666,13.12796208530806,1365.5213760047634,5454.433333333333,13.345620502018608,1373.5221849062918
24,6379.6,14.581358609794632,1498.3557086641474,6333.566666666667,14.34614709496226,1489.7423815405023,6106.7,14.470774091627172,1491.778076568487,4275.733333333334,10.861857117781291,1120.1482887946845,5436.133333333333,13.041951904511144,1339.226846889275,5699.466666666666,12.903282429348781,1315.6738005022078
25,6654.266666666666,14.463752852378443,1500.5758151920456,6611.966666666666,14.660347551342813,1520.7682374152453,6374.733333333334,14.114446199754253,1454.7063366443872,4486.0,11.072494295243109,1147.4632047274151,5681.5,12.920835527470599,1336.2976242431398,5946.566666666667,13.012111637704056,1333.2933107296697
26,6923.6,14.182903282429352,1463.7528201654814,6884.933333333333,14.374232051957167,1485.191077663714,6648.8,14.432157275759172,1486.8851323789547,4703.133333333333,11.43408811655257,1186.9179622776792,5936.666666666667,13.43689661225206,1394.5719871893962,6194.7,13.066526241881691,1331.886717190422
27,7199.2,14.512901527119537,1501.278557136036,7155.566666666667,14.251360365104434,1483.3577618047445,6919.7,14.265402843601894,1454.5209410493308,4920.233333333334,11.43233280674039,1172.6255574182792,6188.566666666667,13.26487625065824,1365.1409440430014,6450.3,13.459715639810424,1368.9749289888657
28,7470.8,14.302264349657715,1481.012466507572,7424.4,14.156573635246623,1470.2392990072572,7184.333333333333,13.93540459891171,1433.392978904286,5140.4,11.593821309461118,1188.2484272820961,6439.233333333334,13.199929787607513,1355.8702891135356,6705.166666666667,13.421098823942426,1370.8016688486666
29,7745.633333333333,14.472529401439353,1492.3577407738949,7699.3,14.476040021063717,1502.4337103545633,7450.033333333334,13.991574512901527,1443.5947973351565,5356.0,11.353343865192207,1162.0404969604142,6685.966666666666,12.992803229770056,1333.6437222186917,6962.966666666666,13.575566087414426,1389.2785422865834
30,8023.366666666667,14.625241355099174,1504.3455127599934,7974.0,14.465508162190634,1509.815309416059,7720.933333333333,14.265402843601894,1477.543947931147,5565.033333333334,11.007547832192381,1138.8678918820985,6934.3,13.077058100754783,1352.4013872376438,7218.9,13.47726873793224,1380.452389957976
