timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,135.6,7.140600315955765,750.143661845599,131.46666666666667,6.922941899245218,744.6725356924063,143.53333333333333,7.558364051255046,804.9105200482277,14.566666666666666,0.7670703879234685,82.53093644575408,48.93333333333333,2.576794804282956,273.31834984611356,90.73333333333333,4.777953308758996,519.795861122587
2,350.56666666666666,11.319992978760752,1189.1860608260988,333.23333333333335,10.624890293136733,1134.2457090139603,357.6,11.272599613831845,1181.4155113119878,43.6,1.5288748464103918,160.54161703892262,156.96666666666667,5.688959101281376,595.7785867597305,251.86666666666667,8.485167632087062,920.2571880707078
3,599.8,13.124451465683695,1377.8833048188803,568.8,12.404774442689135,1305.958105641505,596.3333333333334,12.571528874846413,1319.8076952986971,91.76666666666667,2.536422678602774,269.7868006144697,314.4,8.29032824293488,871.0876193964824,457.46666666666664,10.826750921537654,1155.4665910509984
4,861.0666666666667,13.758118307881341,1448.5431577997454,817.7,13.106898367561872,1386.9344134655764,851.2,13.421098823942426,1406.0447030023035,177.16666666666666,4.4971037388099,473.9203732148556,509.93333333333334,10.296647358258733,1092.2474612157303,690.0666666666667,12.24855186940495,1299.7525933744469
5,1136.3,14.493593119185533,1529.707022773472,1082.1,13.923117430226432,1466.2440265716932,1112.4,13.754607688256973,1442.0502502715922,299.6333333333333,6.449008249956116,681.032258739037,729.7666666666667,11.576268211339302,1221.500259032273,928.9,12.576794804282958,1331.6529846319634
6,1412.6666666666667,14.55327365279972,1533.826240463626,1346.9,13.944181147972618,1472.6913489779013,1374.9666666666667,13.82657539055643,1466.2859334149355,456.5,8.260487976127786,873.3832293867324,967.9666666666667,12.543443917851503,1323.5457105184532,1181.4333333333334,13.298227137089697,1413.7938145773478
7,1688.7666666666667,14.539231174302264,1538.8337189229799,1611.2333333333333,13.91960681060207,1480.3656308102725,1639.5333333333333,13.931893979287345,1471.183741769781,631.8333333333334,9.232929612076532,975.219568054402,1206.5666666666666,12.564507635597684,1319.4048861730917,1438.2,13.521151483236793,1434.5344138120154
8,1969.8,14.799017026505176,1567.8764701859059,1879.2333333333333,14.112690889942074,1492.275472383063,1906.4666666666667,14.056520975952257,1484.7407534519527,817.7,9.787607512725998,1034.8841433614311,1450.2333333333333,12.831314727049323,1347.274412177527,1694.4666666666667,13.494821836054063,1424.9988376991776
9,2254.6666666666665,15.000877654906096,1583.832201683789,2147.766666666667,14.140775846936986,1504.5264827675917,2177.0333333333333,14.247849745480076,1508.2307876878292,1019.3666666666667,10.619624363700192,1126.0220707426156,1699.5333333333333,13.127962085308058,1381.898827722436,1951.8666666666666,13.554502369668247,1448.1488415284937
10,2542.133333333333,15.137791820256275,1612.4953080972489,2421.8,14.430401965946992,1537.1766258180642,2446.9333333333334,14.212743549236441,1501.0937032373615,1228.8666666666666,11.032122169562928,1177.123673401738,1951.8,13.284184658592242,1390.6305927752478,2216.1,13.914340881165524,1474.6290964021216
11,2824.1666666666665,14.851676320870633,1578.489696028525,2696.5,14.465508162190627,1538.8529789565916,2716.9,14.216254168860807,1498.3836882605794,1444.6,11.360365104440936,1201.3976319632093,2207.633333333333,13.472002808495699,1420.2911258612664,2472.366666666667,13.494821836054061,1433.2809123937109
12,3106.733333333333,14.879761277865544,1580.4923206294764,2970.1,14.407582938388627,1530.5125276210827,2989.233333333333,14.340881165525714,1510.476463682436,1667.8333333333333,11.75530981218185,1239.3667500534766,2463.5,13.473758118307877,1420.585370955808,2730.2,13.57732139722661,1436.9162216934087
13,3380.133333333333,14.397051079515535,1525.707644312889,3242.866666666667,14.363700193084076,1518.7506446453058,3254.0666666666666,13.9459364577848,1474.2926554653475,1897.2666666666667,12.081797437247673,1255.0884609879404,2729.366666666667,14.000351061962437,1480.0984869845836,2989.0,13.628225381779886,1451.224507824162
14,3655.3,14.490082499561176,1525.8237398170336,3515.766666666667,14.37072143233281,1507.6690970021796,3523.7,14.198701070738986,1497.2312790255417,2114.5,11.439354045989116,1199.7830105175397,2995.6,14.019659469896435,1484.7336972104015,3257.633333333333,14.146041776373531,1487.4846974962857
15,3933.3,14.639283833596627,1542.7464367101347,3783.4666666666667,14.096893101632435,1486.1302716879695,3793.1,14.18641390205371,1491.5528814924844,2337.2,11.727224855186936,1233.7298122131042,3257.633333333333,13.798490433561524,1447.1045819436263,3520.2,13.826575390556432,1475.1893405169046
16,4210.4,14.591890468667719,1541.3470831260684,4049.1666666666665,13.991574512901527,1481.308337489212,4064.1666666666665,14.274179392662806,1513.8910072450697,2563.5666666666666,11.92030893452694,1247.5381351329286,3521.4333333333334,13.891521853607161,1449.7139518968893,3778.6,13.607161664033702,1446.5391573359689
17,4481.433333333333,14.272424082850625,1508.7822800467977,4319.566666666667,14.239073196419165,1511.0606474593988,4341.133333333333,14.584869229418993,1546.2490203135828,2791.133333333333,11.983500087765488,1264.819087252394,3778.1,13.515885553800246,1424.452075973915,4040.6,13.79673512374934,1460.1947560099577
18,4757.133333333333,14.518167456556084,1540.0711084187433,4585.5,14.003861681586804,1491.5338106523086,4620.033333333334,14.686677198525539,1549.594232953267,3010.6666666666665,11.560470423029663,1209.0098492254212,4036.0666666666666,13.584342636475336,1434.6652126673184,4305.266666666666,13.937159908723887,1480.5907533679674
19,5030.466666666666,14.393540459891168,1526.5165443849694,4850.6,13.959978936282251,1484.987803518744,4893.933333333333,14.42338072669826,1515.5488409620846,3222.5,11.154993856415654,1166.9760341542108,4293.133333333333,13.53694927154643,1416.6855463104941,4567.366666666667,13.802001053185887,1477.1811184132337
20,5309.966666666666,14.718272775144811,1557.8210925943938,5123.0,14.344391785150078,1526.1929533610544,5170.5,14.563805511672815,1530.4065546901593,3426.1666666666665,10.724942952431102,1124.038308383831,4543.766666666666,13.198174477795332,1391.107580556478,4826.966666666666,13.67035281727225,1446.449176172876
21,5589.433333333333,14.716517465332629,1559.0153333322464,5394.3,14.286466561348083,1512.8996825957904,5444.4,14.423380726698262,1515.9125218950467,3630.1,10.738985430928558,1128.579797507447,4795.733333333334,13.268386870282603,1390.2865427205122,5094.066666666667,14.065297525013165,1495.5828212538838
22,5866.766666666666,14.604177637352997,1555.823906170324,5667.666666666667,14.39529576970335,1519.691544592959,5715.666666666667,14.284711251535896,1508.0073916419249,3843.8333333333335,11.255046515710022,1178.3234070120068,5050.233333333334,13.401790416008426,1397.1506100774247,5357.233333333334,13.858170967175708,1483.6067972364144
23,6139.533333333334,14.36370019308408,1520.019832470835,5938.7,14.272424082850625,1508.1538715910822,5990.733333333334,14.484816570124625,1526.051809338887,4061.5,11.462173073547481,1205.209858803887,5309.933333333333,13.675618746708789,1432.488458401753,5630.8,14.405827628576445,1525.4167122970237
