timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,127.7,6.72459189046867,661.7774651289753,131.36666666666667,6.9176759698086725,703.53913442126,145.53333333333333,7.663682639985956,781.1056485934809,12.3,0.6477093206951028,66.44391287401844,55.3,2.9120589784096897,297.86116071887403,86.46666666666667,4.553273652799718,470.981581106849
2,329.73333333333335,10.638932771634193,1062.928525327744,320.43333333333334,9.956117254695451,1025.321875087239,350.0,10.767070387923468,1099.1994077920222,39.86666666666667,1.4516412146743902,152.98266569062767,167.4,5.903106898367562,600.0476351382591,237.5,7.953308758995962,817.3170878106145
3,568.0333333333333,12.548709847288045,1255.9219176711783,543.9666666666667,11.771107600491488,1204.9975535630556,587.4333333333333,12.503071792171319,1277.1521712343363,91.86666666666666,2.738283307003686,280.8760703757749,330.3333333333333,8.579954361944884,879.4325041270693,435.4,10.421274354923645,1078.6331202058586
4,827.5,13.663331578023522,1365.335784913574,787.9333333333333,12.847112515358962,1311.0166391016814,842.1,13.410566965069338,1380.7363332961625,166.43333333333334,3.9266280498507995,395.70215058540066,530.7333333333333,10.552922590837284,1081.3441275766868,668.2666666666667,12.262594347902406,1272.939496086582
5,1089.9333333333334,13.819554151307708,1390.441033330125,1042.8666666666666,13.424609443566792,1384.9596531641212,1103.1666666666667,13.74758644900825,1405.3266423955438,268.8333333333333,5.392311743022644,549.5701428352246,760.9333333333333,12.122169562927859,1243.4513090022924,915.1,12.9980691592066,1349.543135122946
6,1366.3666666666666,14.556784272424078,1483.3627777643046,1295.3666666666666,13.296471827277513,1365.4484635969507,1367.5333333333333,13.921362120414253,1421.0734530525085,403.3666666666667,7.084430401965945,719.6524849441847,997.5666666666667,12.460944356678954,1273.2459692261646,1164.7,13.143759873617688,1361.7017519145375
7,1645.5,14.698964367210813,1498.8037678930898,1556.2,13.735299280322979,1412.7190945747498,1634.2,14.042478497454802,1435.8263650819658,560.5333333333333,8.276285764437421,842.3281036807458,1243.4333333333334,12.947165174653327,1329.0226818559627,1421.8666666666666,13.542215200982975,1404.022304509114
8,1922.7,14.597156398104266,1482.7986985790371,1813.3333333333333,13.540459891170793,1384.0197063407982,1898.9666666666667,13.942425838160432,1421.254787858906,736.0,9.23995085132526,938.7719896841264,1492.2666666666667,13.10338774793751,1346.8334908669729,1681.3333333333333,13.663331578023524,1416.2203117310878
9,2202.5333333333333,14.735825873266633,1494.6216237986134,2080.1666666666665,14.05125504651571,1443.8931810084641,2160.266666666667,13.759873617693527,1421.4607826302934,919.6,9.66824644549763,987.0284510678409,1750.9333333333334,13.621204142531157,1401.6169398981278,1935.2666666666667,13.371950149201336,1387.0646783007364
10,2477.9666666666667,14.504124978058629,1467.3506233877888,2341.366666666667,13.754607688256979,1403.454608208632,2430.3333333333335,14.221520098297345,1459.52253772648,1113.0,10.184307530279094,1043.820449581378,2011.1,13.70019308407934,1408.0343097198079,2189.866666666667,13.40705634544497,1385.0737547600886
