timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,73.83333333333333,3.8880112339827977,352.3161708421187,115.83333333333333,6.099701597331929,629.8746710045515,136.63333333333333,7.1950149201334055,725.6692964800001,19.466666666666665,1.0251009303142005,109.61277522154565,67.03333333333333,3.5299280322977014,365.79729514453976,75.86666666666666,3.9950851325258916,416.22038301391007
2,207.4,7.033526417412673,657.6509800635888,296.8,9.529576970335263,981.0254199497026,341.8,10.803931893979287,1108.3046027983228,51.833333333333336,1.7044058276285767,179.23121696188153,192.13333333333333,6.587677725118484,675.1412315770538,222.93333333333334,7.744426891346321,767.8010379068797
3,383.56666666666666,9.276812357381079,881.7733696068668,516.8666666666667,11.588555380024577,1185.5712939165512,579.8333333333334,12.534667368790592,1289.7254569240865,111.06666666666666,3.119185536247147,319.0270218829344,361.8666666666667,8.938037563629983,902.3682360150647,415.9,10.161488502720728,1035.9787980857259
4,585.5333333333333,10.63542215200983,1020.6290371993548,754.0,12.487274003861678,1280.2851448850843,832.6333333333333,13.312269615587153,1354.4386661810431,207.23333333333332,5.064068808144638,514.9479107958371,568.0,10.85483587853256,1117.790273860443,633.1,11.437598736176932,1157.208677863188
5,809.4,11.788660698613306,1142.6251933727567,1005.9,13.26487625065824,1367.3257056788295,1090.9,13.600140424784973,1396.8793583966183,330.76666666666665,6.505178163945938,668.4706413496899,788.8666666666667,11.63068281551694,1191.951852929825,866.8333333333334,12.308232403019131,1247.74024633242
6,1048.5333333333333,12.592592592592593,1238.1679764853577,1262.6666666666667,13.521151483236789,1397.4135769701054,1355.8666666666666,13.952957697033527,1441.7612907885675,474.8333333333333,7.586449008249957,768.0854376169224,1021.8333333333334,12.267860277338949,1270.4783890157616,1107.9666666666667,12.697911181323503,1289.250834460369
7,1299.8,13.231525364226789,1297.859365401156,1525.1666666666667,13.82306477093207,1421.1142377544884,1618.8666666666666,13.849394418114798,1420.893653295673,633.0333333333333,8.33070036861506,853.6495703364631,1263.8,12.74179392662805,1316.8330747203845,1351.6,12.829559417237146,1304.976235303909
8,1558.0666666666666,13.600140424784971,1341.1473944513925,1788.9333333333334,13.88976654379498,1428.3648175153817,1872.3,13.345620502018608,1376.7487723068955,803.8333333333334,8.994207477619797,926.9656095889375,1505.6666666666667,12.736527997191502,1306.4281753927555,1607.4,13.470247498683516,1375.3515501026789
9,1817.4,13.656310338774793,1350.7305912244115,2050.633333333333,13.780937335439708,1409.966822174463,2127.4,13.433385992627699,1376.784252110437,988.8333333333334,9.741969457609267,995.8399022281336,1746.5333333333333,12.68386870282605,1290.045431932252,1864.8333333333333,13.55625767948043,1367.84200027193
10,2071.266666666667,13.368439529576971,1320.099401643324,2312.266666666667,13.777426715815343,1422.7441126193266,2393.0666666666666,13.989819203089345,1442.7349391299888,1182.1666666666667,10.18079691065473,1044.2112791847098,1993.1,12.984026680709144,1328.7617697488051,2122.266666666667,13.556257679480428,1385.1663042984308
