timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,96.16,47.60396039603959,143.24310109782965,98.58,48.80198019801982,146.75785449920696,98.38,48.70297029702971,147.20038238781342,93.56,46.31683168316831,139.65150540047551,96.66,47.85148514851487,144.25712069739836,95.24,47.14851485148518,142.8341609061348
2,226.56,64.55445544554455,195.09556079966308,226.36,63.25742574257424,191.25813112452505,225.6,62.980198019801975,191.52546624657367,217.62,61.415841584158436,186.01403363083276,224.56,63.31683168316833,192.2137987465972,222.6,63.049504950495056,190.44112294647016
3,370.44,71.22772277227722,215.4235418035516,368.06,70.14851485148516,212.39670239696818,366.34,69.67326732673267,211.9940440744167,352.94,66.99009900990099,203.15239243705855,364.56,69.30693069306932,210.34090623786454,363.48,69.74257425742572,211.71940844785274
4,521.72,74.89108910891088,227.13250178940515,515.68,73.07920792079206,221.65736777371924,512.96,72.58415841584157,221.13613329305997,494.34,69.99999999999999,212.05729603114224,508.46,71.23762376237619,216.08182552234942,510.46,72.76237623762376,221.08476843314497
5,676.14,76.44554455445545,231.9963030885049,668.32,75.56435643564356,229.36063771619504,663.24,74.3960396039604,226.77744753483472,640.08,72.14851485148515,218.9316650859397,656.46,73.26732673267327,222.1830046765609,661.68,74.86138613861384,227.29425871830506
6,831.28,76.80198019801983,233.2513890061925,821.46,75.81188118811882,230.1368519901445,814.9,75.0792079207921,229.02838626147087,788.68,73.56435643564357,223.44541072638148,805.76,73.91089108910892,224.28964549509826,816.08,76.43564356435643,232.15509854007206
7,987.74,77.45544554455445,234.75062883667684,974.6,75.81188118811882,230.02402582921192,969.76,76.66336633663367,233.663754891196,938.14,73.990099009901,224.6192786487452,956.3,74.52475247524754,226.10534297217043,970.68,76.53465346534654,232.90093023491335
8,1144.3,77.50495049504951,234.9637943366635,1129.08,76.47524752475248,232.46270434357524,1124.26,76.4851485148515,233.25631691586597,1087.4,73.89108910891088,224.43798558797695,1108.42,75.3069306930693,228.2315792023448,1126.44,77.10891089108912,234.31134164430324
9,1301.4,77.77227722772277,236.09823101523668,1285.08,77.22772277227723,234.54571009374172,1279.76,76.98019801980199,234.6104423838997,1237.52,74.31683168316833,226.00570139476386,1261.16,75.61386138613861,229.64214002523929,1282.84,77.42574257425743,234.90134165415907
10,1458.86,77.95049504950497,236.10370337289822,1439.56,76.47524752475248,232.3972067123874,1436.22,77.45544554455444,236.0972248825525,1387.86,74.42574257425744,225.95227976567185,1413.7,75.51485148514853,229.29681417147924,1439.5,77.55445544554458,235.75609593285984
11,1616.48,78.02970297029705,236.9257112515565,1593.54,76.22772277227722,232.06490183555178,1593.18,77.70297029702972,236.50567076308226,1537.34,74.00000000000001,224.77099053905633,1566.7,75.74257425742576,229.9455319815566,1595.98,77.46534653465345,234.9590694977217
