timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,34.34,16.999999999999996,181.02362344132783,33.9,16.782178217821784,169.30861723550325,36.52,18.079207920792083,211.91494432599865,7.54,3.732673267326732,38.81969999173327,30.94,15.316831683168319,158.66192640037,25.5,12.623762376237625,139.23422871342112
2,86.62,25.881188118811885,281.61324571684287,89.88,27.712871287128714,291.96306786690735,95.56,29.227722772277225,336.34961989695233,24.24,8.267326732673267,87.1949736267416,82.56,25.554455445544562,269.2992078655598,66.5,20.297029702970303,218.0921479328472
3,152.8,32.76237623762376,346.913940290521,157.02,33.237623762376245,350.32516790175345,162.88,33.32673267326733,377.6682729140952,49.9,12.702970297029697,132.3901277576701,146.9,31.851485148514854,333.6645435953553,120.36,26.66336633663366,286.88359902551406
4,224.82,35.65346534653465,378.8805780800713,232.02,37.128712871287135,386.9379240986143,234.74,35.574257425742566,403.9679084188223,80.66,15.227722772277227,159.05914474316302,215.2,33.811881188118825,356.4618810503793,181.54,30.287128712871286,322.88482171027323
5,297.5,35.980198019801975,376.8228495097468,310.98,39.089108910891085,409.77374316311216,308.44,36.485148514851474,409.9918341526326,115.62,17.306930693069308,179.95856165664256,287.46,35.77227722772277,374.5475776901601,245.46,31.64356435643565,336.29661953768925
6,373.66,37.7029702970297,399.0542870024863,389.74,38.990099009901,408.68529890471416,383.02,36.92079207920792,416.26577258941643,152.46,18.237623762376234,190.8228442884621,359.58,35.7029702970297,375.3819895972564,312.64,33.25742574257426,354.9464231893534
7,447.76,36.68316831683169,385.25374735493534,465.92,37.71287128712872,395.579042237332,457.94,37.089108910891085,419.1642814890184,194.08,20.603960396039607,216.03575454814006,434.66,37.16831683168317,391.10451097653794,380.42,33.55445544554455,359.8531074152369
8,521.94,36.722772277227726,391.22213935147005,541.26,37.29702970297028,386.80780176491845,533.72,37.514851485148526,419.59932460318714,239.94,22.7029702970297,237.06242050959295,508.44,36.52475247524753,381.6543042479579,447.68,33.29702970297029,354.22584786154874
9,596.48,36.9009900990099,389.7861781550972,617.02,37.504950495049506,392.8968568234848,609.68,37.60396039603961,418.8428376045864,291.58,25.564356435643564,263.26332626513494,582.42,36.62376237623762,383.2804464781239,515.2,33.42574257425744,355.91649714624765
10,672.36,37.56435643564356,396.5839397478911,695.92,39.05940594059406,408.0030268192279,687.2,38.376237623762364,427.9594188002414,344.5,26.19801980198019,273.38618560583296,658.04,37.43564356435644,391.6079708976782,586.46,35.277227722772274,373.0869420323606
