timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,10.0,5.0,17.136951534780824,84.6,42.3,437.0135959139358,30.0,15.0,273.95384226757955,0.0,0.0,0.0,73.4,36.7,250.2807565984515,10.0,5.0,91.54812526619469
2,21.6,5.8,20.280091551143904,163.0,39.2,219.3087592812021,48.0,9.0,158.09013631010527,0.0,0.0,0.0,158.6,42.6,280.6132290869132,21.8,5.9,108.32536959641799
3,33.6,6.0,20.780858483734836,247.8,42.4,372.61582988863415,73.2,12.6,228.98482963447015,0.0,0.0,0.0,244.8,43.1,308.2829244307731,34.6,6.4,117.06924757644069
4,46.4,6.4,22.388516953102048,337.4,44.8,303.7164106648498,102.0,14.4,220.23169358421302,0.0,0.0,0.0,335.2,45.2,330.55115175710904,47.8,6.6,120.70557242932014
5,59.6,6.6,22.975562406786704,428.4,45.5,364.7166109286309,135.2,16.6,243.98623898416398,0.0,0.0,0.0,420.6,42.7,298.73971070881925,61.6,6.9,126.18988203499211
6,72.4,6.4,22.39336016391068,515.2,43.4,299.02664973624826,164.6,14.7,186.86613916993957,0.0,0.0,0.0,505.8,42.6,270.941066418835,76.0,7.2,131.62789630614634
7,85.8,6.7,23.397547666121987,598.6,41.7,326.75040979333437,190.6,13.0,221.6129845744963,0.0,0.0,0.0,596.2,45.2,324.4284353596046,90.4,7.2,131.34364841626507
8,99.2,6.7,23.408658350842533,685.4,43.4,335.260201644111,215.6,12.5,206.28696247878605,0.0,0.0,0.0,686.4,45.1,310.41212417938806,103.6,6.6,120.72183559044969
9,112.6,6.7,23.38354128270234,769.4,42.0,316.8502424186314,246.2,15.3,215.79652757770677,0.0,0.0,0.0,776.8,45.2,306.3648309978144,116.0,6.2,113.43941758101438
10,124.8,6.1,21.33214073994275,856.6,43.6,324.6659044239547,278.2,16.0,220.4294654113473,0.0,0.0,0.0,859.2,41.2,275.5006656501791,128.4,6.2,113.54243334866405
11,138.0,6.6,22.92257186348229,942.0,42.7,322.34095142992834,306.6,14.2,222.1065899237541,0.0,0.0,0.0,949.8,45.3,296.4504808945747,141.2,6.4,117.13306816922073
12,151.2,6.6,23.11705756664454,1033.4,45.7,339.3031041941769,336.0,14.7,209.443063173263,0.0,0.0,0.0,1039.6,44.9,311.1474072143042,154.2,6.5,118.92446606201214
13,163.8,6.3,21.951474845896755,1118.0,42.3,319.86544975234335,363.0,13.5,205.59399921798635,0.0,0.0,0.0,1123.8,42.1,279.0962311443164,167.0,6.4,116.84636778883007
14,177.6,6.9,24.103160293169694,1205.6,43.8,319.55097594437257,390.4,13.7,206.2377809385528,0.0,0.0,0.0,1208.8,42.5,281.7479459225497,180.0,6.5,118.95805903889851
15,190.6,6.5,22.728118715562672,1291.8,43.1,315.95506081105646,417.6,13.6,221.41752186610688,0.0,0.0,0.0,1294.0,42.6,290.47544575475223,193.6,6.8,124.4412401205685
16,204.2,6.8,23.719299159874296,1382.0,45.1,320.0675464409617,442.8,12.6,190.08369127468129,0.0,0.0,0.0,1381.6,43.8,293.09699555643516,206.6,6.5,118.65754798788774
17,216.8,6.3,22.09482230256138,1466.8,42.4,325.5595836592822,467.6,12.4,211.1516377327838,0.0,0.0,0.0,1470.6,44.5,299.6787192972777,218.8,6.1,111.6342090176029
18,230.4,6.8,23.60904925039349,1553.0,43.1,312.61310794913743,491.4,11.9,203.95949089803483,0.0,0.0,0.0,1555.8,42.6,292.88827966506216,232.8,7.0,128.13675810810258
19,242.8,6.2,21.766089655285406,1639.0,43.0,330.1548554842062,519.8,14.2,223.5034349707466,0.0,0.0,0.0,1640.2,42.2,290.0339360882537,246.8,7.0,127.97567772980021
20,256.4,6.8,23.6661693248948,1728.2,44.6,326.5585778900551,546.8,13.5,211.9551284887196,0.0,0.0,0.0,1727.6,43.7,312.05651966368106,260.6,6.9,125.97824830170948
21,268.4,6.0,20.997331049360355,1815.8,43.8,328.82081741268405,573.2,13.2,211.48108782660478,0.0,0.0,0.0,1815.2,43.8,303.5339688260668,273.8,6.6,120.755428567336
22,280.6,6.1,21.265996784505514,1901.4,42.8,328.8912637081137,600.4,13.6,210.29638357365286,0.0,0.0,0.0,1901.8,43.3,308.79022730189956,288.8,7.5,136.97724891309127
23,293.0,6.2,21.5997630731956,1990.6,44.6,321.23077383382713,626.2,12.9,210.0126982297983,0.0,0.0,0.0,1990.2,44.2,294.16049579147307,301.4,6.3,114.65085798619658
24,305.0,6.0,20.939306864641832,2076.8,43.1,334.7776215000075,654.0,13.9,223.84223782751988,0.0,0.0,0.0,2079.4,44.6,304.44926864744735,314.6,6.6,120.77707827293003
25,318.8,6.9,24.056056362566224,2163.2,43.2,322.8143494075823,683.8,14.9,218.13507762711447,0.0,0.0,0.0,2169.6,45.1,306.93636632220137,327.8,6.6,120.68355328606326
26,332.8,7.0,24.45786297987269,2253.0,44.9,336.19938683551413,712.0,14.1,223.23370216377228,0.0,0.0,0.0,2256.0,43.2,289.2113874912747,341.6,6.9,126.09694213930705
27,346.0,6.6,23.09892165202799,2342.8,44.9,339.19772481069407,739.6,13.8,210.71474584152347,0.0,0.0,0.0,2340.4,42.2,277.8989045234732,354.2,6.3,115.05907413235711
28,359.0,6.5,22.632918591393828,2433.0,45.1,336.11785091191416,767.8,14.1,225.91541247769203,0.0,0.0,0.0,2427.8,43.7,287.87383519310333,366.6,6.2,113.34552315648465
29,371.6,6.3,21.999622178392528,2520.4,43.7,317.15383943481766,795.0,13.6,196.84726269197498,0.0,0.0,0.0,2514.6,43.4,305.2849378291901,380.0,6.7,122.52235482636107
30,384.0,6.2,21.625689036250282,2605.8,42.7,341.56568396987956,819.8,12.4,202.40304777908466,0.0,0.0,0.0,2604.6,45.0,302.9641280609435,392.8,6.4,116.84039615318393
