timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,20.0,10.0,108.54130832860814,67.6,33.8,332.34515253450877,38.2,19.1,340.3422629508431,0.0,0.0,0.0,73.2,36.6,249.86863084843952,10.0,5.0,86.87755487427334
2,44.6,12.3,133.57111184407213,141.0,36.7,252.54783579875328,113.6,37.7,211.15678867154372,0.0,0.0,0.0,159.8,43.3,286.10202360384585,22.0,6.0,109.49730757062954
3,68.4,11.9,127.55956013034637,220.6,39.8,337.28641501755936,159.0,22.7,312.9448731097704,0.0,0.0,0.0,245.2,42.7,291.61614122622103,34.2,6.1,106.54184309304408
4,92.4,12.0,127.17591580221497,303.0,41.2,274.67233114338313,198.2,19.6,170.79183143306594,0.0,0.0,0.0,331.6,43.2,283.4522961632481,48.6,7.2,129.1298935369331
5,116.6,12.1,127.02480561778206,383.2,40.1,325.63415977037863,231.6,16.7,263.92082769215637,0.0,0.0,0.0,419.0,43.7,290.898006379364,62.0,6.7,118.09769030491158
6,139.8,11.6,122.14399293598962,470.2,43.5,316.72985472654693,264.2,16.3,176.7203566088877,0.0,0.0,0.0,507.8,44.4,318.38077917380605,75.4,6.7,118.88226652019557
7,164.6,12.4,126.40072349197416,549.2,39.5,304.3000419311482,297.2,16.5,253.7094793076043,0.0,0.0,0.0,597.4,44.8,313.27988815984975,88.4,6.5,115.2750896682965
8,188.6,12.0,128.00845253470004,634.6,42.7,302.7213466256383,332.2,17.5,193.0083340843711,0.0,0.0,0.0,685.0,43.8,291.6920627034418,100.6,6.1,108.25169820052281
9,214.8,13.1,139.02059461944702,714.4,39.9,304.8687050447225,365.6,16.7,250.48261970827858,0.0,0.0,0.0,771.8,43.4,283.3866780420404,113.2,6.3,111.76378178262726
10,239.6,12.4,130.1897137705589,798.6,42.1,312.06746788771613,400.8,17.6,200.25388706813538,0.0,0.0,0.0,857.4,42.8,274.47325062696734,125.6,6.2,110.3725829450301
11,264.0,12.2,129.88253328014432,883.8,42.6,314.7177139819793,431.6,15.4,237.93455347404444,0.0,0.0,0.0,947.6,45.1,303.27050651699227,136.8,5.6,99.11270561877714
12,288.6,12.3,136.38940689550114,969.2,42.7,322.5596445170809,467.2,17.8,205.41368868447157,0.0,0.0,0.0,1033.4,42.9,277.82830345496586,149.2,6.2,110.57345956085001
13,312.0,11.7,127.97950238564772,1049.8,40.3,303.7934650489706,495.0,13.9,220.6315218214288,0.0,0.0,0.0,1119.4,43.0,275.745835634311,161.4,6.1,108.2200004439246
14,337.2,12.6,137.330388223129,1133.4,41.8,310.98891984421186,520.2,12.6,192.9055446958803,0.0,0.0,0.0,1207.0,43.8,280.4598541413183,173.8,6.2,110.71493793419594
15,361.2,12.0,126.20267152936184,1212.0,39.3,295.02344469265535,545.2,12.5,206.75082550375333,0.0,0.0,0.0,1291.4,42.2,275.0198593072253,187.0,6.6,116.76627755800598
16,386.0,12.4,130.74002801799523,1294.6,41.3,308.4593528846983,572.4,13.6,198.1890305025375,0.0,0.0,0.0,1377.6,43.1,282.0061628796127,201.8,7.4,131.74762028700584
17,411.4,12.7,135.95511355531886,1374.0,39.7,292.3852206922683,600.0,13.8,210.4162502859608,0.0,0.0,0.0,1466.2,44.3,311.4934142509685,215.2,6.7,118.5399115310297
18,436.6,12.6,131.04733664816808,1454.8,40.4,317.0176448466589,627.6,13.8,215.88367822836508,0.0,0.0,0.0,1553.4,43.6,293.73956364252103,228.0,6.4,113.42814580228091
19,459.8,11.6,117.70000009306796,1533.8,39.5,292.37437489791847,659.4,15.9,216.3524701662513,0.0,0.0,0.0,1643.0,44.8,300.3191280715901,240.2,6.1,108.51185024365664
20,484.4,12.3,129.21853072653545,1618.2,42.2,329.9174093170679,691.2,15.9,218.5493399161511,0.0,0.0,0.0,1730.0,43.5,283.20012286593965,252.8,6.3,111.79998747332556
21,508.6,12.1,131.03819569830284,1698.0,39.9,281.75056076118375,722.0,15.4,210.47072375403656,0.0,0.0,0.0,1817.6,43.8,296.2729851601078,265.2,6.2,110.04413960638215
22,531.6,11.5,121.80515272421958,1781.0,41.5,325.08664628255707,752.8,15.4,222.78100716325181,0.0,0.0,0.0,1905.2,43.8,288.795842141332,278.4,6.6,117.11752560021199
23,555.0,11.7,123.76205746012324,1860.4,39.7,289.4554971893708,787.0,17.1,221.69039562914315,0.0,0.0,0.0,1991.2,43.0,281.78181735241446,291.4,6.5,115.58974417158659
24,579.2,12.1,131.24511460972764,1942.6,41.1,314.3308285433749,822.2,17.6,225.01752130516707,0.0,0.0,0.0,2078.4,43.6,287.6215403045873,304.4,6.5,115.37546656862644
25,603.8,12.3,134.62159867056937,2024.8,41.1,300.2979711323293,857.8,17.8,221.2899622002146,0.0,0.0,0.0,2163.6,42.6,291.9233653303328,318.2,6.9,122.85460306481855
26,627.4,11.8,121.22196334115182,2109.4,42.3,329.80847292205794,887.6,14.9,213.99488982722332,0.0,0.0,0.0,2249.4,42.9,283.97616434727274,332.8,7.3,129.37586440062248
27,651.0,11.8,121.29451177676958,2192.8,41.7,307.09929485230964,914.6,13.5,208.30957239028302,0.0,0.0,0.0,2337.4,44.0,303.33111362968697,346.8,7.0,123.8851501437919
28,675.0,12.0,131.04171031477682,2273.8,40.5,312.24826879162555,941.4,13.4,201.20779707608162,0.0,0.0,0.0,2424.0,43.3,297.5037229475827,361.8,7.5,133.26149006511335
29,700.4,12.7,133.10052604742197,2355.8,41.0,302.32800377374673,968.8,13.7,202.42845383220322,0.0,0.0,0.0,2509.2,42.6,288.98377665752224,376.0,7.1,124.77330257976506
