timestep,cdsqn_cumulative_active_nodes_mean,cdsqn_percent_activated_mean,cdsqn_reward_mean,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,random_cumulative_active_nodes_mean,random_percent_activated_mean,random_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,26.02,12.881188118811883,142.46734571012345,33.0,16.33663366336634,186.2305040844711,34.5,17.07920792079208,202.2456947819581,7.54,3.7326732673267315,41.089188795632616,24.3,12.029702970297029,134.8643959535032,18.74,9.277227722772277,99.43957116593624
2,71.74,22.633663366336638,243.50371149581184,79.2,22.87128712871288,259.7182441295224,84.7,24.851485148514843,287.67785449740654,22.54,7.425742574257425,82.55158195076092,65.84,20.564356435643557,226.624881823024,53.78,17.346534653465348,186.39851818793935
3,124.14,25.94059405940593,282.47062864151104,134.6,27.425742574257427,310.9086609831124,143.66,29.18811881188119,332.5393670190462,44.26,10.75247524752475,119.18907138788322,118.42,26.02970297029703,284.54978207699924,99.9,22.831683168316832,251.7566378997821
4,182.46,28.871287128712865,314.67794372846043,199.18,31.970297029702973,360.76522638376804,207.5,31.60396039603961,359.86636102043997,70.7,13.089108910891088,145.3081408110489,177.92,29.455445544554454,320.7193667789067,153.48,26.524752475247528,288.66112468413587
5,242.04,29.495049504950497,321.2492908435905,265.72,32.940594059405946,373.94272469943934,270.92,31.3960396039604,363.3346633609054,103.46,16.21782178217822,179.37831178374148,241.78,31.61386138613862,347.38102400043516,207.54,26.762376237623762,294.8683552981513
6,303.44,30.3960396039604,331.2687734115544,331.72,32.67326732673266,364.6968110194433,336.72,32.57425742574257,371.96601384134834,141.06,18.61386138613861,204.2738247410373,307.22,32.39603960396041,356.99196534915956,265.76,28.821782178217823,315.8147239434995
7,362.24,29.10891089108911,318.35111197724166,400.54,34.06930693069308,382.2605010500569,404.02,33.316831683168324,381.6018823684787,181.8,20.168316831683164,221.0348298353973,373.46,32.7920792079208,361.91349752958115,326.8,30.217821782178216,331.7771894282525
8,427.58,32.346534653465355,353.97979732327747,469.58,34.178217821782184,381.66308340092945,467.98,31.663366336633658,363.09937676605483,223.98,20.881188118811885,230.06084791154709,440.34,33.10891089108913,366.40122418567915,389.32,30.95049504950495,340.42841759720744
9,495.38,33.56435643564355,369.5916769022149,537.02,33.386138613861384,372.8654992844686,531.94,31.66336633663367,364.45551857822744,266.86,21.22772277227723,233.09607570906522,510.04,34.5049504950495,374.64441302160105,454.6,32.31683168316831,352.00263706483486
10,559.04,31.514851485148515,341.7149952229099,606.34,34.316831683168324,387.85805403179324,593.74,30.594059405940612,354.02181205430804,314.62,23.643564356435647,259.10546883103945,580.04,34.65346534653466,381.0113585467284,515.36,30.07920792079209,326.0237787619322
11,623.64,31.980198019801993,348.5214411265652,673.06,33.02970297029705,372.9186431563483,655.9,30.77227722772278,353.27333967756755,362.98,23.94059405940594,263.7463047141759,647.26,33.27722772277229,365.8724688847332,578.9,31.455445544554454,344.5330285726128
12,686.72,31.227722772277232,342.8139946680433,740.68,33.475247524752476,377.61642120965604,719.82,31.64356435643564,357.5393850297562,414.28,25.39603960396039,278.2188202755523,714.18,33.12871287128714,367.107279575328,640.54,30.514851485148515,330.3069518439087
13,752.12,32.37623762376238,352.13522323500604,811.14,34.881188118811885,385.88198081687455,785.16,32.34653465346536,369.4051900538905,461.08,23.168316831683164,255.1386283389193,779.58,32.37623762376238,361.84785066632793,701.88,30.36633663366337,330.3808483318868
14,818.92,33.06930693069307,363.79549948575425,878.94,33.564356435643575,377.2011601835402,847.52,30.871287128712883,356.3975859830129,508.6,23.524752475247524,256.18625396786723,843.54,31.663366336633658,347.64815251584673,762.06,29.792079207920807,323.95069857429314
15,886.44,33.425742574257434,368.62769306416226,948.14,34.25742574257426,385.51577723004624,912.38,32.10891089108912,366.3899004453584,554.52,22.73267326732673,247.06723100852614,908.98,32.39603960396041,357.95838789770477,821.7,29.52475247524753,325.4467169512929
16,951.18,32.04950495049504,351.67263702224386,1016.44,33.81188118811881,376.85340777225974,977.16,32.069306930693074,368.9787089547977,600.76,22.89108910891089,248.01160040589076,974.76,32.56435643564357,358.7512817287723,882.04,29.871287128712865,329.09251244488865
17,1016.46,32.31683168316832,350.1497160363938,1084.8,33.841584158415856,378.770635854527,1042.9,32.54455445544554,373.5730011190062,648.84,23.801980198019802,258.977288049409,1041.1,32.841584158415856,359.63912906293984,944.94,31.138613861386137,342.2968298220574
