timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,tabular_cumulative_active_nodes_mean,tabular_percent_activated_mean,tabular_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,6.4,64.0,9.179912505840907,6.08,60.8,9.276403094958287,5.06,50.6,7.388667056216949,6.42,64.2,9.23762357603531,6.34,63.4,9.135381544869128
2,13.62,72.2,10.563238804278429,13.78,77.0,11.451357150125805,11.28,62.2,9.217463623412806,13.78,73.6,10.781230954943025,13.84,75.0,11.033547734135487
3,21.66,80.4,11.840219311660933,22.32,85.4,12.627117919923988,18.0,67.2,9.8823151648256,21.48,77.0,11.302621210266038,22.04,82.0,12.027928052127072
4,30.2,85.4,12.603628155524081,30.36,80.4,11.913851902351015,25.22,72.2,10.680716313991974,29.64,81.6,12.059040673407573,30.3,82.6,12.15342544500821
5,38.74,85.4,12.63798782624975,38.66,83.0,12.277910899489168,32.64,74.2,11.092346390491297,38.0,83.6,12.293513105848758,38.58,82.8,12.251098065655956
6,47.4,86.6,12.74398274155463,47.22,85.6,12.64179974055412,40.2,75.6,11.24206504927333,46.22,82.2,12.14503333603812,46.96,83.8,12.368399259270234
7,56.2,88.0,12.994373987264046,55.6,83.8,12.410277939290738,47.96,77.6,11.49553274037776,54.4,81.8,12.074559164037602,55.56,86.0,12.644479584206865
8,64.86,86.6,12.786953272908613,63.96,83.6,12.419796479087335,55.52,75.6,11.245999521299131,62.74,83.4,12.346869526804808,64.38,88.2,12.961081304512717
9,73.42,85.6,12.680716402131896,72.4,84.4,12.52139403471972,63.16,76.4,11.338679800549905,71.24,85.0,12.63426485255092,73.1,87.2,12.91230937248193
10,81.9,84.8,12.47312918512475,80.96,85.6,12.682324289610959,70.9,77.4,11.465093075808971,79.48,82.4,12.259190377165982,81.76,86.6,12.731034744222438
11,90.48,85.8,12.697098714667373,88.96,80.0,11.779232947143038,78.66,77.6,11.507980267076086,87.84,83.6,12.353977779207437,90.7,89.4,13.22979562123158
12,98.82,83.4,12.33565844201177,97.04,80.8,11.958604230384681,86.56,79.0,11.710918331037336,96.04,82.0,12.098546009192908,99.48,87.8,12.947918087021083
13,107.2,83.8,12.434714852481875,105.4,83.6,12.38031459735291,94.28,77.2,11.445646843723988,104.62,85.8,12.723423152961152,108.0,85.2,12.59549036498788
14,115.62,84.2,12.403915028748443,113.4,80.0,11.81390861023819,101.88,76.0,11.275911410577214,112.82,82.0,12.176231863184105,116.58,85.8,12.642674734687283
15,124.24,86.2,12.703314944936452,121.68,82.8,12.27095489255241,109.5,76.2,11.244852478466225,121.1,82.8,12.348820726455763,125.0,84.2,12.482024707674272
16,132.7,84.6,12.535840881065758,130.0,83.2,12.350936323499539,117.14,76.4,11.30457958984543,129.32,82.2,12.156530393384019,133.46,84.6,12.479323862409682
17,141.1,84.0,12.437663148606724,137.96,79.6,11.813015487222902,124.94,78.0,11.530604292778651,137.7,83.8,12.41314190106491,141.96,85.0,12.485092239883969
18,149.28,81.8,12.051848419306063,146.34,83.8,12.34099176847795,132.7,77.6,11.487956612884991,146.1,84.0,12.43791585125196,150.18,82.2,12.102243072891723
19,157.62,83.4,12.34577002564408,154.74,84.0,12.455774479133822,140.38,76.8,11.309372410277733,154.34,82.4,12.180669737735462,158.64,84.6,12.421443706730924
20,165.8,81.8,12.099684029465445,163.66,89.2,13.1309484179447,147.84,74.6,10.984607634926455,162.34,80.0,11.796951759034599,166.98,83.4,12.335744017361753
21,174.14,83.4,12.294358958796309,172.28,86.2,12.770453578063076,155.44,76.0,11.20174497874905,170.22,78.8,11.671586990840888,175.44,84.6,12.525865410490065
22,182.6,84.6,12.458726703236088,181.04,87.6,13.006913793699658,163.22,77.8,11.512479042554244,178.46,82.4,12.197793779123083,183.96,85.2,12.585688525103803
23,190.96,83.6,12.403979794699673,189.52,84.8,12.586381090276955,170.96,77.4,11.43569246315314,186.5,80.4,11.820159788743833,192.5,85.4,12.622981259328833
24,199.6,86.4,12.748840837314283,197.96,84.4,12.54254340353592,178.46,75.0,11.069520619032067,194.76,82.6,12.158935111491877,201.24,87.4,12.883656329416947
25,207.98,83.8,12.31901583031917,206.46,85.0,12.665550520541483,185.96,75.0,11.04936164911725,202.74,79.8,11.812726687760003,209.76,85.2,12.649279902894467
26,216.74,87.6,12.938535525694363,215.0,85.4,12.63304526930908,193.64,76.8,11.231834139141279,210.88,81.4,11.9875402690607,218.42,86.6,12.73450864436314
27,225.4,86.6,12.69499901785255,223.38,83.8,12.448329604561081,201.18,75.4,11.208868407095302,218.78,79.0,11.659007404609419,227.08,86.6,12.78992874360052
28,233.92,85.2,12.505010727761846,231.84,84.6,12.565812820330647,208.32,71.4,10.588473878051373,226.7,79.2,11.625192694232362,235.4,83.2,12.215363022929225
29,242.32,84.0,12.425962435389245,240.18,83.4,12.380463188183139,215.86,75.4,11.137797229570488,235.02,83.2,12.28141904653733,244.16,87.6,12.91797154166568
30,250.72,84.0,12.457298680090496,248.72,85.4,12.60142690308972,223.36,75.0,11.071998861308737,243.3,82.8,12.250912055934794,252.8,86.4,12.775206818824762
