algorithm,timestep,cumulative_active_nodes,percent_activated,reward,trial
cdsqn,1,102.85,50.915841584158414,157.27774033256824,9.5
cdsqn,2,236.3,66.06435643564356,203.74312686118714,9.5
cdsqn,3,381.8,72.02970297029702,221.81963119871494,9.5
cdsqn,4,532.35,74.52970297029702,229.39351940166415,9.5
cdsqn,5,684.15,75.14851485148515,230.9173791093296,9.5
cdsqn,6,839.5,76.9059405940594,236.65593888159918,9.5
cdsqn,7,996.2,77.57425742574257,239.012880572985,9.5
cdsqn,8,1151.25,76.75742574257426,236.70001847270822,9.5
cdsqn,9,1306.9,77.05445544554456,237.29969970958973,9.5
cdsqn,10,1464.85,78.1930693069307,240.32687716494328,9.5
cdsqn,11,1623.1,78.34158415841584,241.30306804083185,9.5
cdsqn,12,1784.8,80.04950495049505,246.4901660090828,9.5
cdsqn,13,1944.85,79.23267326732673,244.00611631479416,9.5
cdsqn,14,2104.95,79.25742574257427,244.3337994774701,9.5
cdsqn,15,2263.2,78.34158415841584,241.5708312030411,9.5
cdsqn,16,2420.8,78.01980198019803,240.13961534413266,9.5
cdsqn,17,2581.25,79.43069306930694,244.54851910448036,9.5
cdsqn,18,2743.0,80.07425742574257,246.41104615815476,9.5
cdsqn,19,2904.65,80.02475247524754,246.3576778289761,9.5
cdsqn,20,3062.95,78.36633663366337,240.87647900186022,9.5
dqn,1,107.2,53.069306930693074,163.33897067780194,9.5
dqn,2,240.95,66.2128712871287,203.85023193009684,9.5
dqn,3,386.95,72.27722772277227,222.00192191729883,9.5
dqn,4,538.0,74.77722772277227,230.21749698100325,9.5
dqn,5,695.9,78.16831683168317,240.93360330488485,9.5
dqn,6,852.45,77.5,239.15719838574486,9.5
dqn,7,1010.1,78.04455445544554,239.96259201498475,9.5
dqn,8,1170.1,79.20792079207921,244.35309275890012,9.5
dqn,9,1330.35,79.33168316831683,243.768395571048,9.5
dqn,10,1492.25,80.14851485148515,246.8023805376693,9.5
dqn,11,1651.4,78.7871287128713,242.6483588372345,9.5
dqn,12,1811.25,79.13366336633663,243.49019804722974,9.5
dqn,13,1969.5,78.34158415841584,241.67033344713983,9.5
dqn,14,2129.2,79.05940594059406,243.48617920823716,9.5
dqn,15,2287.25,78.24257425742574,241.52980149927544,9.5
dqn,16,2445.05,78.11881188118812,240.66101894993784,9.5
dqn,17,2604.15,78.76237623762377,242.02219852914013,9.5
dqn,18,2764.8,79.52970297029704,245.1962135009419,9.5
dqn,19,2925.7,79.65346534653466,245.39887618431325,9.5
dqn,20,3086.4,79.55445544554456,244.81202563632536,9.5
random,1,106.8,52.871287128712865,163.22943838948353,9.5
random,2,242.3,67.07920792079207,206.86818670410966,9.5
random,3,387.3,71.78217821782178,220.3620023649193,9.5
random,4,537.85,74.52970297029702,229.49403474629193,9.5
random,5,690.5,75.56930693069307,232.34527382736852,9.5
random,6,843.85,75.91584158415841,233.7371773168264,9.5
random,7,999.2,76.9059405940594,237.00726982194152,9.5
random,8,1155.15,77.20297029702971,237.30664871679477,9.5
random,9,1309.9,76.60891089108911,235.2469006624172,9.5
random,10,1466.3,77.42574257425743,238.50724009501127,9.5
random,11,1622.1,77.12871287128714,237.61618651762151,9.5
random,12,1778.8,77.57425742574257,238.7809357027419,9.5
random,13,1936.45,78.04455445544554,240.30278774582672,9.5
random,14,2092.0,77.0049504950495,237.3611311379653,9.5
random,15,2247.55,77.0049504950495,237.11068902128554,9.5
random,16,2402.65,76.78217821782178,236.65183794924474,9.5
random,17,2560.1,77.94554455445544,240.12940993541685,9.5
random,18,2719.05,78.6881188118812,242.440186671024,9.5
random,19,2875.15,77.27722772277227,237.73571346721764,9.5
random,20,3030.45,76.88118811881188,236.16808825895814,9.5
whittle,1,107.5,53.21782178217821,165.7188342248253,9.5
whittle,2,243.3,67.22772277227723,207.63100854116436,9.5
whittle,3,393.8,74.5049504950495,229.586607884155,9.5
whittle,4,548.5,76.58415841584159,235.6083816389385,9.5
whittle,5,706.65,78.29207920792079,241.19089454685673,9.5
whittle,6,866.8,79.28217821782178,244.98438225431605,9.5
whittle,7,1026.2,78.9108910891089,243.84133188610386,9.5
whittle,8,1183.9,78.06930693069307,240.8715481918893,9.5
whittle,9,1343.8,79.15841584158416,244.2100846835487,9.5
whittle,10,1506.3,80.44554455445544,247.72455428793833,9.5
whittle,11,1667.65,79.87623762376238,246.13698283478357,9.5
whittle,12,1827.35,79.05940594059406,244.2992174186235,9.5
whittle,13,1987.55,79.3069306930693,244.67516907728918,9.5
whittle,14,2148.6,79.72772277227723,245.98069817396464,9.5
whittle,15,2311.05,80.42079207920793,248.3870746396156,9.5
whittle,16,2473.7,80.51980198019803,249.0269589180612,9.5
whittle,17,2634.1,79.4059405940594,244.97425288620047,9.5
whittle,18,2796.35,80.32178217821783,247.70529500073948,9.5
whittle,19,2956.9,79.48019801980197,245.71719473232974,9.5
whittle,20,3116.9,79.20792079207921,244.24236402562218,9.5
