timestep,cumulative_active_nodes,percent_activated,reward,algorithm,trial
1,98,48.51485148514851,149.87335045860758,dqn,0
2,224,62.37623762376238,195.0487833818596,dqn,0
3,378,76.23762376237624,236.93630782922406,dqn,0
4,538,79.20792079207921,246.08106360815196,dqn,0
5,701,80.6930693069307,250.07160913152785,dqn,0
6,850,73.76237623762376,224.19870152091306,dqn,0
7,1009,78.71287128712872,241.40681132784928,dqn,0
8,1153,71.28712871287128,220.54803982632805,dqn,0
9,1312,78.71287128712872,240.85490412620842,dqn,0
10,1470,78.21782178217822,239.9922739487102,dqn,0
11,1620,74.25742574257426,229.11934966789659,dqn,0
12,1763,70.79207920792079,217.67992877934068,dqn,0
13,1906,70.79207920792079,218.02978920192288,dqn,0
14,2063,77.72277227722772,240.77563900329767,dqn,0
15,2218,76.73267326732673,236.18287248328357,dqn,0
16,2369,74.75247524752476,228.3376241206883,dqn,0
17,2523,76.23762376237624,233.13917758945226,dqn,0
18,2666,70.79207920792079,215.7718005112167,dqn,0
19,2811,71.78217821782178,220.9575789678542,dqn,0
20,2962,74.75247524752476,230.33357899979342,dqn,0
1,122,60.396039603960396,185.5207631268895,cdsqn,0
2,259,67.82178217821783,212.02335025555664,cdsqn,0
3,401,70.29702970297029,218.15907920566252,cdsqn,0
4,543,70.29702970297029,216.51237594121733,cdsqn,0
5,688,71.78217821782178,221.66795822495305,cdsqn,0
6,839,74.75247524752476,230.7293370681418,cdsqn,0
7,996,77.72277227722772,240.13006067459455,cdsqn,0
8,1158,80.19801980198021,247.65900366993918,cdsqn,0
9,1325,82.67326732673267,254.0595596318739,cdsqn,0
10,1487,80.19801980198021,247.64525159881768,cdsqn,0
11,1646,78.71287128712872,245.1798998279488,cdsqn,0
12,1813,82.67326732673267,252.7960540147278,cdsqn,0
13,1969,77.22772277227723,236.81249227739994,cdsqn,0
14,2133,81.1881188118812,248.99331180665385,cdsqn,0
15,2291,78.21782178217822,240.9181434709973,cdsqn,0
16,2441,74.25742574257426,230.0657216526453,cdsqn,0
17,2610,83.66336633663366,257.9691754384012,cdsqn,0
18,2773,80.6930693069307,249.92365220086916,cdsqn,0
19,2937,81.1881188118812,252.11852663464896,cdsqn,0
20,3094,77.72277227722772,240.40893123928836,cdsqn,0
1,96,47.524752475247524,145.62392981954162,whittle,0
2,218,60.396039603960396,185.56096619537172,whittle,0
3,364,72.27722772277228,221.06209154272747,whittle,0
4,516,75.24752475247524,234.54949452618527,whittle,0
5,679,80.6930693069307,248.86050337993726,whittle,0
6,837,78.21782178217822,241.1578099431057,whittle,0
7,1006,83.66336633663366,258.9505412847157,whittle,0
8,1159,75.74257425742574,237.11907454502193,whittle,0
9,1311,75.24752475247524,231.35704330823526,whittle,0
10,1475,81.1881188118812,249.2007827895167,whittle,0
11,1645,84.15841584158416,258.62190380988267,whittle,0
12,1808,80.6930693069307,249.44362473933208,whittle,0
13,1967,78.71287128712872,243.54981028515027,whittle,0
14,2126,78.71287128712872,243.65302248936894,whittle,0
15,2297,84.65346534653465,259.68426160801084,whittle,0
16,2468,84.65346534653465,262.71528828878337,whittle,0
17,2637,83.66336633663366,258.91560730322334,whittle,0
18,2808,84.65346534653465,259.72125137254494,whittle,0
19,2973,81.68316831683168,252.4541734083957,whittle,0
20,3142,83.66336633663366,258.2921304963731,whittle,0
1,104,51.48514851485149,160.51290696238968,random,0
2,236,65.34653465346535,199.37125926712608,random,0
3,383,72.77227722772277,222.50411115568792,random,0
