timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,101.22,50.10891089108911,153.55831648095736,97.94,48.48514851485148,148.65736981953424,98.72,48.871287128712865,151.05020794499262,86.88,43.009900990099005,132.3714340783034,99.32,49.16831683168316,150.07650579104856
2,236.24,66.84158415841584,204.5258787534594,229.24,64.99999999999999,198.04237295298725,229.48,64.73267326732673,199.86709347951597,202.2,57.08910891089109,175.53346320217267,229.88,64.63366336633662,197.43068986205748
3,387.04,74.65346534653465,228.47123991590078,377.18,73.23762376237623,223.00439826138918,374.78,71.93069306930691,222.09011636766098,329.78,63.15841584158417,193.7543466923459,377.78,73.21782178217819,224.0344694475113
4,544.36,77.88118811881189,237.86104115812716,532.98,77.12871287128712,234.7832316432192,528.46,76.07920792079204,233.68363721133628,462.66,65.78217821782175,201.40838889054368,532.7,76.69306930693072,234.32703896131343
5,706.2,80.11881188118811,244.70274006590344,692.84,79.13861386138616,240.97231107164163,686.06,78.019801980198,239.74670525472848,599.42,67.7029702970297,207.03928604914003,692.04,78.88118811881189,240.91993996914312
6,867.84,80.01980198019804,244.09441307442737,855.7,80.62376237623762,245.65624574923964,844.34,78.35643564356437,240.2205933097496,739.02,69.10891089108912,211.68079543260646,853.6,79.98019801980196,244.21662567826613
7,1030.72,80.63366336633662,245.98760596581494,1019.84,81.25742574257424,247.65241189124157,1004.96,79.51485148514851,243.6109513816925,879.58,69.5841584158416,213.0065834213209,1014.42,79.61386138613864,242.99390710110606
8,1194.44,81.04950495049503,247.5188056031815,1184.74,81.63366336633663,248.83724892507195,1167.22,80.32673267326734,245.93919821982183,1019.94,69.4851485148515,212.6476196460136,1178.22,81.08910891089108,247.58328825663378
9,1357.7,80.82178217821782,246.6152043585266,1350.6,82.10891089108911,250.27679070911242,1330.14,80.65346534653466,246.76394615415975,1161.74,70.1980198019802,214.63753746229406,1341.1,80.63366336633663,246.399676026679
10,1520.24,80.46534653465348,245.23856460662242,1516.38,82.06930693069306,250.2427993152713,1494.02,81.12871287128715,248.24339332075536,1302.3,69.58415841584159,212.75052098190633,1504.06,80.67326732673267,246.35092291999194
11,1684.1,81.11881188118811,247.27011532380092,1681.76,81.87128712871288,249.86239530733198,1655.56,79.97029702970295,244.93274522140862,1443.22,69.76237623762377,213.44501277105485,1666.78,80.55445544554455,246.01680041680612
12,1849.7,81.98019801980197,250.29946192794966,1847.4,82.0,249.96797595004944,1817.52,80.17821782178217,245.49519174415332,1584.86,70.11881188118814,214.48319586786184,1829.06,80.33663366336636,245.39676761020485
13,2012.92,80.8019801980198,246.61194204926554,2012.74,81.85148514851485,249.26742174748782,1978.58,79.73267326732672,244.31476738560923,1727.4,70.56435643564355,215.9027032075405,1991.12,80.22772277227723,245.06921301666665
14,2175.42,80.44554455445545,245.42366413971845,2179.2,82.40594059405939,251.14928897201767,2142.12,80.96039603960396,247.9819528742802,1868.3,69.75247524752477,213.47869531848474,2152.82,80.04950495049508,244.35956761436205
15,2340.3,81.62376237623762,248.9040262111374,2345.0,82.07920792079209,250.29157061890294,2304.8,80.53465346534655,246.31117399768183,2008.98,69.64356435643562,213.1755163102368,2314.72,80.14851485148515,245.00266380743048
16,2505.28,81.67326732673267,249.05452245403387,2510.06,81.71287128712869,249.20732534091812,2467.2,80.39603960396038,246.11897396381679,2150.12,69.87128712871284,214.0725071344867,2476.66,80.16831683168319,244.70721080208364
17,2670.66,81.87128712871286,249.6229806855152,2675.54,81.9207920792079,249.8801243831799,2630.42,80.8019801980198,247.3400722441164,2291.96,70.21782178217822,215.0077027447705,2639.1,80.4158415841584,245.46417617650914
18,2836.04,81.87128712871288,249.47670576589425,2841.0,81.91089108910892,249.39911873973426,2793.22,80.59405940594061,246.73127387885108,2433.8,70.21782178217822,215.04854202697888,2801.36,80.32673267326733,245.1185200758699
19,3001.28,81.8019801980198,249.1092495349414,3006.0,81.68316831683171,248.8347316837145,2956.92,81.03960396039606,247.9199840009726,2575.0,69.90099009900989,213.97737044379403,2963.68,80.35643564356437,245.57506333109077
20,3165.98,81.53465346534652,248.37338297193062,3171.82,82.08910891089108,250.05031397665357,3119.94,80.7029702970297,246.9588885637388,2718.44,71.00990099009901,217.69282615872348,3126.12,80.41584158415841,245.6945918961781
21,3331.02,81.70297029702971,249.184606528888,3337.36,81.95049504950494,249.66268290073978,3282.68,80.56435643564359,246.33196929889462,2862.46,71.29702970297029,218.22833761049012,3289.56,80.91089108910892,247.41784259941912
22,3495.16,81.25742574257426,247.77418158296686,3501.44,81.22772277227723,247.85482889047037,3445.66,80.68316831683168,247.16585399769951,3004.8,70.46534653465346,215.8554230785962,3452.88,80.85148514851485,246.87487510489404
23,3658.72,80.97029702970298,247.2656166773412,3665.18,81.05940594059405,246.74627895971008,3606.44,79.5940594059406,243.1725757410215,3146.1,69.95049504950492,213.80540863595422,3616.18,80.84158415841584,247.51500578901815
24,3822.48,81.0693069306931,247.0167761482113,3831.5,82.33663366336631,250.94213591049754,3768.76,80.35643564356437,245.7240042326427,3288.94,70.71287128712872,216.01618451094225,3779.38,80.7920792079208,246.94002278160664
25,3985.94,80.92079207920793,246.4479499825378,3997.78,82.31683168316832,250.45119755616338,3931.4,80.51485148514853,246.832875310655,3430.16,69.91089108910889,213.72521988246208,3943.5,81.24752475247523,248.10856892943048
26,4150.52,81.47524752475249,248.215890316625,4163.74,82.15841584158414,250.39209722976545,4094.22,80.60396039603962,246.64142598508093,3572.44,70.43564356435644,215.38063960725617,4107.46,81.16831683168317,247.91146632272972
27,4315.24,81.54455445544556,248.83692116896592,4328.54,81.58415841584159,248.13341558343683,4257.32,80.74257425742574,246.93946802871017,3714.34,70.24752475247523,214.73789441038454,4268.58,79.76237623762376,243.57776222611534
28,4478.36,80.75247524752474,246.76541448432127,4492.78,81.30693069306932,247.66506130970592,4421.48,81.26732673267327,249.04917560080125,3856.54,70.39603960396038,215.34501614859562,4430.54,80.17821782178217,244.58451775787074
29,4643.08,81.54455445544554,248.8159773140863,4656.68,81.13861386138613,247.3875822569055,4585.08,80.99009900990097,247.8058056860122,3999.78,70.91089108910892,217.3676860328251,4592.4,80.12871287128712,244.66534091415986
30,4806.82,81.05940594059405,247.54418860553275,4821.82,81.75247524752473,249.44767450066044,4748.28,80.79207920792079,247.1122600006255,4141.98,70.3960396039604,215.53771231729743,4755.58,80.78217821782177,246.70453008560838
