timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,tabular_cumulative_active_nodes_mean,tabular_percent_activated_mean,tabular_reward_mean
1,4.6,46.0,7.423598248633532,5.9,59.0,9.530223983258143,5.0,50.0,8.10104584298598
2,11.9,73.0,11.758423929045565,13.3,74.0,11.914782726192543,11.6,66.0,10.567902696077507
3,19.6,77.0,12.581930065940709,20.9,76.0,12.226622514695025,18.5,69.0,11.07471954120376
4,27.5,79.0,12.828549005458234,29.2,83.0,13.546780958141573,26.3,78.0,12.62259218595215
5,35.5,80.0,12.89136911235914,37.9,87.0,14.054225471233348,33.8,75.0,12.085287805499204
6,43.9,84.0,13.699388575568083,45.0,71.0,11.474683371112004,41.5,77.0,12.395371229507917
7,52.1,82.0,13.30228068194882,52.7,77.0,12.348766503527976,49.6,81.0,13.065350099321865
8,60.7,86.0,13.791706563846384,60.4,77.0,12.528403683780542,57.9,83.0,13.373079070767792
9,69.4,87.0,13.94964468194694,68.8,84.0,13.537274883715076,65.8,79.0,12.801012427771749
10,78.0,86.0,13.97421008708335,77.1,83.0,13.421824598289259,74.0,82.0,13.339947732728358
11,86.6,86.0,13.880534347241536,86.1,90.0,14.583213469438661,82.1,81.0,13.17111047091159
12,95.3,87.0,14.063046204647765,94.4,83.0,13.405324729762128,90.1,80.0,12.86648576479401
13,102.9,76.0,12.465366033926568,102.7,83.0,13.388983802064411,98.1,80.0,12.88071747015627
14,110.9,80.0,12.97491213464387,110.4,77.0,12.4455088491569,105.9,78.0,12.683220095492135
15,118.4,75.0,12.253127745482049,118.8,84.0,13.595804950960732,114.1,82.0,13.18093407785301
16,126.0,76.0,12.41884502077042,126.8,80.0,12.954463704673666,122.2,81.0,13.06793006400461
17,133.9,79.0,12.838590424641605,134.2,74.0,11.876570462592278,130.5,83.0,13.446299176460943
18,142.1,82.0,13.325444577600408,141.6,74.0,11.95102347815067,138.6,81.0,13.027537460326196
19,150.5,84.0,13.541711565690212,149.9,83.0,13.39523879876856,146.4,78.0,12.552732857332373
20,158.6,81.0,13.251383765493117,159.2,93.0,15.08402851085082,153.8,74.0,12.011951984388121
21,166.5,79.0,12.850532165951048,167.6,84.0,13.613218628566594,161.9,81.0,12.975759805396782
22,174.3,78.0,12.650825490997862,176.2,86.0,13.918887253898239,170.3,84.0,13.57522385875939
23,181.8,75.0,12.205645506774927,184.2,80.0,13.093087303108373,177.9,76.0,12.30717885514438
24,189.6,78.0,12.545859475377336,192.7,85.0,13.6286947841147,185.8,79.0,12.743717161184978
25,197.3,77.0,12.343495131048915,201.3,86.0,13.907598020101812,193.5,77.0,12.38754762576048
26,205.2,79.0,12.778987850607063,209.9,86.0,13.943932590088139,201.2,77.0,12.340281886005968
27,213.0,78.0,12.610217090684012,218.4,85.0,13.67471721376061,209.1,79.0,12.77360379572123
28,221.2,82.0,13.320317777934438,227.0,86.0,13.886328396721163,217.0,79.0,12.728513158034394
29,228.8,76.0,12.387228092009229,235.4,84.0,13.642140189741998,224.9,79.0,12.669512594685305
30,236.4,76.0,12.347602888240093,244.1,87.0,14.065215927471206,232.5,76.0,12.38200914324018
