timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,94.34,46.702970297029715,141.13066726644362,98.12,48.57425742574258,148.46534991391937,97.44,48.237623762376245,147.69550580958708,82.94,41.05940594059407,124.3932202491182,96.36,47.702970297029715,146.07722301565084
2,224.52,64.44554455445544,195.45382393432772,229.52,65.04950495049506,198.34641750140315,229.4,65.32673267326733,199.9588015086861,192.9,54.43564356435644,165.69819489290697,226.86,64.6039603960396,196.75589488179298
3,370.32,72.17821782178216,219.5324406888493,376.02,72.52475247524754,220.43796157571376,375.88,72.51485148514851,223.52898695868697,317.48,61.673267326732685,187.67637291267974,373.22,72.45544554455446,220.32169726800765
4,524.96,76.55445544554458,233.03711904287584,530.98,76.7128712871287,233.44570344330177,529.82,76.20792079207924,233.8112013545038,450.2,65.70297029702971,200.13687827522838,527.38,76.31683168316833,232.2256533784288
5,682.44,77.96039603960395,237.12595148988254,689.84,78.64356435643566,238.76536543618525,686.28,77.45544554455446,237.4591952206895,583.88,66.17821782178218,201.56171642911602,686.2,78.62376237623764,238.63856247690327
6,842.0,78.990099009901,240.35403879780242,851.24,79.9009900990099,243.06048823489502,845.14,78.64356435643568,240.67415165004226,719.56,67.16831683168317,204.54529460321413,847.26,79.73267326732675,242.29799463304713
7,1005.08,80.73267326732673,245.58458857419805,1013.06,80.1089108910891,243.38502994831856,1006.42,79.84158415841586,243.8290670582648,857.04,68.05940594059406,207.63243046468358,1010.14,80.63366336633662,244.94421543162215
8,1168.06,80.68316831683165,245.43887588628652,1175.8,80.56435643564356,244.68604293161192,1168.36,80.16831683168317,244.54894804647546,994.34,67.97029702970298,206.8826772232496,1172.14,80.19801980198021,243.67074399747176
9,1330.38,80.3564356435644,244.25978394733076,1338.98,80.78217821782178,245.4471672779988,1330.08,80.05940594059405,244.14059153426254,1131.48,67.89108910891092,207.13394670356874,1334.1,80.17821782178218,243.65341144691226
10,1492.64,80.32673267326732,244.14531563190928,1502.04,80.7227722772277,245.6297311286059,1492.46,80.38613861386136,245.08451219492406,1270.76,68.95049504950492,210.18116165664304,1496.0,80.14851485148515,243.1202425161449
