timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,graph_cumulative_active_nodes_mean,graph_percent_activated_mean,graph_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean,whittle_cumulative_active_nodes_mean,whittle_percent_activated_mean,whittle_reward_mean
1,79.94,39.57425742574258,120.05793465578493,80.98,40.089108910891085,119.63769165835218,81.76,40.47524752475248,123.53397353859685,48.88,24.198019801980198,73.09053789708756,78.08,38.65346534653465,117.71125463045477
2,213.78,66.25742574257426,200.60066426223628,214.1,65.90099009900989,198.8639680659649,212.36,64.65346534653466,197.7363990510999,142.94,46.56435643564356,141.02801654951,209.8,65.20792079207921,198.13416669720212
3,375.92,80.26732673267325,242.92352750397475,373.7,79.009900990099,238.39140547793954,370.98,78.52475247524754,240.15559227274832,265.46,60.65346534653464,183.91140973252314,371.44,80.01980198019801,242.04687141834776
4,551.72,87.02970297029704,263.166715585941,547.54,86.05940594059405,260.01928881916564,544.16,85.73267326732676,260.9358138059525,402.96,68.06930693069309,206.28929199727824,544.96,85.90099009900992,259.81780269794035
5,729.5,88.00990099009903,265.92716001267917,726.5,88.59405940594061,267.7026018912296,723.34,88.70297029702974,268.00570870265454,548.24,71.92079207920793,217.6420680946637,724.48,88.87128712871286,268.5484460947278
6,908.42,88.5742574257426,267.5774236134412,906.24,88.98019801980199,269.1077158501459,903.06,88.97029702970298,268.7740660929127,698.72,74.49504950495049,225.44307780552907,905.08,89.40594059405942,270.1406470121277
7,1088.08,88.94059405940595,268.8966186042282,1087.34,89.65346534653467,270.81186315951754,1084.24,89.6930693069307,270.7843721399416,852.08,75.92079207920791,229.9945373244552,1085.02,89.07920792079207,268.9440632787982
8,1268.3,89.21782178217819,269.3634180332367,1268.62,89.74257425742573,271.256646306587,1264.2,89.0891089108911,268.7031257902338,1008.04,77.20792079207921,233.4788348039708,1265.64,89.4158415841584,270.4836761089008
9,1448.04,88.980198019802,268.48315138096723,1450.02,89.8019801980198,271.1209569724607,1444.46,89.23762376237624,269.82299219730953,1165.04,77.72277227722775,235.333120844316,1446.18,89.37623762376238,270.10493631165866
10,1627.44,88.81188118811882,268.2791674512588,1630.98,89.58415841584157,270.73623185512787,1624.5,89.12871287128714,269.25860666103597,1322.92,78.15841584158416,236.63370918805754,1627.08,89.55445544554455,270.9083505407759
11,1805.94,88.36633663366334,266.80434766647164,1811.34,89.28712871287131,269.6926814125509,1805.82,89.7623762376238,271.32772423500097,1479.76,77.64356435643565,234.69633512108936,1808.46,89.79207920792082,271.38012902605936
12,1985.82,89.049504950495,268.9494230181091,1991.46,89.1683168316832,269.4007629655817,1984.64,88.52475247524754,267.39124518367083,1638.1,78.38613861386139,237.03077242981578,1989.04,89.39603960396042,270.11602556105686
