timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean
1,105.7,52.32673267326733,156.49418714289146,103.8,51.386138613861384,154.28475851741328,93.3,46.18811881188119,137.69726453781917
2,247.3,70.0990099009901,209.25562796590552,241.4,68.11881188118812,205.36957935714494,214.5,60.0,178.94798941548333
3,405.1,78.11881188118812,232.84081226537631,394.2,75.64356435643565,227.5885376585448,355.0,69.55445544554456,206.47326595176924
4,574.5,83.86138613861387,250.514133332791,556.5,80.34653465346534,240.853404787952,497.8,70.6930693069307,210.79851366153542
5,744.4,84.10891089108911,250.45061105549894,723.0,82.42574257425743,246.21931632579813,647.0,73.86138613861385,219.7364975694869
6,916.2,85.04950495049505,253.96442131989593,890.6,82.97029702970296,248.30022979551336,795.9,73.71287128712872,219.4320428220689
7,1088.9,85.4950495049505,255.4429202798404,1064.2,85.94059405940594,257.328189902844,947.6,75.09900990099011,223.8586403558872
8,1261.3,85.34653465346534,254.86550998471793,1235.1,84.6039603960396,253.03684844623126,1103.9,77.37623762376236,230.76142829889528
9,1435.7,86.33663366336634,257.89281579706346,1405.7,84.45544554455445,252.5261727151745,1260.3,77.42574257425743,230.61124500240862
10,1609.2,85.89108910891089,255.6347976466205,1580.2,86.38613861386138,258.3555469550219,1416.1,77.12871287128714,229.46795726872105
11,1781.5,85.29702970297029,255.48629877323546,1751.9,84.99999999999999,253.2208958165717,1571.7,77.02970297029702,229.9612151569267
12,1953.4,85.0990099009901,253.39097621709737,1922.2,84.3069306930693,252.39563371395792,1725.5,76.13861386138616,227.10349887488596
13,2123.5,84.20792079207921,250.15602597767207,2094.2,85.14851485148515,254.14902054638347,1880.1,76.53465346534655,228.11888006826393
14,2292.0,83.41584158415841,249.03184154702313,2268.5,86.28712871287128,257.5891814468031,2034.2,76.2871287128713,227.16302427188353
15,2460.2,83.26732673267327,248.55980993095199,2441.1,85.44554455445544,255.15023157868706,2192.9,78.56435643564359,234.47435122502014
16,2630.4,84.25742574257427,251.4126329779872,2614.2,85.6930693069307,256.4854830425905,2352.5,79.00990099009901,235.43118149593448
17,2803.4,85.64356435643565,256.44649506079867,2785.2,84.65346534653466,252.91997152646135,2510.5,78.21782178217822,233.39070409934362
18,2976.7,85.79207920792078,256.1539121256679,2955.0,84.05940594059408,250.57784344832316,2667.4,77.67326732673266,232.40775535370076
19,3149.9,85.74257425742574,255.76565465282823,3125.5,84.4059405940594,252.16419383968577,2824.4,77.72277227722773,232.76544562516466
20,3320.0,84.2079207920792,251.78764284989106,3296.8,84.8019801980198,253.36931199151635,2981.1,77.57425742574257,232.0931877946588
21,3490.4,84.35643564356435,252.22460594864728,3468.1,84.8019801980198,254.32043181664758,3137.7,77.52475247524752,230.8186565019088
22,3662.5,85.1980198019802,253.5469354263972,3638.4,84.3069306930693,251.7714262020739,3296.0,78.36633663366337,232.97232898540534
23,3832.7,84.25742574257427,252.09688653276362,3806.8,83.36633663366335,249.53329272395996,3447.4,74.95049504950495,224.36418403164097
24,4004.9,85.24752475247526,254.16601980795707,3977.5,84.5049504950495,252.80112770978275,3599.4,75.24752475247524,226.08307143563079
25,4177.5,85.44554455445544,254.6270601141724,4148.3,84.55445544554455,251.75528724501237,3755.2,77.12871287128714,230.39242253677548
26,4348.8,84.80198019801979,252.59402328980795,4320.4,85.1980198019802,253.95707287898986,3910.6,76.93069306930693,229.70463209900714
27,4520.9,85.1980198019802,253.2683753534759,4492.9,85.39603960396039,254.89759615217227,4068.4,78.11881188118812,232.64641780439615
28,4692.4,84.90099009900989,253.60041322654487,4667.0,86.1881188118812,257.35906393119194,4222.0,76.03960396039604,226.69294822580065
29,4865.4,85.64356435643563,255.42719092934095,4837.2,84.25742574257426,252.35687541110428,4380.2,78.31683168316832,233.21921506227923
30,5040.1,86.48514851485149,258.15701272460717,5007.4,84.25742574257427,251.97729648689574,4534.1,76.18811881188118,226.5224265490114
