timestep,dqn_cumulative_active_nodes_mean,dqn_percent_activated_mean,dqn_reward_mean,hillclimb_cumulative_active_nodes_mean,hillclimb_percent_activated_mean,hillclimb_reward_mean,none_cumulative_active_nodes_mean,none_percent_activated_mean,none_reward_mean
1,101.2,50.0990099009901,152.5,106.9,52.92079207920792,159.7,96.2,47.62376237623763,143.6
2,238.6,68.01980198019803,205.3,247.5,69.60396039603958,212.2,224.1,63.31683168316831,191.6
3,392.5,76.1881188118812,229.0,401.8,76.38613861386139,230.9,366.5,70.49504950495049,212.4
4,554.5,80.19801980198021,242.2,563.0,79.8019801980198,240.9,512.9,72.47524752475246,218.0
5,719.2,81.53465346534654,244.8,727.7,81.53465346534654,246.1,658.6,72.12871287128714,217.5
6,888.9,84.009900990099,251.3,892.1,81.38613861386139,243.9,806.5,73.21782178217822,221.3
7,1058.2,83.81188118811882,252.0,1061.8,84.00990099009901,252.2,954.3,73.16831683168316,220.5
8,1227.3,83.7128712871287,252.2,1232.2,84.35643564356437,254.4,1103.5,73.86138613861385,222.2
9,1396.1,83.56435643564356,251.4,1399.7,82.92079207920793,249.4,1253.4,74.20792079207922,224.3
10,1566.2,84.20792079207922,252.0,1564.6,81.63366336633663,246.0,1403.3,74.20792079207921,224.0
11,1732.3,82.22772277227723,246.6,1730.8,82.27722772277228,247.5,1553.5,74.35643564356435,224.4
12,1900.9,83.46534653465346,251.2,1897.2,82.37623762376236,248.3,1704.0,74.5049504950495,224.0
13,2068.3,82.87128712871286,249.3,2062.2,81.68316831683168,243.8,1853.5,74.00990099009901,223.4
14,2234.9,82.47524752475246,247.4,2225.5,80.84158415841586,241.0,2005.0,75.0,225.4
15,2399.3,81.38613861386139,244.6,2392.2,82.52475247524752,248.5,2159.2,76.33663366336633,229.6
16,2564.0,81.53465346534654,246.9,2560.1,83.11881188118812,250.0,2311.2,75.24752475247524,226.9
17,2727.7,81.03960396039604,243.4,2728.2,83.21782178217822,250.8,2464.0,75.64356435643565,227.2
18,2892.6,81.63366336633662,245.8,2895.4,82.77227722772277,249.7,2617.3,75.8910891089109,228.6
19,3059.9,82.82178217821783,249.3,3064.7,83.8118811881188,252.7,2772.9,77.02970297029702,231.9
20,3228.9,83.66336633663369,252.9,3230.5,82.07920792079209,245.6,2925.8,75.6930693069307,228.5
21,3394.9,82.17821782178217,247.5,3397.1,82.47524752475246,248.6,3076.3,74.5049504950495,225.1
22,3563.2,83.31683168316832,251.7,3563.1,82.17821782178217,247.4,3225.8,74.009900990099,223.1
23,3730.9,83.01980198019803,250.5,3730.1,82.67326732673268,250.2,3377.3,75.00000000000001,224.7
24,3897.5,82.47524752475248,247.5,3897.2,82.72277227722772,250.7,3524.2,72.72277227722772,220.9
25,4061.2,81.03960396039604,244.6,4064.3,82.72277227722772,249.5,3674.5,74.4059405940594,224.5
26,4228.7,82.92079207920791,250.1,4228.7,81.38613861386139,245.6,3827.0,75.4950495049505,228.3
27,4393.5,81.58415841584159,245.5,4391.3,80.4950495049505,243.0,3977.6,74.55445544554456,224.6
28,4559.1,81.98019801980197,246.2,4555.1,81.0891089108911,242.6,4129.8,75.34653465346534,226.7
29,4725.0,82.12871287128714,247.0,4721.2,82.22772277227722,248.0,4278.9,73.8118811881188,222.3
30,4889.6,81.48514851485149,244.9,4892.6,84.85148514851487,255.6,4428.1,73.86138613861387,222.2
