Simulation,Hill Climb_Percent,Hill Climb_Value,DQN Normal_Percent,DQN Normal_Value
1,67.63333333333334,105074,67.76666666666667,107931
2,68.13333333333334,103633,67.33333333333333,104897
3,69.46666666666667,106949,66.9,104913
4,67.43333333333334,104133,67.63333333333334,105205
5,70.16666666666667,108781,67.16666666666666,103344
6,68.13333333333334,104558,70.19999999999999,108616
7,69.56666666666666,106898,67.9,105633
8,69.03333333333333,107268,71.76666666666667,110539
9,69.69999999999999,108207,68.36666666666666,104291
10,65.53333333333333,102217,66.2,101993
11,69.56666666666666,105798,67.96666666666667,107425
12,69.63333333333334,106954,69.36666666666666,107543
13,68.46666666666667,107087,65.83333333333333,101396
14,72.26666666666667,109952,67.23333333333333,103251
15,68.7,104931,71.33333333333334,109321
16,69.3,106135,67.66666666666666,103553
17,68.10000000000001,105165,71.3,108070
18,69.1,107368,69.6,107206
19,66.8,103716,65.06666666666666,99545
20,71.5,111549,69.06666666666666,107915
21,67.10000000000001,105107,66.63333333333334,99691
22,69.6,108196,67.66666666666666,105551
23,67.83333333333333,104812,68.76666666666667,106863
24,68.83333333333333,105546,69.8,107882
25,69.39999999999999,106915,71.63333333333334,110827
26,67.60000000000001,103518,68.46666666666667,105633
27,68.73333333333333,106988,67.63333333333334,102500
28,70.39999999999999,107273,68.60000000000001,105818
29,68.66666666666667,106722,67.60000000000001,104750
30,68.46666666666667,104759,69.23333333333333,107111
31,69.06666666666666,107595,70.53333333333333,109248
32,68.33333333333333,105439,69.5,107696
33,69.26666666666667,107996,68.7,106930
34,69.39999999999999,105331,69.23333333333333,108484
35,71.53333333333333,108817,69.69999999999999,106249
36,68.96666666666667,106748,70.56666666666666,107243
37,67.60000000000001,103626,69.23333333333333,105945
38,67.66666666666666,103263,70.53333333333333,107077
39,69.96666666666667,108068,70.16666666666667,109864
40,69.06666666666666,106167,68.7,105545
41,69.8,106722,70.76666666666667,108366
42,68.30000000000001,106019,69.66666666666667,108744
43,66.63333333333334,103754,70.36666666666666,108736
44,68.73333333333333,104723,68.63333333333334,104785
45,67.16666666666666,103358,68.56666666666666,105527
46,70.6,109318,72.93333333333332,113536
47,68.0,103765,67.63333333333334,104277
48,69.63333333333334,107123,70.1,109894
49,66.43333333333334,102239,72.03333333333333,109987
50,69.63333333333334,106512,68.33333333333333,105666
51,68.26666666666667,105002,68.5,106037
52,67.63333333333334,104739,67.80000000000001,106128
53,66.96666666666667,102288,67.83333333333333,104450
54,66.83333333333333,102645,70.23333333333333,106870
55,67.43333333333334,102841,69.56666666666666,107640
56,67.36666666666666,103051,68.76666666666667,106071
57,68.36666666666666,103922,68.66666666666667,105709
58,69.19999999999999,107671,69.0,107115
59,68.73333333333333,106215,68.73333333333333,106649
60,68.4,105011,69.3,107432
61,67.16666666666666,103879,67.4,107058
62,68.03333333333333,105120,69.6,107138
63,68.16666666666666,105190,69.96666666666667,109727
64,69.13333333333334,105296,70.66666666666667,110536
65,67.56666666666666,105635,68.93333333333334,105900
66,66.5,102193,68.33333333333333,105943
67,69.33333333333334,105962,67.73333333333333,104192
68,68.73333333333333,107476,68.63333333333334,107493
69,67.26666666666667,103362,68.93333333333334,107014
70,69.36666666666666,107308,68.89999999999999,105461
71,67.26666666666667,102419,69.96666666666667,106895
72,67.66666666666666,103714,66.2,101134
73,66.93333333333334,101022,67.16666666666666,104445
74,68.43333333333334,105300,70.46666666666667,107487
75,67.93333333333334,105709,68.8,106051
76,70.06666666666666,108367,69.93333333333334,107302
77,68.60000000000001,104642,67.46666666666667,104986
78,68.03333333333333,106212,65.96666666666667,105515
79,68.30000000000001,104854,69.5,107793
80,67.56666666666666,104762,69.76666666666667,108361
81,71.1,109185,67.7,103975
82,69.96666666666667,108596,69.16666666666667,106580
83,67.7,104301,70.06666666666666,109275
84,71.06666666666666,109092,68.26666666666667,105684
85,68.26666666666667,104064,70.73333333333333,109871
86,69.63333333333334,106859,69.96666666666667,107104
87,67.60000000000001,103875,67.43333333333334,102985
88,70.16666666666667,107870,70.46666666666667,108148
89,67.56666666666666,103030,67.43333333333334,104959
90,69.96666666666667,108472,69.1,105582
91,67.9,104993,69.03333333333333,106083
92,67.63333333333334,103982,69.33333333333334,106065
93,67.9,104167,67.26666666666667,103247
94,67.43333333333334,104847,68.93333333333334,105255
95,67.93333333333334,104548,69.19999999999999,106580
96,68.33333333333333,105048,68.16666666666666,106619
97,69.56666666666666,107691,71.16666666666667,109468
98,69.63333333333334,107145,68.7,107492
99,68.10000000000001,104113,67.13333333333334,104173
100,68.4,105200,68.43333333333334,104848
