Simulation,Hill Climb,DQN Normal,Double DQN,Random Selection,No Selection
1,63.866666666666674,62.0,58.666666666666664,57.99999999999999,31.866666666666667
2,63.06666666666667,67.2,61.73333333333333,52.93333333333333,29.86666666666667
3,58.13333333333334,62.26666666666667,63.6,51.2,28.4
4,64.8,67.60000000000001,70.26666666666667,59.06666666666667,36.8
5,61.33333333333333,69.19999999999999,63.2,58.4,29.86666666666667
6,63.733333333333334,69.46666666666667,68.26666666666667,53.46666666666666,32.0
7,66.13333333333333,58.266666666666666,70.39999999999999,56.39999999999999,32.0
8,65.06666666666666,61.73333333333333,69.86666666666666,56.39999999999999,34.4
9,64.8,66.26666666666667,66.13333333333333,54.13333333333333,33.6
10,65.33333333333333,62.66666666666667,68.0,55.60000000000001,31.866666666666667
11,66.93333333333334,66.26666666666667,60.13333333333334,57.599999999999994,32.0
12,63.06666666666667,68.66666666666667,66.0,47.733333333333334,32.800000000000004
13,65.33333333333333,63.46666666666667,65.2,55.733333333333334,36.0
14,63.46666666666667,64.53333333333333,65.2,53.06666666666666,39.33333333333333
15,63.733333333333334,65.86666666666666,62.8,58.266666666666666,25.733333333333334
16,62.0,58.8,64.0,51.866666666666674,30.133333333333333
17,63.2,66.53333333333333,62.93333333333333,53.6,34.266666666666666
18,62.8,66.26666666666667,61.06666666666667,54.0,38.0
19,67.33333333333333,61.6,62.4,52.93333333333333,33.06666666666666
20,66.13333333333333,62.133333333333326,66.13333333333333,56.00000000000001,33.33333333333333
21,57.599999999999994,66.53333333333333,61.33333333333333,52.93333333333333,31.466666666666665
22,60.266666666666666,65.33333333333333,68.26666666666667,50.26666666666667,34.93333333333333
23,64.8,65.60000000000001,63.33333333333333,55.86666666666667,32.53333333333333
24,68.8,64.4,59.06666666666667,52.26666666666666,30.8
25,60.66666666666667,57.333333333333336,57.733333333333334,49.86666666666667,30.8
26,64.4,66.4,63.6,47.46666666666667,34.8
27,55.46666666666666,64.4,64.53333333333333,49.733333333333334,35.199999999999996
28,60.0,65.86666666666666,62.53333333333333,58.4,35.46666666666667
29,61.73333333333333,65.60000000000001,64.53333333333333,54.666666666666664,26.93333333333333
30,69.19999999999999,68.93333333333334,65.73333333333333,52.800000000000004,28.53333333333333
31,64.8,60.13333333333334,68.0,48.266666666666666,27.46666666666667
32,64.66666666666666,67.2,58.93333333333334,52.800000000000004,33.733333333333334
33,63.6,67.2,65.73333333333333,59.46666666666667,29.06666666666667
34,69.33333333333334,60.8,64.66666666666666,48.266666666666666,36.13333333333333
35,61.86666666666667,59.86666666666667,69.73333333333333,48.8,18.0
36,64.0,62.26666666666667,71.86666666666667,53.733333333333334,31.466666666666665
37,55.60000000000001,61.73333333333333,63.733333333333334,56.39999999999999,31.333333333333336
38,68.0,69.06666666666666,66.53333333333333,55.2,34.266666666666666
39,61.6,68.53333333333333,63.46666666666667,48.53333333333333,36.8
